fecha,BurstId,burst_side,attacked_side,L0,event_number_after_prefix,event_close_ts_recv,target_order_id,target_price,packet_ordinal,ts_recv,ts_event,sequence,order_id,action,side,price,size,flags,is_target_identity
2022-10-28,LB_20221028_093127_BUY_0001,BUY,A,11253.0,4485,2022-10-28T13:31:31.708298877+00:00,6838876873356,11253.0,0,2022-10-28T13:31:31.708298877+00:00,2022-10-28T13:31:31.707149317+00:00,275830089,6838876873361,T,B,11253.0,1.0,0,False
2022-10-28,LB_20221028_093127_BUY_0001,BUY,A,11253.0,4485,2022-10-28T13:31:31.708298877+00:00,6838876873356,11253.0,1,2022-10-28T13:31:31.708298877+00:00,2022-10-28T13:31:31.707149317+00:00,275830089,6838876873356,F,A,11253.0,1.0,0,True
2022-10-28,LB_20221028_093127_BUY_0001,BUY,A,11253.0,4485,2022-10-28T13:31:31.708298877+00:00,6838876873356,11253.0,2,2022-10-28T13:31:31.708298877+00:00,2022-10-28T13:31:31.707149317+00:00,275830089,6838876873356,M,A,11253.0,1.0,130,True
2023-04-26,LB_20230426_093201_SELL_0001,SELL,B,12920.75,335,2023-04-26T13:32:02.263470003+00:00,6843430675572,12920.75,0,2023-04-26T13:32:02.263441639+00:00,2023-04-26T13:32:02.263236991+00:00,84121886,6843430675578,T,A,12920.75,1.0,0,False
2023-04-26,LB_20230426_093201_SELL_0001,SELL,B,12920.75,335,2023-04-26T13:32:02.263470003+00:00,6843430675572,12920.75,1,2023-04-26T13:32:02.263441639+00:00,2023-04-26T13:32:02.263236991+00:00,84121886,6843430675572,F,B,12920.75,1.0,0,True
2023-04-26,LB_20230426_093201_SELL_0001,SELL,B,12920.75,335,2023-04-26T13:32:02.263470003+00:00,6843430675572,12920.75,2,2023-04-26T13:32:02.263470003+00:00,2023-04-26T13:32:02.263236991+00:00,84121887,6843430675572,M,B,12920.75,1.0,130,True
2023-04-26,LB_20230426_093201_SELL_0001,SELL,B,12920.75,1367,2023-04-26T13:32:02.850745068+00:00,6843430678891,12920.75,0,2023-04-26T13:32:02.850740107+00:00,2023-04-26T13:32:02.850523503+00:00,84126095,6843430678922,T,A,12920.75,2.0,0,False
2023-04-26,LB_20230426_093201_SELL_0001,SELL,B,12920.75,1367,2023-04-26T13:32:02.850745068+00:00,6843430678891,12920.75,1,2023-04-26T13:32:02.850740107+00:00,2023-04-26T13:32:02.850523503+00:00,84126095,6843430678898,F,B,12920.75,1.0,0,False
2023-04-26,LB_20230426_093201_SELL_0001,SELL,B,12920.75,1367,2023-04-26T13:32:02.850745068+00:00,6843430678891,12920.75,2,2023-04-26T13:32:02.850740107+00:00,2023-04-26T13:32:02.850523503+00:00,84126095,6843430678891,F,B,12920.75,1.0,0,True
2023-04-26,LB_20230426_093201_SELL_0001,SELL,B,12920.75,1367,2023-04-26T13:32:02.850745068+00:00,6843430678891,12920.75,3,2023-04-26T13:32:02.850745068+00:00,2023-04-26T13:32:02.850523503+00:00,84126096,6843430678898,C,B,12920.75,1.0,0,False
2023-04-26,LB_20230426_093201_SELL_0001,SELL,B,12920.75,1367,2023-04-26T13:32:02.850745068+00:00,6843430678891,12920.75,4,2023-04-26T13:32:02.850745068+00:00,2023-04-26T13:32:02.850523503+00:00,84126096,6843430678891,M,B,12920.75,1.0,130,True
2023-05-18,LB_20230518_093436_BUY_0001,BUY,A,13681.0,989,2023-05-18T13:34:39.302825527+00:00,6843873565239,13681.0,0,2023-05-18T13:34:39.302816926+00:00,2023-05-18T13:34:39.302616933+00:00,112891821,6843873565239,T,A,13681.0,1.0,0,True
2023-05-18,LB_20230518_093436_BUY_0001,BUY,A,13681.0,989,2023-05-18T13:34:39.302825527+00:00,6843873565239,13681.0,1,2023-05-18T13:34:39.302816926+00:00,2023-05-18T13:34:39.302616933+00:00,112891821,6843873565239,F,A,13681.0,1.0,0,True
2023-05-18,LB_20230518_093436_BUY_0001,BUY,A,13681.0,989,2023-05-18T13:34:39.302825527+00:00,6843873565239,13681.0,2,2023-05-18T13:34:39.302816926+00:00,2023-05-18T13:34:39.302616933+00:00,112891821,6843874085437,F,B,13681.0,1.0,0,False
2023-05-18,LB_20230518_093436_BUY_0001,BUY,A,13681.0,989,2023-05-18T13:34:39.302825527+00:00,6843873565239,13681.0,3,2023-05-18T13:34:39.302825527+00:00,2023-05-18T13:34:39.302616933+00:00,112891822,6843874085437,C,B,13681.0,1.0,0,False
2023-05-18,LB_20230518_093436_BUY_0001,BUY,A,13681.0,989,2023-05-18T13:34:39.302825527+00:00,6843873565239,13681.0,4,2023-05-18T13:34:39.302825527+00:00,2023-05-18T13:34:39.302616933+00:00,112891822,6843873565239,C,A,13681.75,1.0,130,False
2023-08-24,LB_20230824_093139_SELL_0001,SELL,B,15300.25,5399,2023-08-24T13:31:44.575369170+00:00,6845896866413,15300.25,0,2023-08-24T13:31:44.575360210+00:00,2023-08-24T13:31:44.575184695+00:00,150767889,6845896866413,T,B,15300.25,1.0,0,True
2023-08-24,LB_20230824_093139_SELL_0001,SELL,B,15300.25,5399,2023-08-24T13:31:44.575369170+00:00,6845896866413,15300.25,1,2023-08-24T13:31:44.575360210+00:00,2023-08-24T13:31:44.575184695+00:00,150767889,6845896866413,F,B,15300.25,1.0,0,True
