fecha,BurstId,burst_side,attacked_side,L0,event_number_after_prefix,event_close_ts_recv,order_id,price,F_qty,C_qty_same_event_order_price,has_C_identity_sibling,F_C_qty_equal,F_minus_C_qty,M_state_reduction_qty,C_state_reduction_qty,total_state_reduction_qty,has_M_or_C_state_reduction,F_state_reduction_qty_equal,F_minus_state_reduction_qty
2022-04-05,LB_20220405_093200_BUY_0001,BUY,A,15134.75,13,2022-04-05T13:32:01.046310036+00:00,6832098490017,15134.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-05,LB_20220405_093200_BUY_0001,BUY,A,15134.75,349,2022-04-05T13:32:01.215861211+00:00,6832098491363,15134.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-05,LB_20220405_093200_BUY_0001,BUY,A,15134.75,349,2022-04-05T13:32:01.215861211+00:00,6832098491367,15134.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-05,LB_20220405_093200_BUY_0001,BUY,A,15134.75,349,2022-04-05T13:32:01.215861211+00:00,6832098491381,15134.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-06,LB_20220406_093100_BUY_0001,BUY,A,14642.75,3,2022-04-06T13:31:01.007811259+00:00,6832139931402,14642.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-06,LB_20220406_093100_BUY_0001,BUY,A,14642.75,67,2022-04-06T13:31:01.043733791+00:00,6832139931521,14642.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-06,LB_20220406_093100_BUY_0001,BUY,A,14642.75,93,2022-04-06T13:31:01.069135785+00:00,6832139931553,14642.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-06,LB_20220406_093100_BUY_0001,BUY,A,14642.75,93,2022-04-06T13:31:01.069135785+00:00,6832139931650,14642.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-26,LB_20220426_093143_SELL_0001,SELL,B,13405.0,162,2022-04-26T13:31:44.117361465+00:00,6832770055326,13405.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-26,LB_20220426_093143_SELL_0001,SELL,B,13405.0,165,2022-04-26T13:31:44.117361465+00:00,6832770055423,13405.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-26,LB_20220426_093143_SELL_0001,SELL,B,13405.0,401,2022-04-26T13:31:44.336508361+00:00,6832770056414,13405.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-26,LB_20220426_093143_SELL_0001,SELL,B,13405.0,521,2022-04-26T13:31:44.485277197+00:00,6832770056672,13405.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-26,LB_20220426_093143_SELL_0001,SELL,B,13405.0,1097,2022-04-26T13:31:45.064704654+00:00,6832770058391,13405.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-26,LB_20220426_093143_SELL_0001,SELL,B,13405.0,1118,2022-04-26T13:31:45.068300673+00:00,6832770058629,13405.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-04-26,LB_20220426_093143_SELL_0001,SELL,B,13405.0,2038,2022-04-26T13:31:45.759700966+00:00,6832770060996,13405.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-04,LB_20220504_093301_SELL_0001,SELL,B,13073.0,40,2022-05-04T13:33:02.012771457+00:00,6833132599772,13073.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-04,LB_20220504_093301_SELL_0001,SELL,B,13073.0,40,2022-05-04T13:33:02.012771457+00:00,6833137000822,13073.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-04,LB_20220504_093301_SELL_0001,SELL,B,13073.0,1833,2022-05-04T13:33:03.488219533+00:00,6833137577277,13073.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-04,LB_20220504_093301_SELL_0001,SELL,B,13073.0,2185,2022-05-04T13:33:03.942663230+00:00,6833137577977,13073.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-04,LB_20220504_093301_SELL_0001,SELL,B,13073.0,2250,2022-05-04T13:33:04.070645022+00:00,6833137578869,13073.0,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-09,LB_20220509_093112_BUY_0001,BUY,A,12493.25,4,2022-05-09T13:31:13.010357849+00:00,6833335654253,12493.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-09,LB_20220509_093112_BUY_0001,BUY,A,12493.25,4,2022-05-09T13:31:13.010357849+00:00,6833335654266,12493.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-09,LB_20220509_093112_BUY_0001,BUY,A,12493.25,222,2022-05-09T13:31:13.138364993+00:00,6833335654089,12493.25,1.0,0.0,False,False,1.0,1.0,0.0,1.0,True,True,0.0
2022-05-09,LB_20220509_093112_BUY_0001,BUY,A,12493.25,238,2022-05-09T13:31:13.139429219+00:00,6833335656016,12493.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-09,LB_20220509_093112_BUY_0001,BUY,A,12493.25,1144,2022-05-09T13:31:14.260266754+00:00,6833335658930,12493.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-09,LB_20220509_093112_BUY_0001,BUY,A,12493.25,3767,2022-05-09T13:31:16.861183211+00:00,6833335666399,12493.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-18,LB_20220518_093457_BUY_0001,BUY,A,12378.5,1,2022-05-18T13:34:58.072478039+00:00,6833762873632,12378.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-20,LB_20220520_093501_SELL_0001,SELL,B,11988.75,2127,2022-05-20T13:35:03.376150352+00:00,6833881982711,11988.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-23,LB_20220523_093420_SELL_0001,SELL,B,11848.25,377,2022-05-23T13:34:21.296405203+00:00,6833941802080,11848.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-05-23,LB_20220523_093420_SELL_0001,SELL,B,11848.25,383,2022-05-23T13:34:21.296574835+00:00,6833941802826,11848.25,2.0,2.0,True,True,0.0,0.0,2.0,2.0,True,True,0.0
