section,segment,metric,value,n
Overall,ALL,sessions,1.0,1
Overall,ALL,sessions_with_first_minute_lvn,1.0,1
Overall,ALL,lvn_occurrence_day_rate,1.0,1
Overall,ALL,lvn_nodes,3.0,3
Overall,ALL,retest_events,12.0,12
Overall,ALL,retests_per_lvn,4.0,3
Shape occurrence,trend_down,days_with_lvn,1.0,3
Shape occurrence,trend_down,lvn_nodes,3.0,3
Shape occurrence,trend_down,nodes_with_retest_rate,1.0,3
Shape occurrence,trend_down,mean_retests_per_node,4.0,3
Monthly occurrence,2024-08,days_with_lvn,1.0,3
Monthly occurrence,2024-08,lvn_nodes,3.0,3
Monthly occurrence,2024-08,nodes_with_retest,3.0,3
Overall,ALL,active_months,1.0,1
Overall,ALL,mean_events_per_month,12.0,1
Overall,ALL,median_events_per_month,12.0,1
Overall,ALL,mean_mfe_ticks,135.9090909090909,12
Overall,ALL,mean_mae_ticks,265.90909090909093,12
Overall,ALL,median_mfe_mae_ratio,0.38095238095238093,11
Shape cohort,trend_down,events,12.0,12
Shape cohort,trend_down,unique_days,1.0,12
Shape cohort,trend_down,events_per_month,12.0,12
Shape cohort,trend_down,mfe_ticks_median,80.0,11
Shape cohort,trend_down,mfe_ticks_mean,135.9090909090909,11
Shape cohort,trend_down,mfe_ticks_p90,315.0,11
Shape cohort,trend_down,mfe_ticks_max,325.0,11
Shape cohort,trend_down,mae_ticks_median,240.0,12
Shape cohort,trend_down,time_to_mfe_seconds_median,60.0,11
Interaction cohort,ACCEPTANCE,events,6.0,6
Interaction cohort,ACCEPTANCE,unique_days,1.0,6
Interaction cohort,ACCEPTANCE,mean_mfe_ticks,164.16666666666666,6
Interaction cohort,ACCEPTANCE,mean_mae_ticks,219.16666666666666,6
Interaction cohort,ACCEPTANCE,wr_20_20_all,0.0,6
Interaction cohort,ACCEPTANCE,wr_20_20_resolved,0.0,1
Interaction cohort,ACCEPTANCE,mean_realized_r_20_20,-1.0,1
Interaction cohort,ACCEPTANCE,wr_40_40_all,0.3333333333333333,6
Interaction cohort,ACCEPTANCE,wr_40_40_resolved,0.6666666666666666,3
Interaction cohort,ACCEPTANCE,mean_realized_r_40_40,0.3333333333333333,3
Interaction cohort,ACCEPTANCE,wr_60_60_all,0.3333333333333333,6
Interaction cohort,ACCEPTANCE,wr_60_60_resolved,0.4,5
Interaction cohort,ACCEPTANCE,mean_realized_r_60_60,-0.2,5
Interaction cohort,ACCEPTANCE,wr_80_80_all,0.3333333333333333,6
Interaction cohort,ACCEPTANCE,wr_80_80_resolved,0.3333333333333333,6
Interaction cohort,ACCEPTANCE,mean_realized_r_80_80,-0.3333333333333333,6
Interaction cohort,REJECTION,events,6.0,6
Interaction cohort,REJECTION,unique_days,1.0,6
Interaction cohort,REJECTION,mean_mfe_ticks,102.0,6
Interaction cohort,REJECTION,mean_mae_ticks,322.0,6
Interaction cohort,REJECTION,wr_20_20_all,0.16666666666666666,6
Interaction cohort,REJECTION,wr_20_20_resolved,1.0,1
Interaction cohort,REJECTION,mean_realized_r_20_20,1.0,1
Interaction cohort,REJECTION,wr_40_40_all,0.16666666666666666,6
Interaction cohort,REJECTION,wr_40_40_resolved,0.5,2
Interaction cohort,REJECTION,mean_realized_r_40_40,0.0,2
Interaction cohort,REJECTION,wr_60_60_all,0.16666666666666666,6
Interaction cohort,REJECTION,wr_60_60_resolved,0.25,4
Interaction cohort,REJECTION,mean_realized_r_60_60,-0.5,4
Interaction cohort,REJECTION,wr_80_80_all,0.3333333333333333,6
Interaction cohort,REJECTION,wr_80_80_resolved,0.4,5
Interaction cohort,REJECTION,mean_realized_r_80_80,-0.2,5
Interaction x shape,ACCEPTANCE|trend_down,events,6.0,6
Interaction x shape,ACCEPTANCE|trend_down,wr_20_20_resolved,0.0,1
Interaction x shape,ACCEPTANCE|trend_down,wr_40_40_resolved,0.6666666666666666,3
Interaction x shape,ACCEPTANCE|trend_down,wr_60_60_resolved,0.4,5
Interaction x shape,ACCEPTANCE|trend_down,wr_80_80_resolved,0.3333333333333333,6
Interaction x shape,REJECTION|trend_down,events,6.0,6
Interaction x shape,REJECTION|trend_down,wr_20_20_resolved,1.0,1
Interaction x shape,REJECTION|trend_down,wr_40_40_resolved,0.5,2
Interaction x shape,REJECTION|trend_down,wr_60_60_resolved,0.25,4
Interaction x shape,REJECTION|trend_down,wr_80_80_resolved,0.4,5
Monthly,2024-08,events,12.0,12
Monthly,2024-08,unique_days,1.0,12
Monthly,2024-08,wr_20_20_resolved,0.5,2
Monthly,2024-08,wr_40_40_resolved,0.6,5
Monthly,2024-08,wr_60_60_resolved,0.3333333333333333,9
Monthly,2024-08,wr_80_80_resolved,0.36363636363636365,11
