ordinal,CaseID,source_sha256,output_sha256,source_size,output_size,metadata_clean,information_change
26,HB026,b66970aa812c03792afdb3e8426bcde69b26e4bb207243f515564b1577a21069,ce6efcd5254f4c5cb38d0dd7fad2eaca5e16668fea3c6cfadb33c529749daec2,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
27,HB027,2bb9fbcd096faf53e78280c50cad9810d82e9ea4b36a0419c49ffae4f81d7a79,1dad1614c3bd11a994ec8e3dd71994d440a2138a9e63701bfe324c77343bdc04,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
28,HB028,98e5db35ca7c0689ee438664acf8211c646f1a53027f3d11c6b698b5e22857e9,e9a03bc874d8a2952973c6017ec91d58e43355bfcfd3c631962733e052d2da4f,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
29,HB029,ae0593a1caba7f27b7b8bbce5dde6e4e242f31026f2733566bd27688b148fdaa,b8b25513e58073d657d668514aa08461fa625f0ae98422d3b09bcfc2ed79e3e3,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
30,HB030,b54ffdd36cb60444d3ee9646d44967391388e315d7fdec2bb96c67cccd3131ed,0315fd02f0af94151ff48a97c850730bb7911d803dd61d4d62f3ba950932e485,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
31,HB031,f543966154dc369c2fedf9ce7dceb3a7f9b74bc8d4af299722f615f03e21836a,8062c3cda675f194f91da5b82e793705bcc16077fcca74b3f80c3dae34dce33a,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
32,HB032,54ad8b0a4e4146ece509491fbc43630d0e8123936063c7fb83f48fe79a240fe0,15cdbb34f8b49e37e5ca2ed6b127ec76a6ac05c503600a8d48bccd85da3e9115,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
33,HB033,83938ad1e885010d221bbe954dac1e727068f0c057a3532a9e76832629753ec0,0e00f3615ab45bb1a2b5abee79d6d0cc0a9b6c43c471c87ef072f7bfe74ab3b4,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
34,HB034,362f9458c55c17ef8d6b761f50dad0c6cbf631268b64c9dceb6ec1bd97cd3310,f19e964463d611829f19d4ed38e04a72181e0ae5dc9599a6387de97969522a61,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
35,HB035,b8cc231244000a496d2e7434b4ee32d4e59c5c07b39ad1279c8da905508ab043,843d0898e274462a9dedc308b2387008b58e5f87c03b022ad510c34dade0ffe2,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
36,HB036,a107d3afa4ca3c45bbb9d23a98adf585d53d72d88e891c018e19f0e1920e7c0a,f8609a8e81ec2aa3e1554014109ce6d95b0916e64fae0a277dfcbed4bc05a054,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
37,HB037,9d45c0f90c072600a19a0838c841d093ae8745abf005b8a04de419cda0a4a273,0a96583395f09a16bd3da21287687ce83ca4910766ef3b197c76212698ee5b0e,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
38,HB038,e96ba796eedd87a262c17a9b595162e0f2adf9651042e17acd8bfff10558efbe,877a578f7f4ff8a37f54208c13f1d3fa4e48408f507e57d3ad969f5b6f72b173,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
39,HB039,aac31edeb1d950b84edb8a204f5f78c8698260533343304256e5b00ebb11e04f,88bc6a96c8ce004e0af103aae74ee13f707ce5c053fd4f1ed3ec1d56071ddd86,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
40,HB040,ad9dd74c96e827cd5e329b7ef7c38c104624ae19c8cec71385fa307a481b5f41,60f9098d637c456ee78bdc778d8c5bb72733fe7f25cdb1fc7d23891508ba107d,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
41,HB041,e90c03a20558216f9d2e343798601a8ce9944bffd5fb773e66eeafcfdd518cc1,12f28ddd175528b45b81ed94f5eb7a431188c260b46ccd09f0d8a69af76142db,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
42,HB042,2b6b2d227713ff24e097d0b0d8741e3fba5921040dc7af4291f1d273f4d20aca,c35548a5ec1278d663d6b9a0a3e68778795b6daae21aeea7f13eafd0601d1cab,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
43,HB043,f37803fdff66afae0ea4fdc6e7554e94fff241b03481ba274b3832e8f765535c,4a5069a8e19fea1899a01033ce9bae54106a15f51872b67059fb5fb6f45b04a6,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
44,HB044,6fc80df144e73666c035e40b982f9c5120b0ca5c43703f4dbbede49a63cd4816,f73ef5036f9085302045346ba0830e18ac853d9d6e9819e6f4fdc8a6a86785bf,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
45,HB045,389b1f0fe55835a6ddb2f314ce5ea9f6d5a54d8a239f3ee6e834c5229efd8afa,bd71aa1d8fc9cfa55caaacd6c6bd5604849276b5e36d604d1252cfb3ae4271a5,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
46,HB046,f66fad7b331e17236dc3160efc14509994488589147eaccc1428c5c7f9f07823,cf3a11053a5f10204e1721f23fbb9f6f9262ce40b3f519434db664f1237d12d8,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
47,HB047,cc43533d643810ffc645d58d7504dfc5af906658bea07b2f299f5b76e3cb3c0f,e37e526e542a6252feefbfd7dba3b99873aeb8c6b8989f4f4f9976ba946b9fe6,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
48,HB048,0ba640041f5eb86c73106ca2cbe3bca477469eb450216c880e176d6a947b7bed,62cdb02ca18270d4bb5e8479bb502f206256ea8c4b81c13181098481236460a4,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
