threshold_ticks,left_reference,right_reference,n,agreement
4,MID,EXECUTABLE,106,0.8584905660377359
4,MID,LAST_TRADE,106,0.8679245283018868
8,MID,EXECUTABLE,106,0.8679245283018868
8,MID,LAST_TRADE,106,0.9622641509433962
12,MID,EXECUTABLE,106,0.9811320754716981
12,MID,LAST_TRADE,106,0.9716981132075472
16,MID,EXECUTABLE,106,0.9716981132075472
16,MID,LAST_TRADE,106,0.9905660377358491
