fecha,BurstId,prediction_timestamp,burst_event_timestamp,burst_timestamp,split,family,family_reason,ExecutionSide,BurstSide,Entry_price,Initial_SL_ticks,Initial_TP_ticks,Result_Label,result TP SL BE,MAE_ticks,MFE_ticks,ExitTime_NY_Milliseconds,causal_row_flag,canonical_source_file,Signal_Source,Liquidity_Burst_ID_AtEntry
2022-06-08,LB_20220608_093102_SELL_0001,2022-06-08 13:31:03.007000200+00:00,2022-06-08 13:31:02+00:00,2022-06-08 13:31:03+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,BUY,SELL,12648.75,60,60,SL,-60,60,10,09:32:34.911,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-06-08_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220608_093102_SELL_0001
2022-06-13,LB_20220613_093107_SELL_0001,2022-06-13 13:31:08.000000100+00:00,2022-06-13 13:31:07+00:00,2022-06-13 13:31:08+00:00,discovery,A_TRUE_ABSORPTION,TP; MAE<=10; MFE>=TP inicial,BUY,SELL,11537.5,60,60,TP,+60,0,60,09:31:14.022,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-06-13_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220613_093107_SELL_0001
2022-06-27,LB_20220627_093202_SELL_0001,2022-06-27 13:32:03.009000+00:00,2022-06-27 13:32:02+00:00,2022-06-27 13:32:03+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,BUY,SELL,12166.25,60,60,SL,-60,60,0,09:32:12.904,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-06-27_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220627_093202_SELL_0001
2022-07-07,LB_20220707_093345_BUY_0001,2022-07-07 13:33:46.097000+00:00,2022-07-07 13:33:45+00:00,2022-07-07 13:33:46+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,SELL,BUY,11961.25,60,60,SL,-60,60,15,09:34:18.033,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-07-07_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220707_093345_BUY_0001
2022-07-18,LB_20220718_093105_SELL_0001,2022-07-18 13:31:06.004000+00:00,2022-07-18 13:31:05+00:00,2022-07-18 13:31:06+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,BUY,SELL,12096.25,60,60,TP,+30,25,40,09:31:20.224,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-07-18_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220718_093105_SELL_0001
2022-07-19,LB_20220719_093600_SELL_0001,2022-07-19 13:36:01.015000+00:00,2022-07-19 13:36:00+00:00,2022-07-19 13:36:01+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,BUY,SELL,12028.75,60,60,TP,+30,40,55,09:36:59.849,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-07-19_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220719_093600_SELL_0001
2022-07-20,LB_20220720_093414_BUY_0001,2022-07-20 13:34:15.086000+00:00,2022-07-20 13:34:14+00:00,2022-07-20 13:34:15+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,SELL,BUY,12301.25,60,60,SL,-60,60,0,09:37:32.635,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-07-20_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220720_093414_BUY_0001
2022-07-26,LB_20220726_093111_SELL_0001,2022-07-26 13:31:12.026000+00:00,2022-07-26 13:31:11+00:00,2022-07-26 13:31:12+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,BUY,SELL,12257.5,60,60,TP,+60,50,60,09:31:51.182,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-07-26_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220726_093111_SELL_0001
2022-07-29,LB_20220729_093500_SELL_0001,2022-07-29 13:35:01.099000+00:00,2022-07-29 13:35:00+00:00,2022-07-29 13:35:01+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,BUY,SELL,12767.5,60,60,SL,-60,60,0,09:36:00.112,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-07-29_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220729_093500_SELL_0001
2022-08-01,LB_20220801_093127_SELL_0001,2022-08-01 13:31:28.101000+00:00,2022-08-01 13:31:27+00:00,2022-08-01 13:31:28+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,BUY,SELL,12876.25,60,60,SL,-60,60,15,09:32:15.488,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-08-01_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220801_093127_SELL_0001
