day,delta,volume,delta_ratio,n_trades,tape_move,delta_max,delta_min,delta_end_vs_max
2022-06-27,419.0,13983.0,0.029964957448330116,12823,-32.5,812.0,-52.0,-393.0
2022-06-28,314.0,14582.0,0.021533397339185297,13579,77.5,392.0,-389.0,-78.0
2022-06-29,-572.0,15346.0,-0.03727355662713411,14122,-48.75,58.0,-1096.0,-630.0
2022-06-30,-252.0,15378.0,-0.016387046429964885,14466,-31.25,492.0,-473.0,-744.0
2022-07-01,1230.0,13220.0,0.09304084720121028,12542,18.75,1252.0,0.0,-22.0
2022-07-05,-709.0,15727.0,-0.04508170661918993,14829,-56.25,107.0,-778.0,-816.0
2022-07-06,1000.0,15144.0,0.06603275224511358,13957,38.75,1163.0,-9.0,-163.0
2022-07-07,8.0,10844.0,0.0007377351530800443,10041,6.25,683.0,-11.0,-675.0
2022-07-08,66.0,12528.0,0.005268199233716475,11838,2.5,362.0,-361.0,-296.0
2022-07-11,-581.0,12159.0,-0.04778353483016695,11406,-2.5,2.0,-721.0,-583.0
2022-07-12,-94.0,12208.0,-0.007699868938401048,11319,20.0,395.0,-119.0,-489.0
2022-07-13,-754.0,15584.0,-0.0483829568788501,14537,-7.5,306.0,-757.0,-1060.0
2022-07-14,30.0,12846.0,0.002335357309668379,11854,-18.75,318.0,-252.0,-288.0
2022-07-15,81.0,12299.0,0.006585901292788032,11318,48.75,114.0,-276.0,-33.0
2022-07-18,-294.0,13856.0,-0.02121824480369515,12856,15.0,76.0,-617.0,-370.0
2022-07-19,-84.0,11580.0,-0.007253886010362694,10881,-5.0,349.0,-215.0,-433.0
2022-07-20,-215.0,9857.0,-0.021811910317540834,9230,-16.25,111.0,-383.0,-326.0
2022-07-21,-47.0,11633.0,-0.0040402303790939564,10825,22.5,23.0,-637.0,-70.0
2022-07-22,-60.0,14948.0,-0.004013914905004014,13585,-28.75,151.0,-608.0,-211.0
2022-07-25,49.0,9069.0,0.005403021281287904,8498,13.75,174.0,-100.0,-125.0
2022-07-26,-228.0,12878.0,-0.017704612517471657,12217,-32.5,135.0,-408.0,-363.0
2022-07-27,36.0,12872.0,0.0027967681789931634,12196,-15.0,333.0,-42.0,-297.0
2022-07-28,291.0,13301.0,0.02187805428163296,12382,27.5,525.0,-133.0,-234.0
2022-07-29,-347.0,15047.0,-0.023061075297401475,13927,-15.0,115.0,-516.0,-462.0
2022-08-01,-614.0,10964.0,-0.05600145932141554,10279,-38.75,52.0,-665.0,-666.0
2022-08-02,422.0,12774.0,0.03303585407859715,12034,28.75,692.0,-142.0,-270.0
2022-08-03,544.0,13080.0,0.04159021406727829,12267,40.0,647.0,-44.0,-103.0
2022-08-04,-227.0,12471.0,-0.018202229171678293,11558,12.5,28.0,-651.0,-255.0
2022-08-05,390.0,11994.0,0.03251625812906453,11331,36.25,447.0,-7.0,-57.0
2022-08-08,123.0,15089.0,0.008151633640400292,14070,36.25,126.0,-494.0,-3.0
2022-08-09,-441.0,13755.0,-0.03206106870229008,12890,-46.25,207.0,-487.0,-648.0
2022-08-10,331.0,13675.0,0.02420475319926874,12476,-38.75,549.0,-5.0,-218.0
2022-08-11,-131.0,10729.0,-0.012209898406188835,9821,11.25,253.0,-256.0,-384.0
2022-08-12,-131.0,8887.0,-0.014740632384381681,8162,-12.5,258.0,-247.0,-389.0
2022-08-15,956.0,11782.0,0.08114072313698863,10925,43.75,970.0,-7.0,-14.0
