concept,action,train_end,test_start,test_end,threshold,n,wins,losses,wr,pf_gross,pf_after_2t,wilson_low
FADE_open_auction,FADE,2026-02-23,2026-02-24,2026-04-22,0.052125593651283324,25,7,18,0.28,0.3888888888888889,0.3402777777777778,0.14283853850956563
FADE_open_auction,FADE,2026-04-22,2026-04-23,2026-06-17,0.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
FADE_open_auction,FADE,2026-06-17,2026-06-19,2026-06-26,0.0,6,2,4,0.3333333333333333,0.5,0.4375,0.09677141110578047
FADE_value_acceptance,FADE,2025-07-08,2025-07-09,2025-09-02,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_value_acceptance,FADE,2025-09-02,2025-09-03,2025-10-29,0.0,40,24,16,0.6,1.5,1.3125,0.4459589366034619
FADE_value_acceptance,FADE,2025-10-29,2025-10-30,2025-12-26,0.0,40,15,25,0.375,0.6,0.525,0.24222979167233274
FADE_value_acceptance,FADE,2025-12-26,2025-12-29,2026-02-23,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_value_acceptance,FADE,2026-02-23,2026-02-24,2026-04-22,0.0,40,19,21,0.475,0.9047619047619048,0.7916666666666666,0.3293547011267891
FADE_value_acceptance,FADE,2026-04-22,2026-04-23,2026-06-17,0.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
FADE_value_acceptance,FADE,2026-06-17,2026-06-19,2026-06-26,0.0,6,2,4,0.3333333333333333,0.5,0.4375,0.09677141110578047
