session_date,eligible_after_trade_qc,k,fresh_valid_seconds,bid_ge_k_seconds,ask_ge_k_seconds,both_ge_k_seconds,bid_ge_k_fraction,ask_ge_k_fraction,both_ge_k_fraction,bid_k_distance_p50_ticks,bid_k_distance_p95_ticks,bid_k_distance_max_ticks,ask_k_distance_p50_ticks,ask_k_distance_p95_ticks,ask_k_distance_max_ticks,bid_published_level_count_p05,bid_published_level_count_p50,bid_published_level_count_p95,ask_published_level_count_p05,ask_published_level_count_p50,ask_published_level_count_p95,min_side_level_count_p05,min_side_level_count_p50,min_side_level_count_p95,bid_far_level_share_gt50_mean,ask_far_level_share_gt50_mean,bid_recently_updated_share_250ms_mean,ask_recently_updated_share_250ms_mean
2022-07-27,True,1,23121.512,23121.512,23121.512,23121.512,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,847.0,1153.0,472.0,586.0,657.0,471.0,586.0,657.0,0.9393761753593279,0.9106491100728135,0.01756825219777428,0.02641449435386071
2022-07-27,True,3,23121.512,23121.512,23121.512,23121.512,1.0,1.0,1.0,2.0,2.0,36.0,2.0,2.0,24.0,682.0,847.0,1153.0,472.0,586.0,657.0,471.0,586.0,657.0,0.9393761753593279,0.9106491100728135,0.01756825219777428,0.02641449435386071
2022-07-27,True,5,23121.512,23121.512,23121.512,23121.512,1.0,1.0,1.0,4.0,4.0,38.0,4.0,4.0,26.0,682.0,847.0,1153.0,472.0,586.0,657.0,471.0,586.0,657.0,0.9393761753593279,0.9106491100728135,0.01756825219777428,0.02641449435386071
2022-07-27,True,10,23121.512,23121.512,23121.512,23121.512,1.0,1.0,1.0,9.0,9.0,43.0,9.0,9.0,31.0,682.0,847.0,1153.0,472.0,586.0,657.0,471.0,586.0,657.0,0.9393761753593279,0.9106491100728135,0.01756825219777428,0.02641449435386071
2022-07-28,True,1,23336.589,23336.589,23336.589,23336.589,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,829.0,881.0,521.0,565.0,700.0,509.0,559.0,622.0,0.9327414308934379,0.9110540203362681,0.02153529307502787,0.026810595178917124
2022-07-28,True,3,23336.589,23336.589,23336.589,23336.589,1.0,1.0,1.0,2.0,2.0,17.0,2.0,2.0,17.0,524.0,829.0,881.0,521.0,565.0,700.0,509.0,559.0,622.0,0.9327414308934379,0.9110540203362681,0.02153529307502787,0.026810595178917124
2022-07-28,True,5,23336.589,23336.589,23336.589,23336.589,1.0,1.0,1.0,4.0,4.0,19.0,4.0,4.0,19.0,524.0,829.0,881.0,521.0,565.0,700.0,509.0,559.0,622.0,0.9327414308934379,0.9110540203362681,0.02153529307502787,0.026810595178917124
2022-07-28,True,10,23336.589,23336.589,23336.589,23336.589,1.0,1.0,1.0,9.0,9.0,24.0,9.0,9.0,24.0,524.0,829.0,881.0,521.0,565.0,700.0,509.0,559.0,622.0,0.9327414308934379,0.9110540203362681,0.02153529307502787,0.026810595178917124
2022-07-29,True,1,23298.704,23298.704,23298.704,23298.704,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,741.0,859.0,475.0,546.0,668.0,473.0,544.0,650.0,0.9305474089426702,0.9077436284523445,0.020519318204745684,0.02636629012801375
2022-07-29,True,3,23298.704,23298.704,23298.704,23298.704,1.0,1.0,1.0,2.0,2.0,13.0,2.0,2.0,19.0,623.0,741.0,859.0,475.0,546.0,668.0,473.0,544.0,650.0,0.9305474089426702,0.9077436284523445,0.020519318204745684,0.02636629012801375
