family,date,year,half,side,entry_utc,entry,risk_ticks,gross_ticks,net_ticks,net_R,mae_ticks,exit_reason,trailing_activated,fixed_net_ticks,fixed_net_R,fixed_exit_reason,drive_open,drive_close,drive_high,drive_low,drive_efficiency,drive_close_location,pullback_midpoint,resumption_level,trigger_utc
OPENING_DRIVE_PULLBACK_RESUMPTION,2022-05-06,2022,2022-H1,SHORT,2022-05-06T14:08:38+00:00,12639.25,40.0,-40.0,-44.0,-1.1,-43.0,STOP,False,-44.0,-1.1,STOP,12760.0,12601.5,12792.75,12581.25,0.7494089834515366,0.09574468085106383,12680.75,12641.125,2022-05-06T14:08:37+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2022-05-25,2022,2022-H1,LONG,2022-05-25T13:55:36+00:00,11798.5,40.0,8.0,4.0,0.1,-18.0,STOP,True,36.0,0.9,TARGET,11717.25,11820.75,11844.5,11708.0,0.7582417582417582,0.826007326007326,11769.0,11794.875,2022-05-25T13:55:35+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2022-06-28,2022,2022-H1,LONG,2022-06-28T13:48:43+00:00,12134.25,40.0,-40.0,-44.0,-1.1,-42.0,STOP,False,-44.0,-1.1,STOP,12064.0,12154.75,12174.25,12047.25,0.7145669291338582,0.8464566929133859,12109.375,12132.0625,2022-06-28T13:48:42+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2022-07-26,2022,2022-H2,SHORT,2022-07-26T13:57:37+00:00,12235.75,40.0,8.0,4.0,0.1,-35.0,STOP,True,36.0,0.9,TARGET,12278.5,12223.25,12291.25,12216.5,0.7391304347826086,0.0903010033444816,12250.875,12237.0625,2022-07-26T13:57:36+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2022-09-02,2022,2022-H2,SHORT,2022-09-02T13:53:39+00:00,12328.0,40.0,-40.0,-44.0,-1.1,-49.0,STOP,False,-44.0,-1.1,STOP,12404.75,12302.75,12415.0,12291.75,0.8275862068965517,0.08924949290060852,12353.75,12328.25,2022-09-02T13:53:38+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2022-10-28,2022,2022-H2,LONG,2022-10-28T14:17:08+00:00,11318.25,40.0,33.0,29.0,0.725,-11.0,STOP,True,36.0,0.9,TARGET,11213.75,11352.0,11364.25,11206.25,0.875,0.9224683544303798,11282.875,11317.4375,2022-10-28T14:17:07+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2022-11-17,2022,2022-H2,LONG,2022-11-17T15:04:24+00:00,11598.0,40.0,4.0,0.0,0.0,-5.0,STOP,True,36.0,0.9,TARGET,11551.0,11613.0,11614.0,11543.75,0.8825622775800712,0.9857651245551602,11582.0,11597.5,2022-11-17T15:04:23+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2022-11-29,2022,2022-H2,SHORT,2022-11-29T15:00:59+00:00,11594.5,40.0,21.0,17.0,0.425,-29.0,STOP,True,36.0,0.9,TARGET,11622.0,11585.0,11628.0,11579.25,0.7589743589743589,0.11794871794871795,11603.5,11594.25,2022-11-29T15:00:58+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2022-12-20,2022,2022-H2,SHORT,2022-12-20T14:53:15+00:00,11095.25,40.0,-40.0,-44.0,-1.1,-43.0,STOP,False,-44.0,-1.1,STOP,11133.5,11083.75,11151.5,11083.25,0.7289377289377289,0.007326007326007326,11108.625,11096.1875,2022-12-20T14:53:14+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2022-12-27,2022,2022-H2,SHORT,2022-12-27T15:24:43+00:00,10979.0,40.0,-40.0,-44.0,-1.1,-48.0,STOP,False,-44.0,-1.1,STOP,11051.5,10955.75,11056.0,10939.0,0.8183760683760684,0.14316239316239315,11003.625,10979.6875,2022-12-27T15:24:42+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-01-04,2023,2023-H1,SHORT,2023-01-04T14:52:44+00:00,10983.75,40.0,-40.0,-44.0,-1.1,-42.0,STOP,False,-44.0,-1.1,STOP,11033.5,10970.25,11046.5,10961.75,0.7463126843657817,0.10029498525073746,11001.875,10986.0625,2023-01-04T14:52:43+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-01-12,2023,2023-H1,SHORT,2023-01-12T15:07:57+00:00,11389.25,40.0,-40.0,-44.0,-1.1,-40.0,STOP,False,-44.0,-1.1,STOP,11490.0,11357.0,11518.75,11356.25,0.8184615384615385,0.004615384615384616,11423.5,11390.25,2023-01-12T15:07:56+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-02-09,2023,2023-H1,SHORT,2023-02-09T14:54:19+00:00,12659.0,40.0,-40.0,-44.0,-1.1,-43.0,STOP,False,-44.0,-1.1,STOP,12722.5,12639.5,12728.5,12638.0,0.9171270718232044,0.016574585635359115,12681.0,12660.25,2023-02-09T14:54:18+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-03-10,2023,2023-H1,SHORT,2023-03-10T15:19:45+00:00,11930.75,40.0,-40.0,-44.0,-1.1,-40.0,STOP,False,-44.0,-1.1,STOP,12018.0,11902.0,12027.5,11894.5,0.8721804511278195,0.05639097744360902,11960.0,11931.0,2023-03-10T15:19:44+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-04-14,2023,2023-H1,LONG,2023-04-14T14:13:22+00:00,13194.75,40.0,-40.0,-44.0,-1.1,-42.0,STOP,False,-44.0,-1.1,STOP,13139.25,13211.5,13215.75,13133.5,0.878419452887538,0.9483282674772037,13175.375,13193.4375,2023-04-14T14:13:21+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-05-04,2023,2023-H1,SHORT,2023-05-04T13:58:44+00:00,13048.5,40.0,6.0,2.0,0.05,-14.0,STOP,True,36.0,0.9,TARGET,13082.75,13038.0,13086.0,13034.0,0.8605769230769231,0.07692307692307693,13060.375,13049.1875,2023-05-04T13:58:43+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-05-16,2023,2023-H1,LONG,2023-05-16T14:18:40+00:00,13484.5,40.0,80.0,76.0,1.9,-36.0,TARGET,True,36.0,0.9,TARGET,13436.0,13500.0,13503.5,13434.5,0.927536231884058,0.9492753623188406,13468.0,13484.0,2023-05-16T14:18:39+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-05-22,2023,2023-H1,LONG,2023-05-22T14:10:43+00:00,13899.25,40.0,5.0,1.0,0.025,-20.0,STOP,True,36.0,0.9,TARGET,13848.0,13911.0,13923.25,13847.0,0.8262295081967214,0.839344262295082,13879.5,13895.25,2023-05-22T14:10:42+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-06-05,2023,2023-H1,LONG,2023-06-05T14:01:15+00:00,14623.5,40.0,-40.0,-44.0,-1.1,-59.0,STOP,False,-44.0,-1.1,STOP,14568.25,14640.0,14652.25,14567.75,0.849112426035503,0.8550295857988166,14604.125,14622.0625,2023-06-05T14:01:14+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-07-18,2023,2023-H2,SHORT,2023-07-18T14:18:36+00:00,15774.5,40.0,80.0,76.0,1.9,-33.0,TARGET,True,36.0,0.9,TARGET,15815.25,15761.5,15816.0,15752.25,0.8431372549019608,0.1450980392156863,15788.375,15774.9375,2023-07-18T14:18:35+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-07-27,2023,2023-H2,LONG,2023-07-27T14:01:26+00:00,15880.0,40.0,-40.0,-44.0,-1.1,-40.0,STOP,False,-44.0,-1.1,STOP,15834.75,15894.0,15894.5,15823.0,0.8286713286713286,0.993006993006993,15864.375,15879.1875,2023-07-27T14:01:25+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-08-21,2023,2023-H2,LONG,2023-08-21T14:40:41+00:00,14857.0,40.0,-40.0,-44.0,-1.1,-40.0,STOP,False,-44.0,-1.1,STOP,14808.75,14873.0,14888.75,14805.5,0.7717717717717718,0.8108108108108109,14840.875,14856.9375,2023-08-21T14:40:40+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-08-25,2023,2023-H2,LONG,2023-08-25T14:02:48+00:00,14929.5,40.0,80.0,76.0,1.9,-4.0,TARGET,True,36.0,0.9,TARGET,14897.25,14939.0,14948.0,14892.25,0.7488789237668162,0.8385650224215246,14918.125,14928.5625,2023-08-25T14:02:47+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-09-13,2023,2023-H2,LONG,2023-09-13T13:47:45+00:00,15349.25,40.0,12.0,8.0,0.2,-13.0,STOP,True,36.0,0.9,TARGET,15309.75,15357.75,15367.25,15299.0,0.7032967032967034,0.8608058608058609,15333.75,15345.75,2023-09-13T13:47:44+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-09-27,2023,2023-H2,LONG,2023-09-27T13:51:53+00:00,14783.0,40.0,-40.0,-44.0,-1.1,-42.0,STOP,False,-44.0,-1.1,STOP,14753.0,14791.5,14793.25,14749.25,0.875,0.9602272727272727,14772.25,14781.875,2023-09-27T13:51:52+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-10-02,2023,2023-H2,LONG,2023-10-02T14:00:15+00:00,14936.5,40.0,9.0,5.0,0.125,-13.0,STOP,True,36.0,0.9,TARGET,14873.75,14956.5,14961.0,14847.75,0.7306843267108167,0.9602649006622517,14915.125,14935.8125,2023-10-02T14:00:14+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-10-31,2023,2023-H2,SHORT,2023-10-31T14:37:59+00:00,14353.0,40.0,-40.0,-44.0,-1.1,-40.0,STOP,False,-44.0,-1.1,STOP,14419.25,14333.25,14428.75,14326.75,0.8431372549019608,0.06372549019607843,14376.25,14354.75,2023-10-31T14:37:58+00:00
