session_date,liquidity_bursts,valid_reference_bursts,reference_coverage,trade_source,depth_source,trade_timestamp_policy,trade_raw_timestamp_backtracks,trade_largest_raw_backtrack_ms,trade_timestamps_repaired,trade_effective_timestamp_backtracks,depth_policy,depth_raw_rows,depth_accepted_rows,depth_clamped_rows,depth_stale_rows_dropped,depth_largest_lateness_ms,effective_timestamp_groups,valid_quote_groups,invalid_quote_groups,quote_change_events,status
2022-08-01,25,25,1.0,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_31\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_31\marketdepth.dat,FILE_ORDER_CUMMAX,0,0.0,0,0,FILE_ORDER_WATERMARK,10621842,10621842,8,0,1.0,2687855,2678345,9510,1474826,PASS
2022-08-02,31,31,1.0,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_01\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_01\marketdepth.dat,FILE_ORDER_CUMMAX,1,2.0,1,0,FILE_ORDER_WATERMARK,11472553,11472553,69,0,2.0,2881195,2878112,3083,1644499,PASS
2022-08-03,28,28,1.0,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_02\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_02\marketdepth.dat,FILE_ORDER_CUMMAX,0,0.0,0,0,FILE_ORDER_WATERMARK,9293195,9293195,18,0,1.0,2416046,2408870,7176,1299296,PASS
2022-08-04,13,13,1.0,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_03\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_03\marketdepth.dat,FILE_ORDER_CUMMAX,0,0.0,0,0,FILE_ORDER_WATERMARK,9446490,9446490,14,0,1.0,2499534,2495680,3854,1379788,PASS
2022-08-05,14,14,1.0,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_04\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_04\marketdepth.dat,FILE_ORDER_CUMMAX,0,0.0,0,0,FILE_ORDER_WATERMARK,10320857,10320607,22,250,16189322.0,2645947,2641637,4310,1546485,PASS
