threshold_ticks,reference_coverage,minimum_class_count,maximum_class_share,ambiguous_share,buy_sell_total_variation,minimum_sessions_each_class,maximum_session_concentration,mid_executable_agreement,ambiguity_window_min_agreement,threshold_perturbation_min_agreement,horizon_perturbation_min_agreement,coverage_pass,class_count_pass,degeneracy_pass,ambiguity_share_pass,side_symmetry_pass,session_presence_pass,session_concentration_pass,reference_agreement_pass,ambiguity_stability_pass,threshold_stability_pass,horizon_stability_pass,pass
4,1.0,0,0.4864864864864865,0.07207207207207207,0.08383838383838382,0,0.375,0.8468468468468469,0.9819819819819819,0.8738738738738738,1.0,True,False,True,True,True,False,True,False,True,True,True,False
8,1.0,1,0.42342342342342343,0.009009009009009009,0.14141414141414138,1,1.0,0.8738738738738738,0.990990990990991,0.8648648648648649,0.954954954954955,True,False,True,True,True,False,False,True,True,True,True,False
12,1.0,0,0.42342342342342343,0.0,0.15656565656565655,0,0.3793103448275862,0.9819819819819819,0.990990990990991,0.954954954954955,0.963963963963964,True,False,True,True,False,False,True,True,True,True,True,False
16,1.0,0,0.5405405405405406,0.0,0.07777777777777778,0,0.5,0.972972972972973,1.0,0.963963963963964,0.963963963963964,True,False,True,True,True,False,True,True,True,True,True,False
