ordinal,CaseID,source_sha256,output_sha256,source_size,output_size,metadata_clean,information_change
27,HB027,2bb9fbcd096faf53e78280c50cad9810d82e9ea4b36a0419c49ffae4f81d7a79,caf13f7dabf51b245b5e9563d3b92f20d64bcdca241a8ccac85c5695de48ed0c,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
28,HB028,98e5db35ca7c0689ee438664acf8211c646f1a53027f3d11c6b698b5e22857e9,a14a5b16ed0840ee94d1b8bb8e54179bea3f209e0b47e2f90f8f9e89dc1b452d,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
29,HB029,ae0593a1caba7f27b7b8bbce5dde6e4e242f31026f2733566bd27688b148fdaa,15b5e71a257d75b37b77fad94a0318034ad0e0cb0d33f0d1dc5271972d5d87d8,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
30,HB030,b54ffdd36cb60444d3ee9646d44967391388e315d7fdec2bb96c67cccd3131ed,fc1c44e05ef64b96ecd3c4f2f38fc517874c2562aed0cb0b3a890f084fd96481,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
31,HB031,f543966154dc369c2fedf9ce7dceb3a7f9b74bc8d4af299722f615f03e21836a,1ab40d159f53bdfd32a8364fbe5b3ea672489aa611aea751c53240788d52d3cb,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
32,HB032,54ad8b0a4e4146ece509491fbc43630d0e8123936063c7fb83f48fe79a240fe0,61d6a6d6c94ae86cee0350c2444e8972aa13e3b550064cf02bd4da8b16ce65a8,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
33,HB033,83938ad1e885010d221bbe954dac1e727068f0c057a3532a9e76832629753ec0,d5d0447af8cfdeee65094d6cd9e1b682c176dca0454ccb64e90e19cac9d1719c,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
34,HB034,362f9458c55c17ef8d6b761f50dad0c6cbf631268b64c9dceb6ec1bd97cd3310,e66d80e1aca950c70009b131ea2defc36df37fa805100da4a758f3e4f55033ef,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
35,HB035,b8cc231244000a496d2e7434b4ee32d4e59c5c07b39ad1279c8da905508ab043,8d56de5a5c38878d8429d9910c6b5d270800378080e01784dbdbdbf6acfec697,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
36,HB036,a107d3afa4ca3c45bbb9d23a98adf585d53d72d88e891c018e19f0e1920e7c0a,22677db69b3589d8387f6756fc667c15949769924760c2b3213d1c0541a98648,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
37,HB037,9d45c0f90c072600a19a0838c841d093ae8745abf005b8a04de419cda0a4a273,65dc42940817cc6088ddc187794c02f8c2e7049e8df609f407b597ec63466808,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
38,HB038,e96ba796eedd87a262c17a9b595162e0f2adf9651042e17acd8bfff10558efbe,11c6fc14a3e7b33dc69aa018ff7a42845a407d425596a29324769d998c0bf7f5,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
39,HB039,aac31edeb1d950b84edb8a204f5f78c8698260533343304256e5b00ebb11e04f,a83fb6f9071238c37ad0f21dd41f34f444fefdfe179bb8e76f20aabf742c953d,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
40,HB040,ad9dd74c96e827cd5e329b7ef7c38c104624ae19c8cec71385fa307a481b5f41,99163e0106aca87277d4f64057cebd0385b5f7850f46794d0cfdf63c6efbeda7,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
41,HB041,e90c03a20558216f9d2e343798601a8ce9944bffd5fb773e66eeafcfdd518cc1,d33807eecc6ed0496225d1897390dbc92185d30162e72cddf75ee101e53b5d1c,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
42,HB042,2b6b2d227713ff24e097d0b0d8741e3fba5921040dc7af4291f1d273f4d20aca,2b424c9a65fa34869a29991f3852a2cbf5ef9efb7c0aff8b52e2dcb21040eff7,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
43,HB043,f37803fdff66afae0ea4fdc6e7554e94fff241b03481ba274b3832e8f765535c,39c60e0f42fdd6e66efd9e15bfd2206c68cadc9b965c2329da5c3039d6b09c73,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
44,HB044,6fc80df144e73666c035e40b982f9c5120b0ca5c43703f4dbbede49a63cd4816,db5f1acaa47778fb1790abc09fc1f5908478492b1e0926644541ba03d09556fa,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
45,HB045,389b1f0fe55835a6ddb2f314ce5ea9f6d5a54d8a239f3ee6e834c5229efd8afa,916586afed3bfeba5bf4821ad3ca1ee08a4da52939908d04775ef9ecb04ad7c6,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
46,HB046,f66fad7b331e17236dc3160efc14509994488589147eaccc1428c5c7f9f07823,2751758a967101e96a64ee22fe843b492797facabb6fe695155cb617629b9c3a,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
47,HB047,cc43533d643810ffc645d58d7504dfc5af906658bea07b2f299f5b76e3cb3c0f,572a6662b391aed6b5185f13f5b77475bcd8f0a8dd0a885f7bbf5eb7ae6f0788,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
48,HB048,0ba640041f5eb86c73106ca2cbe3bca477469eb450216c880e176d6a947b7bed,f53311486df94287402e10a1322ac5b3e991bbf70cad6813ae5bd3dd3b5675db,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
49,HB049,1101968c051fb3b624ab9ee78c6484b8d15fde060ae6ce48692df8d7683ce290,e86a93063d470da870febaa3f208dca79b7ff5e4167627831b500c8567487079,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
50,HB050,f2a61d5f574a645cb233c5ba18af12c50bcc2e3740f26e24db9f9ca6c59a95d4,cef2c5bff403481dbaad29a0166777264582ae408c8745210bff11f40cef6f9c,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
51,HB051,ba0ca317462db21aa99132a7b9eba05ed1a32de65b0942d7fbc0a786ae1c1ee3,516afcb32341a473626d225343c789b1ce5f82f316ccaa81a88a12cde2cced1b,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
52,HB052,c41cdd980456a8251e1fdce14a07a3e1249facf079587272936d23b51798082d,6e237420e2364cbee063bc0780a16de3a5752baeccb0a7d1c003dc261dc207bd,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
53,HB053,51e2b694709ca7c0098b6b68c8b3b64ddc4d574f456b733581aba0386369d556,24c3f4a5c63c81dce6bad6d2401fd82a5cabacf72d46f28906a346cc02da1a43,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
54,HB054,00141aa41745a482a666d57905c43aad0bd7e7284868ef451c61d87c7a13240e,aa0bba7bb159d092009266964b8e58c4be2c82d282c27736a2202032f58e5dae,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
55,HB055,5e45ee22bd841c3d4fdf836e13ea8d118cef26fca002960da6df4785a68a8515,e3156a5449e970d30b89a77ea8ee4c28fd83df3584764be62c588aac17e629ea,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
56,HB056,0c03c90f9043e543c5ee28c1f6c912db68bc6570a06935b75fd28a014bc89cb9,1c97574e629ccac03b2985df64062d4b302a9707150fc7a8fab44bb831cb2dc7,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
57,HB057,8594a98fde575af52504bac139c4dc0a35238d9cb3e62da0f40ed3f42f513db4,6d8bc7a90fb0fa7e26dc70ccefdcd72ee8c8ad23ceb966491c79206a59f548fe,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
58,HB058,2d300276a570250a0da82f859d5482dc0fafc9c26546961236993f96d86a2f70,3ee9022fab4d5f5205d70eefc7942ec3ab25a752819bd7ee8d6af5876bc80295,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
59,HB059,4a3117251532722c1c9b6e33e8fdc87473fd980f174257c0271f92bcf7c6e09f,8d879026dee92757a57e024f822883c0b710700537edd450d32c28cf33bc4456,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
60,HB060,8d4761173a3a2009a0f638112b652b2da651a14865127acf2d8e6fc6aaa5962a,3eaad5d47c8dee9be87ad5ab2f6a048b85ad4c35178227ceb483c5b64f8f4ad3,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
61,HB061,003d4ce536b22fca598e7958665c31e17ef095866d2e6c206845c27637714a4b,3450766f9ec59d9ee3e02c2a43e72de7bd5907647e24c7b6d66fcdc25d57baa8,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
62,HB062,9cfb19c84815915a3cf8d0db6b1cd2ebdc2fa718fd53b37912c5680a8c132088,3ea72ac048a05feb827a1f919161b66c8a5eb246f2e1a5abc82fa0ead8c4831c,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
63,HB063,ca2a23f7939c76c0394133957ddba8fa01cd12e508b144f3556ec3ff9bc6661d,ba69e20b705601d6f7748d86bfb18f0aa6c64cea0efd6b61d0183d9632df5241,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
64,HB064,8e6ea2693602cf1d3c0e54d5cb8de545be329c4b7f095a02b7ae35fc1e139653,06c171be5ead4ea1fb8d40e2ab3db052fb69e30a29a506734b69d1937052b1bf,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
