bucket,cutoff,trades,wr,pf,expectancy,profit,dd,std,max_w_streak,max_l_streak,avg_win,avg_loss,avg_rr,months,trades_per_month
top_10pct,9.0,39,61.53846153846154,1.9467213114754098,11.846153846153847,462.0,130.0,38.24404904621623,8,2,39.583333333333336,-32.53333333333333,1.2167008196721314,24,1.625
top_20pct,8.0,263,73.00380228136882,2.9536359199609565,15.220532319391635,4003.0,120.0,30.520122827824242,23,4,31.520833333333332,-29.271428571428572,1.076846429152432,38,6.921052631578948
top_30pct,8.0,263,73.00380228136882,2.9536359199609565,15.220532319391635,4003.0,120.0,30.520122827824242,23,4,31.520833333333332,-29.271428571428572,1.076846429152432,38,6.921052631578948
top_40pct,8.0,263,73.00380228136882,2.9536359199609565,15.220532319391635,4003.0,120.0,30.520122827824242,23,4,31.520833333333332,-29.271428571428572,1.076846429152432,38,6.921052631578948
top_50pct,8.0,263,73.00380228136882,2.9536359199609565,15.220532319391635,4003.0,120.0,30.520122827824242,23,4,31.520833333333332,-29.271428571428572,1.076846429152432,38,6.921052631578948
bottom_50pct,8.0,303,74.91749174917491,3.2441054091539527,16.019801980198018,4854.0,100.0,29.934248098660863,22,3,30.911894273127754,-28.84,1.0718409942138611,38,7.973684210526316
score=5,5.0,5,100.0,inf,28.2,141.0,-20.0,13.461054936371072,5,0,28.2,,,5,1.0
score=6,6.0,57,75.43859649122807,3.3681592039800994,16.70175438596491,952.0,80.0,31.972624960537225,12,2,31.488372093023255,-28.714285714285715,1.0966099733888695,26,2.1923076923076925
score=7,7.0,17,64.70588235294117,2.1,12.941176470588236,220.0,80.0,38.52997305383708,5,2,38.18181818181818,-33.333333333333336,1.1454545454545453,11,1.5454545454545454
score=8,8.0,224,75.0,3.2684176809737346,15.808035714285714,3541.0,100.0,29.031199046842232,20,3,30.36904761904762,-28.381818181818183,1.070017693175925,37,6.054054054054054
score=9,9.0,20,60.0,1.4788732394366197,6.8,136.0,160.0,36.886169138095795,6,4,35.0,-35.5,0.9859154929577465,14,1.4285714285714286
score=10,10.0,18,61.111111111111114,2.450980392156863,16.444444444444443,296.0,44.0,40.95079144853538,3,2,45.45454545454545,-29.142857142857142,1.5597147950089127,13,1.3846153846153846
score=11,11.0,1,100.0,inf,30.0,30.0,-30.0,,1,0,30.0,,,1,1.0
