iteration,filter,tp,sl,trades,wr,pf,expectancy,test_exp,robust_score
135,range<=140,100,30,383,52.48041775456919,1.4624423963133641,5.240208877284595,6.698630136986301,48.764099634822344
136,Delta_With_Side=TRUE,80,30,348,53.44827586206896,1.4733316155629992,5.278735632183908,4.558333333333334,43.15255740477364
137,range>=165,60,70,116,57.758620689655174,1.646795827123696,7.482758620689655,4.132530120481928,40.94005112899491
138,side=BUY AND score>=6,100,30,276,53.985507246376805,1.66522462562396,7.242753623188406,8.565217391304348,85.34234325514272
139,range>=165,actual,actual,116,61.206896551724135,2.078495502861815,11.370689655172415,8.012048192771084,84.55206524702932
140,score>=8,100,30,435,51.49425287356322,1.43122009569378,4.972413793103448,5.022222222222222,42.145712712982515
141,VWAP_OK=TRUE,100,30,445,50.78651685393258,1.3896478737733309,4.550561797752809,5.8,36.80430186980302
142,regime=OR_mid AND score>=7,60,70,154,57.14285714285714,1.7441327990841442,8.441558441558442,7.523809523809524,47.63752134301738
143,Cvd_Pullback_Label=Riesgo de reversion,100,50,179,55.3072625698324,1.5428042572882925,6.553072625698324,0.08771929824561403,33.59551019347639
144,regime=OR_mid AND score>=8,60,70,148,60.13513513513513,1.7677496991576414,8.621621621621621,13.595238095238095,57.30461409596653
145,side=BUY AND score>=6,80,40,276,53.985507246376805,1.4766099635479952,5.684782608695652,3.891304347826087,42.700947817974075
146,regime=OR_mid AND score>=6,60,40,181,56.9060773480663,1.7296334012219958,7.917127071823204,10.448979591836734,45.664398152028525
147,range<=165,100,30,454,51.76211453744494,1.4496381771953843,5.063876651982379,2.0721649484536084,35.80458091923215
148,range>=165,80,40,116,59.48275862068966,2.13125,10.922413793103448,9.518072289156626,78.20771783273618
149,side=SELL AND score>=6,100,50,279,55.19713261648745,1.447142857142857,5.60931899641577,7.963414634146342,43.69969093636602
150,range>=165,actual,actual,116,63.793103448275865,2.019607843137255,11.206896551724139,11.759036144578314,79.58330953996762
151,regime=OR_large AND score>=7,60,60,153,58.16993464052288,1.5214914552045573,6.5816993464052285,4.870588235294117,43.48698608040783
152,regime=OR_mid AND score>=8,80,60,148,60.13513513513513,1.7486971627099015,8.736486486486486,4.4523809523809526,56.216692933427595
153,regime=OR_mid AND score>=8,80,30,148,55.4054054054054,1.6955085865257595,7.114864864864865,12.214285714285714,49.56201819654436
154,side=SELL AND score>=6,80,20,279,48.74551971326165,1.4304195804195805,4.412186379928316,4.902439024390244,35.625468920129194
155,range<=165,80,30,454,52.20264317180616,1.4420701823171926,4.966960352422907,7.422680412371134,50.01753767580948
156,APlus_Speed=FALSE,100,30,494,50.80971659919028,1.3696030640668524,4.297570850202429,7.333333333333333,42.56172945807413
157,Delta_With_Side=TRUE,100,30,348,52.58620689655172,1.5085183273102736,5.660919540229885,6.475,51.71696011997163
158,Speed_Profile=SCALP_NORMAL,100,30,496,50.806451612903224,1.3702157272094642,4.290322580645161,6.013888888888889,42.42136628961076
159,range>=165,60,60,116,61.206896551724135,1.8668261562998405,9.370689655172415,7.831325301204819,67.09268970755221
160,side=BUY AND score>=6,100,30,276,52.89855072463768,1.5248673740053051,5.7355072463768115,4.010869565217392,46.23161451528726
161,Side=SELL,100,30,284,54.22535211267606,1.583387622149837,6.306338028169014,10.845238095238095,64.47311767747175
162,VWAP_OK=FALSE,60,30,119,57.14285714285714,1.8416523235800344,8.218487394957982,8.18918918918919,46.310504819501915
163,VWAP_OK=TRUE,100,30,445,52.80898876404494,1.4566659963804545,5.103370786516854,6.442857142857143,45.69176062177684
164,range>=165,60,20,116,56.896551724137936,1.998,8.60344827586207,7.240963855421687,54.42126283894329
165,VWAP_OK=TRUE,100,30,445,51.91011235955057,1.431614572964364,4.871910112359551,3.257142857142857,48.0226635792816
166,range>=115,60,70,293,55.972696245733786,1.4792866941015088,5.962457337883959,8.385185185185184,37.70308936616675
167,Delta_With_Side=TRUE,80,40,348,55.172413793103445,1.5003684598378777,5.853448275862069,2.591666666666667,57.976647856090445
168,range>=115,100,30,293,52.901023890784984,1.49250149970006,5.604095563139932,0.7703703703703704,43.867403299839204
169,Side=BUY,100,30,280,53.57142857142857,1.6158854166666667,6.757142857142857,5.741935483870968,63.81538919610929
170,Delta_OK=TRUE,100,30,550,50.36363636363637,1.345571004530542,4.0218181818181815,3.297142857142857,34.01041189921169
171,regime=OR_mid AND score>=7,100,30,154,55.84415584415584,1.6909532483302976,7.3896103896103895,14.285714285714286,42.796335409714594
172,side=BUY AND score>=8,80,20,212,51.886792452830186,1.6014705882352942,5.787735849056604,5.680555555555555,41.4352090765567
173,Side=BUY,80,40,280,56.785714285714285,1.6443433029908974,7.078571428571428,3.075268817204301,60.5329239604496
174,regime=OR_mid AND score>=7,80,30,154,56.493506493506494,1.8625561978163134,8.720779220779221,15.071428571428571,63.57779920925817
175,side=BUY AND score>=6,100,30,276,53.985507246376805,1.546644844517185,6.050724637681159,6.271739130434782,47.03414247160016
176,VWAP_OK=FALSE,50,100,119,62.18487394957983,1.8105345911949686,8.663865546218487,9.18918918918919,63.193138439558766
177,VWAP_OK=TRUE,100,30,445,51.460674157303366,1.4556483691328561,5.148314606741573,6.785714285714286,61.985497405292335
178,Body_OK=TRUE,100,30,549,50.09107468123861,1.3243577839678118,3.8178506375227688,1.8160919540229885,29.30061501611771
179,Cvd_Pullback_Label=Riesgo de reversion,50,100,179,62.56983240223464,1.717695900363259,7.726256983240224,14.947368421052632,58.682954164898604
180,range>=165,80,30,116,56.03448275862068,1.8363787375415281,8.681034482758621,6.903614457831325,43.02925835307734
181,score>=8,100,30,435,51.03448275862069,1.3973562988183457,4.560919540229885,2.8074074074074074,42.353725387328076
182,score>=8,80,30,435,51.26436781609195,1.370942201108472,4.308045977011494,3.948148148148148,37.75567117727435
183,Cvd_Pullback_Label=Riesgo de reversion,100,40,179,59.217877094972074,1.7324016563146998,7.905027932960894,7.491228070175438,59.880289891262485
184,regime=OR_large AND score>=8,80,30,144,59.72222222222222,2.126031507876969,10.42361111111111,10.6375,91.9504674599118
185,Delta_With_Side=TRUE,100,60,348,56.60919540229885,1.4436172542150207,5.82183908045977,6.133333333333334,60.52322554947471
186,Side=SELL,100,30,284,53.52112676056338,1.519335250878875,5.721830985915493,6.154761904761905,49.29253668862868
187,range>=115,100,30,293,52.218430034129696,1.494820952944658,5.706484641638225,2.0592592592592593,42.17186826125897
188,Cvd_Pullback_Label=Riesgo de reversion,80,30,179,59.217877094972074,1.8299711815561959,8.044692737430168,11.842105263157896,74.73100745216492
189,regime=OR_mid AND score>=6,100,20,181,52.48618784530387,1.6,5.6353591160221,4.918367346938775,36.55856414952256
190,side=SELL AND score>=7,80,30,232,56.896551724137936,1.7233050847457627,7.357758620689655,4.609375,62.33144520972325
191,APlus_Speed=FALSE,100,30,494,50.0,1.3198975234842016,3.791497975708502,4.402777777777778,32.018521854613454
192,score>=8,100,30,435,51.03448275862069,1.3917567026810724,4.501149425287356,2.8,47.341237684652036
193,regime=OR_mid AND score>=7,60,30,154,55.84415584415584,1.738383195416932,7.532467532467533,6.904761904761905,55.609544568981306
194,regime=OR_mid AND score>=8,100,60,148,56.08108108108109,1.5997652582159625,6.905405405405405,13.095238095238095,39.68811330458172
195,side=BUY AND score>=6,100,30,276,52.89855072463768,1.5009671179883946,5.630434782608695,5.815217391304348,40.28363806740268
196,range<=165,80,30,454,50.881057268722465,1.361016306408798,4.1938325991189425,6.742268041237113,40.55201354329625
197,range<=165,100,20,454,47.57709251101321,1.3775210084033613,3.958149779735683,3.329896907216495,37.658773093377256
198,range>=95,100,30,404,51.48514851485149,1.4342162396873643,4.9504950495049505,3.4753086419753085,46.467662030703515
199,side=SELL AND score>=6,60,30,279,54.121863799283155,1.5430375540046528,5.85663082437276,2.8902439024390243,50.37281366112289
200,range<=165,100,20,454,48.458149779735685,1.441025641025641,4.546255506607929,6.948453608247423,40.79236956486505
201,VWAP_OK=FALSE,60,30,119,57.98319327731093,1.932088285229202,9.22689075630252,8.18918918918919,61.616071418069865
202,side=BUY AND score>=8,100,30,212,54.24528301886793,1.625216637781629,6.806603773584905,5.847222222222222,51.858184557396484
203,range>=115,80,30,293,53.242320819112635,1.5453408380237648,5.952218430034129,4.42962962962963,61.04512433114447
204,range>=165,actual,actual,116,55.172413793103445,1.6966211358734724,8.35344827586207,4.108433734939759,42.06748213709383
205,range<=165,100,30,454,51.76211453744494,1.4274350019402406,4.852422907488987,9.68041237113402,48.98773683879131
206,side=BUY AND score>=8,100,30,212,52.358490566037744,1.5694147800085434,6.287735849056604,7.902777777777778,41.62086342135184
207,VWAP_OK=FALSE,60,40,119,62.18487394957983,1.8220408163265307,8.46218487394958,16.243243243243242,53.47722041815023
208,Delta_With_Side=FALSE,80,40,216,55.092592592592595,1.576417419884963,6.49537037037037,14.157894736842104,40.520823042833115
209,regime=OR_mid AND score>=6,80,30,181,54.14364640883977,1.6149923508414075,6.662983425414365,14.0,44.38829788415207
210,APlus_Speed=FALSE,100,30,494,50.40485829959515,1.3559792027729636,4.157894736842105,4.965277777777778,43.99523709952955
211,Price_Accepted_After_Imbalance=FALSE,100,30,552,50.0,1.3304093567251463,3.8894927536231885,3.9195402298850577,44.128868952582295
212,Delta_With_Side=FALSE,100,30,216,53.70370370370371,1.6160267111853088,6.833333333333333,3.210526315789474,48.63321863651299
213,Delta_With_Side=FALSE,60,30,216,56.94444444444444,1.6697205680256528,6.768518518518518,8.596491228070175,45.45692474999007
214,Cvd_Pullback_Label=Excelente,100,30,342,52.046783625730995,1.4683252115927161,5.3391812865497075,7.485714285714286,49.215763861627714
215,Cvd_Pullback_Label=Excelente,100,30,342,51.75438596491229,1.4633770239013106,5.271929824561403,4.828571428571428,36.8475937113536
216,Cvd_Pullback_Label=Excelente,100,30,342,52.046783625730995,1.5020833333333334,5.637426900584796,6.819047619047619,36.707163368360554
217,range>=115,100,30,293,50.85324232081911,1.4947776783049835,5.658703071672355,8.962962962962964,35.68729395725251
218,side=SELL AND score>=6,60,40,279,54.48028673835126,1.4523668639053255,5.480286738351254,5.329268292682927,39.852752183875175
219,Delta_With_Side=TRUE,100,40,348,55.74712643678161,1.5053047125585985,5.885057471264368,4.616666666666666,51.04691061359771
220,side=SELL AND score>=8,80,40,223,57.847533632286996,1.6401792991035045,7.044843049327354,7.761904761904762,56.86350332311772
221,Body_OK=TRUE,100,30,549,50.63752276867031,1.3608586649952992,4.194899817850637,5.959770114942529,39.074957997318435
222,Side=BUY,100,40,280,53.57142857142857,1.5224102107450281,6.285714285714286,3.6451612903225805,34.06796853334797
223,Side=SELL,100,30,284,52.46478873239436,1.5286033876637903,5.823943661971831,3.75,48.455846573781116
224,regime=OR_mid AND score>=8,60,80,148,56.08108108108109,1.5836047774158524,7.263513513513513,4.476190476190476,49.01716877053075
225,score>=8,100,30,435,50.804597701149426,1.3622327790973872,4.206896551724138,4.8,40.69593490776831
226,range<=165,100,30,454,51.76211453744494,1.40495547812621,4.607929515418502,2.3608247422680413,39.30523624629259
227,side=BUY AND score>=6,80,30,276,54.347826086956516,1.5557398805573988,6.068840579710145,8.543478260869565,52.831790458492755
228,Delta_OK=TRUE,100,30,550,50.18181818181818,1.3333847816020992,3.9272727272727272,5.748571428571428,31.32475679695657
229,Delta_With_Side=FALSE,80,30,216,51.85185185185185,1.5384933774834437,6.023148148148148,8.75438596491228,36.59048872422279
230,range>=80,100,30,469,51.1727078891258,1.4,4.601279317697228,4.362068965517241,49.45210218786154
