rule,high_cut,low_cut,avg_contracts,c1,c3,c4,trades,wr,pf,expectancy,profit,dd,std,max_w_streak,max_l_streak,avg_win,avg_loss,avg_rr,months,trades_per_month
full_sample_top10_bottom30,9.0,8.0,1.3421052631578947,303.0,0.0,39.0,342,73.39181286549707,2.6286755771567436,97.98245614035088,33510.0,1895.0,295.8493805913673,25,4,215.4780876494024,-228.61111111111111,0.9425529957932547,0,
train_2022_2024_cutoffs_on_train,9.0,8.0,1.3924050632911393,206.0,0.0,31.0,237,71.30801687763713,2.071656512909777,77.9324894514768,18470.0,1895.0,316.5996303401004,25,4,211.27218934911244,-253.4558823529412,0.8335659341885492,0,
train_2022_2024_cutoffs_on_2025_2026,9.0,8.0,1.2285714285714286,97.0,0.0,8.0,105,78.0952380952381,5.502994011976048,143.23809523809524,15040.0,405.0,237.79433275131834,14,2,224.14634146341464,-151.8181818181818,1.47641302760333,0,
expanding_walkforward_prior_year_cutoffs,,,,,,,243,77.36625514403292,3.4015813566375366,118.7448559670782,28855.0,1600.0,293.1821154407933,25,4,217.39361702127658,-222.5,0.9770499641405689,0,
