filter,tp,sl,trades,wr,pf,expectancy,profit,dd,std,max_w_streak,max_l_streak,avg_win,avg_loss,avg_rr,months,trades_per_month,train_trades,train_pf,train_exp,test_trades,test_pf,test_exp,active_months,monthly_exp_cv,bad_months_pf_lt_1,robust_score
ALL_TRADES,actual,actual,564,52.836879432624116,1.203370786516854,2.8882978723404253,1629.0,674.0,35.47139950062281,6,9,32.34563758389262,-30.22641509433962,1.0701116054596185,0,,387,1.0244589125461905,0.35917312661498707,177,1.6403094112591319,8.418079096045197,39,2.6423039690076475,14,20.629192793423844
ALL_TRADES,20,20,564,46.09929078014184,0.858085808580858,-1.524822695035461,-860.0,1000.0,19.94168463135789,6,9,20.0,-20.0,1.0,0,,387,0.8169014084507042,-2.0155038759689923,177,0.9555555555555556,-0.4519774011299435,39,4.668328963451036,22,-4.985768425129818
ALL_TRADES,20,30,564,50.35460992907801,0.8581356700407916,-1.6648936170212767,-939.0,1089.0,22.11505779641043,9,9,20.0,-23.724014336917563,0.8430276476809185,0,,387,0.8204233035129828,-2.1266149870801034,177,0.9430255402750491,-0.655367231638418,39,4.876165728214667,22,-5.268391435519696
ALL_TRADES,20,40,564,52.12765957446809,0.8321539767902633,-2.102836879432624,-1186.0,1346.0,23.919121992898848,9,9,20.0,-26.267657992565056,0.7613925842060572,0,,387,0.7963688879719414,-2.550387596899225,177,0.9103199639477242,-1.1242937853107344,39,4.180625922932857,23,-7.201868800638463
ALL_TRADES,20,50,564,52.836879432624116,0.7861759662313679,-2.874113475177305,-1621.0,1771.0,25.841986780048643,9,9,20.0,-28.60754716981132,0.6991162115815855,0,,387,0.7339798440768207,-3.6149870801033592,177,0.9043927648578811,-1.2542372881355932,39,3.016306259749643,25,-11.521951354161393
ALL_TRADES,20,60,564,54.43262411347518,0.7995832790727959,-2.728723404255319,-1539.0,1922.0,27.247418919945883,9,9,20.0,-29.99609375,0.6667534835265009,0,,387,0.7141555838950628,-4.054263565891473,177,1.0136986301369864,0.1694915254237288,39,3.757253743488141,22,-9.737342183738905
ALL_TRADES,20,70,564,57.62411347517731,0.9795057263411694,-0.24113475177304963,-136.0,961.0,25.61524321636083,10,9,20.0,-27.88235294117647,0.7172995780590717,0,,387,0.8553719008264463,-1.8087855297157622,177,1.3140311804008908,3.1864406779661016,39,113.76022452148344,15,-0.04871490448625153
ALL_TRADES,20,80,564,57.62411347517731,0.9756829780846593,-0.2872340425531915,-162.0,957.0,25.751561648315807,10,9,20.0,-27.991596638655462,0.7145001501050735,0,,387,0.8560794044665012,-1.7984496124031009,177,1.2924424972617743,3.016949152542373,39,256.6898607825605,15,-0.025789275185394277
ALL_TRADES,20,100,564,57.801418439716315,0.9845967985502869,-0.18085106382978725,-102.0,957.0,25.79388010331468,10,9,20.0,-27.940928270042193,0.7157958320749018,0,,387,0.8560794044665012,-1.7984496124031009,177,1.3325867861142218,3.3559322033898304,39,52.83591974729029,15,-0.07799293063274161
ALL_TRADES,30,20,564,46.09929078014184,1.033993399339934,0.36524822695035464,206.0,447.0,22.23245347070947,6,9,24.1,-20.0,1.205,0,,387,0.9657276995305164,-0.3772609819121447,177,1.1955555555555555,1.9887005649717515,39,8.744834537833464,17,0.8809807740417974
ALL_TRADES,30,30,564,49.822695035460995,1.0306794372942232,0.36347517730496454,205.0,433.0,24.580259216319885,6,9,24.508896797153024,-23.69503546099291,1.0343473356475834,0,,387,0.9545845888936719,-0.5452196382428941,177,1.2043222003929273,2.3502824858757063,39,9.45152373497833,16,0.8190999752599838
ALL_TRADES,30,40,564,51.41843971631206,1.0002795248078267,0.0035460992907801418,2.0,644.0,26.41034274861109,6,9,24.679310344827588,-26.208791208791208,0.9416424492156439,0,,387,0.9338085539714868,-0.8397932816537468,177,1.1456570155902004,1.847457627118644,39,7.987232619568289,16,0.0089639617641153
ALL_TRADES,30,50,564,52.12765957446809,0.948761408083442,-0.6968085106382979,-393.0,1005.0,28.286065780298742,6,9,24.75170068027211,-28.513011152416357,0.8680844176001561,0,,387,0.8615182262307404,-1.9043927648578811,177,1.1465076660988074,1.9435028248587571,39,33.73715011339823,18,-0.4460499822526478
ALL_TRADES,30,60,564,53.191489361702125,0.9426115535330553,-0.8049645390070922,-454.0,1316.0,29.81728092464863,8,9,24.856666666666666,-30.079847908745247,0.8263561285973118,0,,387,0.8176824946846208,-2.6589147286821704,177,1.2536391707101897,3.248587570621469,39,44.51804078922438,20,-0.39147132718197736
ALL_TRADES,30,70,564,54.78723404255319,1.043061555075594,0.5656028368794326,319.0,961.0,29.238061664590077,8,9,25.006472491909385,-29.165354330708663,0.8574033494796144,0,,387,0.8898225957049486,-1.524547803617571,177,1.4427666829030688,5.135593220338983,39,6.137569904687184,18,1.8437347105104784
ALL_TRADES,30,80,564,54.78723404255319,1.0394135055152005,0.5195035460992907,293.0,957.0,29.358831795069996,8,9,25.006472491909385,-29.26771653543307,0.8544046291289997,0,,387,0.8904877592973276,-1.5142118863049097,177,1.4219875180028805,4.966101694915254,39,6.30363858692308,18,1.6514486016985417
ALL_TRADES,30,100,564,54.96453900709219,1.0490938598863944,0.6436170212765957,363.0,957.0,29.407752841957087,8,9,25.02258064516129,-29.225296442687746,0.8561959566169606,0,,387,0.8904877592973276,-1.5142118863049097,177,1.4645129711209006,5.361581920903955,39,5.694742362173634,18,2.240753294500811
ALL_TRADES,40,20,564,46.09929078014184,1.1288778877887788,1.3847517730496455,781.0,396.0,23.76840256904695,6,9,26.31153846153846,-20.0,1.315576923076923,0,,387,1.0448356807511736,0.4935400516795866,177,1.3277777777777777,3.3333333333333335,39,4.079779680965224,13,6.85821907435009
ALL_TRADES,40,30,564,49.822695035460995,1.1379826399281652,1.6347517730496455,922.0,394.0,26.304770615458324,6,9,27.060498220640568,-23.69503546099291,1.142032400212607,0,,387,1.045630650021524,0.5478036175710594,177,1.3487229862475443,4.011299435028248,39,3.9724741429505825,14,8.286703259546332
ALL_TRADES,40,40,564,51.24113475177305,1.0999165043139438,1.2730496453900708,718.0,519.0,28.173528205946152,6,9,27.34948096885813,-26.226277372262775,1.042827412394535,0,,387,1.0155838899008298,0.19896640826873385,177,1.2855233853006682,3.621468926553672,39,3.4880300666228026,15,6.82464081358208
ALL_TRADES,40,50,564,51.95035460992907,1.0471367354888976,0.6436170212765957,363.0,755.0,30.050146573625995,6,9,27.522184300341298,-28.522222222222222,0.9649382886757759,0,,387,0.9374182701288997,-0.8656330749354005,177,1.297274275979557,3.943502824858757,39,4.913696414209718,16,2.5309399860626356
ALL_TRADES,40,60,564,53.01418439716312,1.0430622009569377,0.6063829787234043,342.0,967.0,31.57788355883835,8,9,27.705685618729095,-30.083333333333332,0.9209646189051223,0,,387,0.8912775330396476,-1.5943152454780363,177,1.4230260255844729,5.418079096045198,39,5.3472229848440564,17,2.214456912083338
ALL_TRADES,40,70,564,53.90070921985816,1.1054071661237785,1.4343971631205674,809.0,917.0,31.392846100894552,8,9,27.907894736842106,-29.633204633204635,0.9417778158751928,0,,387,0.9404286233200145,-0.8475452196382429,177,1.524204702627939,6.423728813559322,39,3.8528258493259844,15,7.1897217370716815
ALL_TRADES,40,80,564,53.90070921985816,1.1016751071289443,1.3882978723404256,783.0,913.0,31.50663080470876,8,9,27.907894736842106,-29.733590733590734,0.938598199823673,0,,387,0.9411123227917121,-0.8372093023255814,177,1.5034106412005457,6.254237288135593,39,3.9096061653717396,15,6.860782238665408
ALL_TRADES,40,100,564,54.07801418439716,1.112648479310795,1.5301418439716312,863.0,913.0,31.567641086172188,8,9,27.947540983606558,-29.6937984496124,0.941191172662902,0,,387,0.9411123227917121,-0.8372093023255814,177,1.5497915701713756,6.706214689265536,39,3.6625019972692483,14,8.051889389816347
ALL_TRADES,50,20,564,46.09929078014184,1.2077557755775579,2.232269503546099,1259.0,346.0,25.284827648758384,6,9,28.15,-20.0,1.4075,0,,387,1.1183098591549296,1.302325581395349,177,1.4194444444444445,4.265536723163842,39,3.1204692387421114,13,14.375876704496461
ALL_TRADES,50,30,564,49.822695035460995,1.2268781801855733,2.6879432624113475,1516.0,394.0,27.99705256036469,6,9,29.17437722419929,-23.69503546099291,1.2312442947058067,0,,387,1.1293585880327164,1.5529715762273901,177,1.449410609037328,5.169491525423729,39,2.948144431473403,11,18.5140158479029
ALL_TRADES,50,40,564,51.24113475177305,1.190926802115224,2.4326241134751774,1372.0,435.0,29.924726159658874,6,9,29.612456747404845,-26.226277372262775,1.129113992316856,0,,387,1.1024084193483101,1.3074935400516796,177,1.3857461024498887,4.892655367231638,39,2.5321782733263962,10,18.16026529288919
ALL_TRADES,50,50,564,51.95035460992907,1.1372549019607843,1.874113475177305,1057.0,600.0,31.81742046766567,6,9,29.890784982935152,-28.522222222222222,1.0479823328648865,0,,387,1.0175602465906968,0.24289405684754523,177,1.410136286201022,5.440677966101695,39,3.0742957176404935,14,11.417448551048064
ALL_TRADES,50,60,564,53.01418439716312,1.1354822462855705,1.9078014184397163,1076.0,786.0,33.35745382798116,8,9,30.160535117056856,-30.083333333333332,1.0025662642788984,0,,387,0.9686343612334801,-0.4599483204134367,177,1.553153947948831,7.084745762711864,39,3.241552743399004,14,11.182669097841302
ALL_TRADES,50,70,564,53.36879432624113,1.1607893061744112,2.2393617021276597,1263.0,796.0,33.39517110650969,8,9,30.292358803986712,-29.980916030534353,1.010388033945833,0,,387,1.0055695292849443,0.08010335917312661,177,1.5382262996941896,6.96045197740113,39,3.0199758793092304,14,14.097665025570034
ALL_TRADES,50,80,564,53.36879432624113,1.1569597766780866,2.1932624113475176,1237.0,792.0,33.5032655124088,8,9,30.292358803986712,-30.080152671755727,1.007054689334414,0,,387,1.0062927004674578,0.09043927648578812,177,1.5183268650280293,6.790960451977401,39,3.0510866448421328,14,13.664816716070408
ALL_TRADES,50,100,564,53.54609929078015,1.1692386175232752,2.352836879432624,1327.0,792.0,33.57980831651217,8,9,30.357615894039736,-30.042145593869733,1.0105009244158105,0,,387,1.0062927004674578,0.09043927648578812,177,1.5669153137340939,7.299435028248587,39,2.8982350676690785,13,15.439497312589143
ALL_TRADES,60,20,564,46.09929078014184,1.270957095709571,2.9113475177304964,1642.0,340.0,26.686508701424426,6,9,29.623076923076923,-20.0,1.481153846153846,0,,387,1.1723004694835681,1.896640826873385,177,1.5044444444444445,5.129943502824859,39,2.752544901796621,12,21.642781951185675
ALL_TRADES,60,30,564,49.822695035460995,1.3002095181083508,3.5567375886524824,2006.0,394.0,29.59283146109606,6,9,30.918149466192173,-23.69503546099291,1.3048365982439678,0,,387,1.193069306930693,2.317829457364341,177,1.5446954813359528,6.265536723163842,39,2.55525072917709,8,29.20606897552489
