case,trades,wr,pf,expectancy,profit,dd,std,max_w_streak,max_l_streak,avg_win,avg_loss,avg_rr,months,trades_per_month
raw_actual_all_trades,564,52.836879432624116,1.203370786516854,2.8882978723404253,1629.0,674.0,35.47139950062281,6,9,32.34563758389262,-30.22641509433962,1.0701116054596185,39,14.461538461538462
no_cvd_filter_TP100_SL40,564,51.24113475177305,1.2720567770665183,3.4663120567375887,1955.0,435.0,31.794867597740755,6,9,31.629757785467127,-26.226277372262775,1.2060330689142766,39,14.461538461538462
current_reported_final_CVD_Excelente_TP100_SL40,342,73.39181286549707,3.005281026027914,15.543859649122806,5316.0,120.0,30.9569203129882,25,4,31.741035856573706,-29.455555555555556,1.077590806145467,39,8.76923076923077
excluded_non_Excelente_TP100_SL40,222,17.117117117117118,0.2588754134509372,-15.13963963963964,-3361.0,3361.0,22.8723262583157,3,24,30.894736842105264,-24.64673913043478,1.253502001972959,37,6.0
