Cvd_Pullback_Label,trades,wr,pf,expectancy,profit,dd,std,max_w_streak,max_l_streak,avg_win,avg_loss,avg_rr,months,trades_per_month
Excelente,342,73.39181286549707,3.005281026027914,15.543859649122806,5316.0,120.0,30.9569203129882,25,4,31.741035856573706,-29.455555555555556,1.077590806145467,39,8.76923076923077
Riesgo de reversion,179,13.40782122905028,0.18527131782945735,-17.614525139664803,-3153.0,3163.0,20.70640163654504,1,22,29.875,-24.967741935483872,1.1965439276485788,37,4.837837837837838
Normal,22,31.818181818181817,0.7514619883040936,-3.8636363636363638,-85.0,121.0,30.22974797013138,2,5,36.714285714285715,-22.8,1.6102756892230576,15,1.4666666666666666
Advertencia,21,33.33333333333333,0.6191950464396285,-5.857142857142857,-123.0,183.0,26.835211410170995,3,4,28.571428571428573,-23.071428571428573,1.238390092879257,18,1.1666666666666667
