month,trades,wr,pf,expectancy,profit,dd,std,max_w_streak,max_l_streak,avg_win,avg_loss,avg_rr,months,trades_per_month
2022-04,19,47.368421052631575,1.05,0.631578947368421,12.0,109.0,28.746421084131477,4,4,28.0,-24.0,1.1666666666666667,0,
2022-05,21,52.38095238095239,1.6936936936936937,7.333333333333333,154.0,100.0,31.56633227559599,5,4,34.18181818181818,-22.2,1.5397215397215396,0,
2022-06,19,63.1578947368421,2.197802197802198,11.473684210526315,218.0,80.0,32.27549538487645,3,3,33.333333333333336,-26.0,1.2820512820512822,0,
2022-07,20,45.0,0.9344729344729344,-1.15,-23.0,170.0,37.32682822398868,4,3,36.44444444444444,-31.90909090909091,1.1421335865780309,0,
2022-08,22,31.818181818181817,0.5560859188544153,-8.454545454545455,-186.0,262.0,31.129112499742824,2,6,33.285714285714285,-27.933333333333334,1.1916126832594613,0,
2022-09,17,58.82352941176471,1.425,4.0,68.0,60.0,23.85634087616959,3,2,22.8,-22.857142857142858,0.9975,0,
2022-10,20,55.00000000000001,1.4780876494023905,6.0,120.0,131.0,34.65772489268218,3,4,33.72727272727273,-27.88888888888889,1.2093444404201377,0,
2022-11,4,75.0,7.8,34.0,136.0,20.0,43.01937547973781,3,1,52.0,-20.0,2.6,0,
2023-03,10,40.0,0.8888888888888888,-2.0,-20.0,160.0,39.38414796731181,3,5,40.0,-30.0,1.3333333333333333,0,
2023-04,11,36.36363636363637,0.4419889502762431,-9.181818181818182,-101.0,161.0,24.317969412836185,3,6,20.0,-25.857142857142858,0.7734806629834254,0,
2023-05,17,29.411764705882355,0.3816793893129771,-9.529411764705882,-162.0,162.0,20.214838754794783,3,5,20.0,-21.833333333333332,0.9160305343511451,0,
2023-06,19,52.63157894736842,1.3474178403755868,3.8947368421052633,74.0,112.0,29.694546332135555,5,3,28.7,-23.666666666666668,1.212676056338028,0,
2023-07,13,53.84615384615385,1.875,10.76923076923077,140.0,120.0,39.6781926800979,3,4,42.857142857142854,-26.666666666666668,1.607142857142857,0,
2023-08,20,55.00000000000001,1.2307692307692308,2.55,51.0,120.0,27.234797787505528,4,3,24.727272727272727,-24.555555555555557,1.0069930069930069,0,
2023-09,15,53.333333333333336,1.33125,3.533333333333333,53.0,60.0,27.84617610749318,4,2,26.625,-22.857142857142858,1.16484375,0,
2023-10,18,44.44444444444444,0.7239819004524887,-3.388888888888889,-61.0,141.0,22.008391150780458,3,4,20.0,-22.1,0.9049773755656108,0,
2023-11,2,50.0,1.5,5.0,10.0,20.0,35.35533905932738,1,1,30.0,-20.0,1.5,0,
2024-03,12,58.333333333333336,1.3893129770992367,4.25,51.0,71.0,29.58231965826271,3,2,26.0,-26.2,0.9923664122137404,0,
2024-04,14,42.857142857142854,1.0772727272727274,1.2142857142857142,17.0,200.0,37.061650449837416,4,5,39.5,-27.5,1.4363636363636363,0,
2024-05,17,47.05882352941176,1.0434782608695652,0.47058823529411764,8.0,64.0,23.997702095874786,2,3,24.0,-20.444444444444443,1.173913043478261,0,
2024-06,14,35.714285714285715,0.995475113122172,-0.07142857142857142,-1.0,100.0,36.83740633506253,2,4,44.0,-24.555555555555557,1.7918552036199094,0,
2024-07,17,47.05882352941176,0.9493087557603687,-0.6470588235294118,-11.0,117.0,27.710424880517866,3,4,25.75,-24.11111111111111,1.0679723502304148,0,
2024-08,16,50.0,1.260204081632653,3.1875,51.0,91.0,30.73807356791682,3,3,30.875,-24.5,1.260204081632653,0,
2024-09,13,53.84615384615385,1.390625,3.8461538461538463,50.0,41.0,24.771778814631496,2,2,25.428571428571427,-21.333333333333332,1.1919642857142858,0,
2024-10,16,56.25,1.6243093922651934,7.0625,113.0,100.0,32.981750004105805,4,3,32.666666666666664,-25.857142857142858,1.2633517495395947,0,
2024-11,1,100.0,inf,60.0,60.0,-60.0,,1,0,60.0,,,0,
