Cvd_Worst_Label,trades,wr,pf,expectancy,profit,dd,std,max_w_streak,max_l_streak,avg_win,avg_loss,avg_rr,months,trades_per_month
Riesgo de reversion,340,48.23529411764706,1.0931339225016996,1.2088235294117646,411.0,540.0,29.635951097136957,8,9,29.414634146341463,-25.073863636363637,1.1731193314652384,37,9.18918918918919
Excelente,157,48.40764331210191,1.183056619838229,2.738853503184713,430.0,202.0,36.05944993266467,8,6,36.56578947368421,-29.3625,1.2453227577244517,37,4.243243243243243
Advertencia,34,70.58823529411765,3.596707818930041,18.558823529411764,631.0,101.0,33.15088661593322,6,2,36.416666666666664,-24.3,1.498628257887517,22,1.5454545454545454
Normal,33,75.75757575757575,3.6685082872928176,14.636363636363637,483.0,40.0,24.119258619693028,7,1,26.56,-22.625,1.1739226519337016,24,1.375
