year,trades,wr,pf,expectancy,profit,dd,std,max_w_streak,max_l_streak,avg_win,avg_loss,avg_rr,months,trades_per_month
2022,99,63.63636363636363,1.9990494296577948,10.616161616161616,1051.0,120.0,33.645422125668595,7,4,33.38095238095238,-29.22222222222222,1.142313959804454,0,
2023,67,79.1044776119403,3.3696682464454977,14.925373134328359,1000.0,120.0,26.96760875953124,24,4,26.830188679245282,-30.142857142857142,0.8901010462308862,0,
2024,71,74.64788732394366,3.1552062868369353,15.450704225352112,1097.0,104.0,29.28909535372916,7,2,30.30188679245283,-28.27777777777778,1.0715794936427327,0,
2025,68,77.94117647058823,4.098360655737705,19.455882352941178,1323.0,80.0,29.719300640377067,14,2,33.0188679245283,-30.5,1.0825858335910918,0,
2026,37,78.37837837837837,4.5062240663900415,22.83783783783784,845.0,81.0,34.63661639356817,7,2,37.44827586206897,-30.125,1.2430962941765633,0,
