feature_set,model,split,n,feature_count,balanced_accuracy,roc_auc,mbp_nonmissing_mean_pct
BASELINE,logistic,validation,25,10,0.6066176470588236,0.5661764705882353,73.00000000000001
BASELINE,logistic,holdout,29,10,0.3222222222222222,0.27777777777777773,63.793103448275865
BASELINE,random_forest,validation,25,10,0.7022058823529411,0.6397058823529411,73.00000000000001
BASELINE,random_forest,holdout,29,10,0.3222222222222222,0.26111111111111107,63.793103448275865
MBP_ONLY,logistic,validation,25,12,0.49264705882352944,0.38235294117647056,73.00000000000001
MBP_ONLY,logistic,holdout,29,12,0.4638888888888889,0.46111111111111114,63.793103448275865
MBP_ONLY,random_forest,validation,25,12,0.48897058823529416,0.4852941176470588,73.00000000000001
MBP_ONLY,random_forest,holdout,29,12,0.5083333333333333,0.5111111111111111,63.793103448275865
BASELINE_PLUS_MBP,logistic,validation,25,22,0.45588235294117646,0.573529411764706,73.00000000000001
BASELINE_PLUS_MBP,logistic,holdout,29,22,0.37777777777777777,0.2833333333333333,63.793103448275865
BASELINE_PLUS_MBP,random_forest,validation,25,22,0.6102941176470589,0.6397058823529411,73.00000000000001
BASELINE_PLUS_MBP,random_forest,holdout,29,22,0.3527777777777778,0.25,63.793103448275865
