model,split,status,n,balanced_accuracy,roc_auc,confusion_matrix
logistic,validation,OK,7,0.75,0.5833333333333334,"[[2, 2], [0, 3]]"
logistic,holdout,OK,8,0.875,0.9375,"[[4, 0], [1, 3]]"
decision_tree,validation,OK,7,0.7083333333333333,0.7083333333333334,"[[3, 1], [1, 2]]"
decision_tree,holdout,OK,8,0.75,1.0,"[[2, 2], [0, 4]]"
random_forest,validation,OK,7,0.875,0.9166666666666666,"[[3, 1], [0, 3]]"
random_forest,holdout,OK,8,1.0,1.0,"[[4, 0], [0, 4]]"
catboost,validation,OK,7,0.875,0.9166666666666666,"[[3, 1], [0, 3]]"
catboost,holdout,OK,8,1.0,1.0,"[[4, 0], [0, 4]]"
