fecha,prediction_timestamp,split,born_bad_group,born_bad_reason,Result_Label,realized_ticks_for_label,MFE_ticks,MAE_ticks,Trade_Duration,Entry_price,ExecutionSide,canonical_source_file,causal_row_flag,Delta1s,Delta2s,Delta3s,Delta5s,Delta10s,PeakPositiveDelta,PeakNegativeDelta,DeltaChange1s,DeltaChangeZScore,DeltaPercentile,BuySellRatio,TradesPerSecond,ContractsPerSecond,Velocity1s,Velocity3s,Velocity5s,Acceleration1s,Acceleration3s,TicksPerSecond,CumulativeDeltaWindow,OR_WidthTicks,Dist_OR_High_Ticks,Dist_OR_Low_Ticks,Dist_VWAP_Ticks,Dist_POC_Ticks,Dist_VAH_Ticks,Dist_VAL_Ticks,Dist_HVN_Ticks,Dist_LVN_Ticks,range,Body_AtEntry,Volume_AtEntry,Delta_AtEntry,Cumulative_Delta_AtEntry,Previous_Volume_AtEntry,Previous_Delta_AtEntry,Delta_Change_AtEntry,BreakOut_TICKS_PER_SEC_AtEntry,Score_AtEntry,Buy_Imbalance_Count_AtEntry,Sell_Imbalance_Count_AtEntry,Seconds_From_Open_AtEntry,Directional_OR_Extension_Ticks_AtEntry,Directional_VWAP_Distance_Ticks_AtEntry,Nearest_OR_Edge_Distance_Ticks_AtEntry,Body_OR_Ratio_AtEntry,Signed_Delta_Share_AtEntry,Signed_Previous_Delta_Share_AtEntry,Prior_Closed_ATR3_Ticks_AtEntry,Prior_Closed_ATR5_Ticks_AtEntry,PreEntry_Directional_Efficiency3_AtEntry,PreEntry_Directional_Delta_Share3_AtEntry,PreEntry_Range_Compression3_AtEntry,PreEntry_Volume_Climax_Ratio_AtEntry,Nearest_OR_Edge_Retest_Count_AtEntry,Nearest_OR_Edge_Acceptance_Ratio3_AtEntry,Directional_CLV_AtEntry,signed_delta_1s,signed_delta_change_1s,signed_velocity_1s,signed_velocity_3s,signed_acceleration_1s,price_impact_per_100_contracts,absorption_pressure_1s,delta_share_of_volume,mean_trade_size,delta_persistence_1_3,delta_persistence_3_5,direction_consistency,velocity_consistency,flow_price_alignment,acceleration_velocity_ratio,directional_vwap_distance,directional_poc_distance,profile_confluence_4t,burst_efficiency_score,liquidity_absorption_score,seconds_from_open,minute_from_open,weekday_index,month_index,execution_side_sign,or_position_fraction,distance_nearest_or_edge_ticks,distance_nearest_profile_reference_ticks,vwap_poc_spread_ticks,signed_velocity_decay_1_5,signed_delta_decay_1_5,execution_cvd_alignment
2025-09-12,2025-09-12 13:35:57.048497900+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,28.0,35,5,00:14,24020.0,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-09-12_NY.csv,True,-161,-198,-193,-198,-211,5,-161,-124,-4.96705740051441,1.0,0.218446601941748,208,251,-2,-1.0,-1.0,0,-0.333333333333333,-2,-193,20.0,-36.0,-16.0,-17.848141871444135,-16,-24,-6,0,2,100,60,2247,-505,139,1274,-78,-427,1.05,10,0,0,357.0485,-180,-30.44,80,0.6,-0.22,-0.06,56.67,75,-0.24,-0.04,0.57,0.49,4,0.67,-0.71,161.0,124.0,2.0,1.0,-0.0,0.796812749003984,80.5,0.6414342629482072,1.2067307692307692,0.3995859213250518,0.6155440414507772,1.0,1.0,1,-0.0,17.848141871444135,16.0,2,0.012422360248447204,64.4,357,5.95,4,9,1.0,-0.8,16.0,0,1.8481418714441347,-1.0,-121.4,1.0
2025-09-16,2025-09-16 13:33:56.159462100+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,28.0,30,35,02:57,24570.0,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-09-16_NY.csv,True,-150,-209,-242,-283,-328,-2,-150,-91,-3.152332879743788,0.982978723404255,0.464285714285714,328,410,-3,-2.333333333333333,-1.6,0,-0.666666666666667,-3,-242,16.0,-25.0,-9.0,-14.704737885065754,-15,-20,-10,1,-2,80,40,1936,-364,-1298,2206,-24,-340,0.71,10,0,0,236.1595,-125,-135.14,45,0.5,-0.19,-0.01,75.0,64,0.03,-0.03,0.94,0.7,1,0.0,-0.58,150.0,91.0,3.0,2.333333333333333,-0.0,0.7317073170731707,50.0,0.36585365853658536,1.25,0.5377777777777778,0.7016528925619835,1.0,1.0,1,-0.0,14.704737885065754,15.0,2,0.02,35.0,236,3.933333333333333,1,9,1.0,-0.5625,9.0,1,0.29526211493424626,-1.4,-93.4,-1.0
2025-09-18,2025-09-18 13:32:26.097938300+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,0,00:40,24698.75,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-09-18_NY.csv,True,248,268,287,278,369,248,-20,228,7.125652624445122,1.0,11.782608695652174,72,294,1,1.666666666666667,0.4,-2,1.0,1,287,30.0,5.0,35.0,18.128568691320176,23,12,32,0,1,150,25,1957,443,2523,3618,-40,483,0.96,11,1,0,146.0979,-175,-39.95,25,0.17,-0.23,0.01,108.33,89,-0.93,0.01,0.72,0.0,0,0.0,-0.82,248.0,228.0,1.0,1.666666666666667,-2.0,0.3401360544217687,248.0,0.8435374149659864,4.083333333333333,0.385752688172043,0.581184668989547,1.0,1.0,1,-2.0,18.128568691320176,23.0,2,0.004032258064516129,223.20000000000002,146,2.433333333333333,3,9,-1.0,1.1666666666666667,5.0,0,4.871431308679824,-0.6,-192.4,-1.0
2025-09-23,2025-09-23 13:35:26.055932600+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,02:04,24986.25,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-09-23_NY.csv,True,-192,-206,-187,-206,-210,19,-192,-178,-7.413879001051782,1.0,0.213114754098361,213,296,-2,-1.0,-0.8,0,0.0,-2,-187,12.0,-15.0,-3.0,-7.893241526840029,-5,-10,-3,1,0,60,15,1245,-157,391,2671,-213,56,0.58,11,0,1,326.0559,-75,-54.3,15,0.25,-0.13,-0.08,61.67,60,-0.05,0.0,1.03,1.12,2,0.0,-0.33,192.0,178.0,2.0,1.0,-0.0,0.6756756756756757,96.0,0.6486486486486487,1.3896713615023475,0.3246527777777778,0.6609625668449198,1.0,1.0,1,-0.0,7.893241526840029,5.0,3,0.010416666666666666,76.80000000000001,326,5.433333333333334,1,9,1.0,-0.25,3.0,0,2.893241526840029,-1.2,-150.8,1.0
2025-09-25,2025-09-25 13:36:10.118021800+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,00:26,24501.25,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-09-25_NY.csv,True,-102,-99,-155,-139,-167,20,-102,-105,-3.997483687316537,0.996666666666667,0.310810810810811,138,194,0,-1.0,-1.0,1,0.333333333333333,0,-155,37.0,-62.0,-25.0,-29.61525451695405,-31,-51,-21,-1,1,185,15,792,-172,-4451,3302,-194,22,1.48,10,0,2,370.118,-310,-495.97,125,0.08,-0.22,-0.06,95.0,94,-0.59,-0.06,0.51,1.03,3,0.67,0.44,102.0,105.0,-0.0,1.0,-1.0,0.0,408.0,0.5257731958762887,1.4057971014492754,0.5065359477124183,0.5380645161290323,1.0,0.6666666666666666,0,-4.0,29.61525451695405,31.0,2,-0.0,408.0,370,6.166666666666667,3,9,1.0,-0.6756756756756757,25.0,1,1.3847454830459505,1.0,-74.2,-1.0
2025-09-26,2025-09-26 13:32:19.078466600+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,00:12,24663.75,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-09-26_NY.csv,True,133,153,162,163,240,133,-12,113,3.006459953866201,0.985507246376812,4.41025641025641,173,211,6,3.333333333333333,1.8,5,2.333333333333333,6,162,43.0,5.0,48.0,30.768065268065268,35,21,47,0,1,215,25,1593,379,1394,4657,299,80,1.31,10,0,0,139.0785,-240,-63.06,25,0.12,-0.24,-0.06,135.0,99,-0.73,-0.06,0.63,0.0,0,0.0,-0.3,133.0,113.0,6.0,3.333333333333333,5.0,2.843601895734597,22.166666666666668,0.6303317535545023,1.2196531791907514,0.40601503759398494,0.6037037037037037,1.0,1.0,1,0.8333333333333334,30.768065268065268,35.0,2,0.045112781954887216,8.866666666666667,139,2.316666666666667,4,9,-1.0,1.1162790697674418,5.0,0,4.231934731934732,-4.2,-100.4,-1.0
2025-09-30,2025-09-30 13:33:14.016080300+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,00:08,24790.0,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-09-30_NY.csv,True,-173,-204,-212,-204,-183,42,-173,-142,-4.377582057186779,0.989637305699482,0.151960784313725,202,235,-1,-1.333333333333333,-0.6,0,0.0,-1,-212,24.0,-33.0,-9.0,-14.262345679012347,-7,-20,-3,0,1,120,20,655,-219,-249,1472,-92,-127,1.43,10,0,2,194.0161,-165,-88.64,45,0.17,-0.33,-0.06,85.0,65,-0.37,-0.06,0.71,0.63,2,0.5,0.41,173.0,142.0,1.0,1.333333333333333,-0.0,0.425531914893617,173.0,0.7361702127659574,1.1633663366336633,0.40847784200385356,0.5773584905660377,1.0,1.0,1,-0.0,14.262345679012347,7.0,3,0.005780346820809248,155.70000000000002,194,3.2333333333333334,1,9,1.0,-0.375,9.0,0,7.262345679012347,-0.4,-132.2,-1.0
2025-10-01,2025-10-01 13:31:34.992318600+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,28.0,55,0,00:04,24807.5,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-10-01_NY.csv,True,145,170,201,223,322,145,-14,120,3.741332207061936,0.98936170212766,2.647727272727273,268,321,9,4.333333333333333,2.6,7,2.666666666666667,9,201,20.0,31.0,51.0,36.18367346938776,46,35,50,2,0,100,155,3008,522,78,5283,-625,1147,4.43,10,0,0,94.9923,-255,-230.35,155,1.55,-0.17,0.12,60.0,52,0.0,0.0,0.6,0.0,0,0.0,-1.0,145.0,120.0,9.0,4.333333333333333,7.0,2.803738317757009,16.11111111111111,0.4517133956386293,1.1977611940298507,0.46206896551724136,0.6656716417910448,1.0,1.0,1,0.7777777777777778,36.18367346938776,46.0,2,0.06206896551724138,1.6111111111111107,94,1.5666666666666667,2,10,-1.0,2.55,31.0,0,9.816326530612237,-6.4,-100.4,-1.0
2025-10-02,2025-10-02 13:37:22.032887100+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,00:24,25108.75,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-10-02_NY.csv,True,-144,-156,-167,-170,-172,7,-144,-132,-5.061472727898453,1.0,0.105590062111801,120,178,-4,-1.666666666666667,-1.4,-4,-1.333333333333333,-4,-167,25.0,-49.0,-24.0,-22.153531788417776,-31,-39,-12,-2,1,125,25,736,-162,2368,2603,-193,31,1.13,10,0,1,442.0329,-245,-62.69,120,0.2,-0.22,-0.07,81.67,76,-0.31,-0.05,0.65,1.08,3,1.0,0.22,144.0,132.0,4.0,1.666666666666667,4.0,2.247191011235955,36.0,0.8089887640449438,1.4833333333333334,0.38657407407407407,0.6107784431137725,1.0,1.0,1,1.0,22.153531788417776,31.0,2,0.027777777777777776,21.599999999999998,442,7.366666666666666,3,10,1.0,-0.96,24.0,1,8.846468211582224,-2.6,-110.0,1.0
2025-10-08,2025-10-08 13:31:25.999397300+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,01:05,25107.5,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-10-08_NY.csv,True,158,159,163,164,137,158,-16,157,5.154666126325045,1.0,4.224489795918367,221,256,4,1.666666666666667,0.8,4,2.0,4,163,19.0,7.0,26.0,12.101071975497703,15,7,20,0,-1,95,35,1595,221,1098,3634,-238,459,1.35,10,0,0,85.9994,-130,-127.91,35,0.37,-0.14,0.07,51.67,42,0.0,0.0,0.54,0.0,0,0.0,-0.33,158.0,157.0,4.0,1.666666666666667,4.0,1.5625,39.5,0.6171875,1.158371040723982,0.3438818565400844,0.603680981595092,1.0,1.0,1,1.0,12.101071975497703,15.0,2,0.02531645569620253,23.7,85,1.4166666666666667,2,10,-1.0,1.368421052631579,7.0,0,2.898928024502297,-3.2,-125.2,-1.0
