feature,method,importance,split
Directional_CLV_AtEntry,mutual_information,0.38144963403547694,discovery
Directional_CLV_AtEntry,conditional_mutual_information_proxy,0.3749338498944269,discovery
mean_trade_size,mutual_information,0.0815939341797769,discovery
mean_trade_size,conditional_mutual_information_proxy,0.17960084891971895,discovery
Sell_Imbalance_Count_AtEntry,mutual_information,0.06384501643085905,discovery
Sell_Imbalance_Count_AtEntry,conditional_mutual_information_proxy,0.06615981046190197,discovery
weekday_index,mutual_information,0.0,discovery
weekday_index,conditional_mutual_information_proxy,0.1981926463121165,discovery
PreEntry_Directional_Delta_Share3_AtEntry,mutual_information,0.15697272205856483,discovery
PreEntry_Directional_Delta_Share3_AtEntry,conditional_mutual_information_proxy,0.2457606593816209,discovery
Delta5s,mutual_information,0.12073534832119126,discovery
Delta5s,conditional_mutual_information_proxy,0.19819264631211647,discovery
DeltaChangeZScore,mutual_information,0.0,discovery
DeltaChangeZScore,conditional_mutual_information_proxy,0.05986694963990634,discovery
Buy_Imbalance_Count_AtEntry,mutual_information,0.0,discovery
Buy_Imbalance_Count_AtEntry,conditional_mutual_information_proxy,0.0,discovery
Seconds_From_Open_AtEntry,mutual_information,0.0,discovery
Seconds_From_Open_AtEntry,conditional_mutual_information_proxy,0.20967771627646675,discovery
PreEntry_Volume_Climax_Ratio_AtEntry,mutual_information,0.03254992263576528,discovery
PreEntry_Volume_Climax_Ratio_AtEntry,conditional_mutual_information_proxy,0.22380471795163337,discovery
delta_persistence_1_3,mutual_information,0.0,discovery
delta_persistence_1_3,conditional_mutual_information_proxy,0.14351790581456486,discovery
seconds_from_open,mutual_information,0.0,discovery
seconds_from_open,conditional_mutual_information_proxy,0.20967771627646675,discovery
Directional_CLV_AtEntry,logistic,1.4864117899410203,discovery
mean_trade_size,logistic,0.3168444452629438,discovery
Sell_Imbalance_Count_AtEntry,logistic,0.5671571879004889,discovery
weekday_index,logistic,0.6753708634304431,discovery
PreEntry_Directional_Delta_Share3_AtEntry,logistic,0.35428458778902,discovery
Delta5s,logistic,0.24990033197761474,discovery
DeltaChangeZScore,logistic,0.07581839407151425,discovery
Buy_Imbalance_Count_AtEntry,logistic,0.5748640202232844,discovery
Seconds_From_Open_AtEntry,logistic,0.10030435656085605,discovery
PreEntry_Volume_Climax_Ratio_AtEntry,logistic,0.18496592917458618,discovery
delta_persistence_1_3,logistic,0.9129459745536787,discovery
