feature,method,importance,split
Directional_CLV_AtEntry,mutual_information,0.2411002116455414,discovery
Directional_CLV_AtEntry,conditional_mutual_information_proxy,0.40358981093775426,discovery
Sell_Imbalance_Count_AtEntry,mutual_information,0.2616208946662246,discovery
Sell_Imbalance_Count_AtEntry,conditional_mutual_information_proxy,0.08700845313638203,discovery
Delta5s,mutual_information,0.1750468205921505,discovery
Delta5s,conditional_mutual_information_proxy,0.10229595898419483,discovery
DeltaChangeZScore,mutual_information,0.0,discovery
DeltaChangeZScore,conditional_mutual_information_proxy,0.07956427103685178,discovery
signed_velocity_3s,mutual_information,0.048773672444002436,discovery
signed_velocity_3s,conditional_mutual_information_proxy,0.048163966203161386,discovery
Delta3s,mutual_information,0.09501735931268929,discovery
Delta3s,conditional_mutual_information_proxy,0.11766271358119175,discovery
CumulativeDeltaWindow,mutual_information,0.09501735931268929,discovery
CumulativeDeltaWindow,conditional_mutual_information_proxy,0.11766271358119175,discovery
mean_trade_size,mutual_information,0.06896216450749448,discovery
mean_trade_size,conditional_mutual_information_proxy,0.24157704098730298,discovery
Dist_VWAP_Ticks,mutual_information,0.0,discovery
Dist_VWAP_Ticks,conditional_mutual_information_proxy,0.10975607433982831,discovery
Velocity3s,mutual_information,0.0,discovery
Velocity3s,conditional_mutual_information_proxy,0.009319479269940738,discovery
Velocity5s,mutual_information,0.03779483646516635,discovery
Velocity5s,conditional_mutual_information_proxy,0.11766271358119175,discovery
Dist_VAH_Ticks,mutual_information,0.0,discovery
Dist_VAH_Ticks,conditional_mutual_information_proxy,0.0737958152833556,discovery
Directional_CLV_AtEntry,logistic,1.348288524850769,discovery
Sell_Imbalance_Count_AtEntry,logistic,0.6487990003124143,discovery
Delta5s,logistic,0.0374442913212813,discovery
DeltaChangeZScore,logistic,0.147956604796294,discovery
signed_velocity_3s,logistic,0.2474454066609324,discovery
Delta3s,logistic,0.04606499379864117,discovery
CumulativeDeltaWindow,logistic,0.04606499379864117,discovery
mean_trade_size,logistic,0.6279344164661604,discovery
Dist_VWAP_Ticks,logistic,0.07863167542958321,discovery
Velocity3s,logistic,0.1076188344861192,discovery
Velocity5s,logistic,0.16677418472897254,discovery
Dist_VAH_Ticks,logistic,0.18200474240553446,discovery
Directional_CLV_AtEntry,logistic_permutation,0.13599999999999998,validation
Sell_Imbalance_Count_AtEntry,logistic_permutation,-0.013333333333333357,validation
Delta5s,logistic_permutation,0.0,validation
DeltaChangeZScore,logistic_permutation,0.0,validation
signed_velocity_3s,logistic_permutation,-0.07000000000000003,validation
Delta3s,logistic_permutation,0.0,validation
CumulativeDeltaWindow,logistic_permutation,0.0,validation
mean_trade_size,logistic_permutation,-0.0033333333333333483,validation
Dist_VWAP_Ticks,logistic_permutation,0.0,validation
Velocity3s,logistic_permutation,0.0,validation
Velocity5s,logistic_permutation,0.0,validation
Dist_VAH_Ticks,logistic_permutation,0.0,validation
Directional_CLV_AtEntry,logistic_validation_ablation,0.0,validation
Sell_Imbalance_Count_AtEntry,logistic_validation_ablation,0.0,validation
Delta5s,logistic_validation_ablation,0.0,validation
DeltaChangeZScore,logistic_validation_ablation,0.0,validation
signed_velocity_3s,logistic_validation_ablation,-0.16666666666666674,validation
Delta3s,logistic_validation_ablation,0.0,validation
CumulativeDeltaWindow,logistic_validation_ablation,0.0,validation
mean_trade_size,logistic_validation_ablation,0.0,validation
Dist_VWAP_Ticks,logistic_validation_ablation,0.0,validation
Velocity3s,logistic_validation_ablation,0.0,validation
Velocity5s,logistic_validation_ablation,0.0,validation
Dist_VAH_Ticks,logistic_validation_ablation,0.0,validation
Directional_CLV_AtEntry,decision_tree,0.6656922397090318,discovery
Sell_Imbalance_Count_AtEntry,decision_tree,0.0,discovery
Delta5s,decision_tree,0.0,discovery
DeltaChangeZScore,decision_tree,0.06680889288120383,discovery
signed_velocity_3s,decision_tree,0.0,discovery
Delta3s,decision_tree,0.0,discovery
CumulativeDeltaWindow,decision_tree,0.0,discovery
mean_trade_size,decision_tree,0.2674988674097644,discovery
Dist_VWAP_Ticks,decision_tree,0.0,discovery
Velocity3s,decision_tree,0.0,discovery
Velocity5s,decision_tree,0.0,discovery
Dist_VAH_Ticks,decision_tree,0.0,discovery
Directional_CLV_AtEntry,decision_tree_permutation,0.12799999999999997,validation
Sell_Imbalance_Count_AtEntry,decision_tree_permutation,0.0,validation
Delta5s,decision_tree_permutation,0.0,validation
DeltaChangeZScore,decision_tree_permutation,0.0,validation
signed_velocity_3s,decision_tree_permutation,0.0,validation
Delta3s,decision_tree_permutation,0.0,validation
CumulativeDeltaWindow,decision_tree_permutation,0.0,validation
mean_trade_size,decision_tree_permutation,0.0593333333333333,validation
Dist_VWAP_Ticks,decision_tree_permutation,0.0,validation
Velocity3s,decision_tree_permutation,0.0,validation
Velocity5s,decision_tree_permutation,0.0,validation
Dist_VAH_Ticks,decision_tree_permutation,0.0,validation
Directional_CLV_AtEntry,random_forest,0.30157929999118327,discovery
Sell_Imbalance_Count_AtEntry,random_forest,0.03679715599886027,discovery
Delta5s,random_forest,0.09590732871099868,discovery
DeltaChangeZScore,random_forest,0.08494030556784084,discovery
signed_velocity_3s,random_forest,0.06761088021995827,discovery
Delta3s,random_forest,0.0718125880475422,discovery
CumulativeDeltaWindow,random_forest,0.08051714273528217,discovery
mean_trade_size,random_forest,0.07726575312044548,discovery
Dist_VWAP_Ticks,random_forest,0.04204135593365372,discovery
Velocity3s,random_forest,0.035085959127730375,discovery
Velocity5s,random_forest,0.07225272959384528,discovery
Dist_VAH_Ticks,random_forest,0.034189500952659525,discovery
Directional_CLV_AtEntry,random_forest_permutation,0.20466666666666672,validation
Sell_Imbalance_Count_AtEntry,random_forest_permutation,0.0,validation
Delta5s,random_forest_permutation,-0.10333333333333332,validation
DeltaChangeZScore,random_forest_permutation,0.008000000000000007,validation
signed_velocity_3s,random_forest_permutation,-0.039999999999999994,validation
Delta3s,random_forest_permutation,-0.10333333333333332,validation
CumulativeDeltaWindow,random_forest_permutation,-0.08666666666666664,validation
mean_trade_size,random_forest_permutation,-0.12666666666666665,validation
Dist_VWAP_Ticks,random_forest_permutation,0.0,validation
Velocity3s,random_forest_permutation,0.0,validation
Velocity5s,random_forest_permutation,0.06800000000000006,validation
Dist_VAH_Ticks,random_forest_permutation,-0.006666666666666665,validation
Directional_CLV_AtEntry,catboost,41.32260595688006,discovery
Sell_Imbalance_Count_AtEntry,catboost,4.116642956699767,discovery
Delta5s,catboost,8.580310866235525,discovery
DeltaChangeZScore,catboost,8.996312467159914,discovery
signed_velocity_3s,catboost,3.3187845189117327,discovery
Delta3s,catboost,6.999203206859957,discovery
CumulativeDeltaWindow,catboost,7.128411789393683,discovery
mean_trade_size,catboost,8.879123336944813,discovery
Dist_VWAP_Ticks,catboost,2.5857699034667316,discovery
Velocity3s,catboost,2.399667240396607,discovery
Velocity5s,catboost,4.687822815049247,discovery
Dist_VAH_Ticks,catboost,0.9853449420019509,discovery
Directional_CLV_AtEntry,catboost_incremental_shap,1.7450496938169142,discovery
Sell_Imbalance_Count_AtEntry,catboost_incremental_shap,0.20845252384078852,discovery
Delta5s,catboost_incremental_shap,0.2795428087348489,discovery
DeltaChangeZScore,catboost_incremental_shap,0.3765230120653043,discovery
signed_velocity_3s,catboost_incremental_shap,0.20375824137925494,discovery
Delta3s,catboost_incremental_shap,0.2919213062247021,discovery
CumulativeDeltaWindow,catboost_incremental_shap,0.2912633362655752,discovery
mean_trade_size,catboost_incremental_shap,0.4227346391053348,discovery
Dist_VWAP_Ticks,catboost_incremental_shap,0.07607185992599565,discovery
Velocity3s,catboost_incremental_shap,0.11004567605097582,discovery
Velocity5s,catboost_incremental_shap,0.1819013609223229,discovery
Dist_VAH_Ticks,catboost_incremental_shap,0.04033485725155419,discovery
Directional_CLV_AtEntry,catboost_permutation,0.3913333333333334,validation
Sell_Imbalance_Count_AtEntry,catboost_permutation,0.0,validation
Delta5s,catboost_permutation,0.021999999999999992,validation
DeltaChangeZScore,catboost_permutation,0.15733333333333333,validation
signed_velocity_3s,catboost_permutation,0.0,validation
Delta3s,catboost_permutation,0.013999999999999997,validation
CumulativeDeltaWindow,catboost_permutation,0.021999999999999992,validation
mean_trade_size,catboost_permutation,0.12666666666666665,validation
Dist_VWAP_Ticks,catboost_permutation,0.0,validation
Velocity3s,catboost_permutation,0.0,validation
Velocity5s,catboost_permutation,0.06799999999999999,validation
Dist_VAH_Ticks,catboost_permutation,0.0,validation
