Scope,Fold,TrainEnd,TestStart,TestEnd,SelectedRule,Train_n,Train_wins,Train_losses,Train_wr,Train_pf,Train_avg_r,Train_net_r,Test_n,Test_wins,Test_losses,Test_wr,Test_pf,Test_avg_r,Test_net_r,Baseline_n,Baseline_wins,Baseline_losses,Baseline_wr,Baseline_pf,Baseline_avg_r,Baseline_net_r
ALL_CAUSAL_CANDIDATES,1,2025-09-18,2025-09-18,2026-03-09,ATASApproachBars3_AtEntry <= 1,236,85,151,0.3601694915254237,1.0944975629139073,0.06046242372881357,14.269132000000003,62,20,42,0.3225806451612903,0.9918483947826394,-0.005302322580645167,-0.32874400000000037,159,43,116,0.27044025157232704,0.7336184503172709,-0.19154130817610066,-30.455068000000004
ALL_CAUSAL_CANDIDATES,2,2026-03-09,2026-03-10,2026-04-30,MappedPivotGapATR_AtEntry >= -0.0327306,398,139,259,0.3492462311557789,1.057388907915119,0.03712067336683417,14.774027999999998,85,27,58,0.3176470588235294,0.8430250689655172,-0.10711230588235293,-9.104546,159,38,121,0.2389937106918239,0.5859128429752066,-0.31512293081761006,-50.104546
ALL_CAUSAL_CANDIDATES,3,2026-04-30,2026-04-30,2026-06-12,MappedPivotGapATR_AtEntry >= -0.0116777,477,165,312,0.34591194968553457,1.0279267037744644,0.01817501467505241,8.669481999999999,85,32,53,0.3764705882352941,1.1879648474207711,0.11583434117647061,9.845919000000002,158,41,117,0.25949367088607594,0.6731233631018154,-0.24077506329113924,-38.04246
ALL_CAUSAL_CANDIDATES,4,2026-06-12,2026-06-12,2026-08-07,MappedPivotGapATR_AtEntry >= 0.00498942,556,195,361,0.35071942446043164,1.0516009925112628,0.0333010809352518,18.515401000000004,79,21,58,0.26582278481012656,0.7241379310344828,-0.20253164556962025,-16.0,159,30,129,0.18867924528301888,0.46511627906976744,-0.4339622641509434,-69.0
CONFIRMED_LATER_SUBSET,1,2025-09-12,2025-09-12,2025-10-24,MappedPivotGapATR_AtEntry >= 0.373259,30,18,12,0.6,3.0,0.8,24.0,5,3,2,0.6,3.0,0.8,4.0,13,5,8,0.38461538461538464,1.25,0.15384615384615385,2.0
CONFIRMED_LATER_SUBSET,2,2025-10-24,2025-10-24,2026-04-24,MappedPivotGapATR_AtEntry >= 0.528426,26,16,10,0.6153846153846154,3.2,0.8461538461538461,22.0,4,1,3,0.25,0.6666666666666666,-0.25,-1.0,13,6,7,0.46153846153846156,1.7142857142857142,0.38461538461538464,5.0
CONFIRMED_LATER_SUBSET,3,2026-04-24,2026-04-24,2026-06-10,CFDAway3ATR_AtEntry <= 0.404912,30,19,11,0.6333333333333333,3.4545454545454546,0.9,27.0,3,2,1,0.6666666666666666,4.0,1.0,3.0,14,4,10,0.2857142857142857,0.8,-0.14285714285714285,-2.0
CONFIRMED_LATER_SUBSET,4,2026-06-10,2026-06-12,2026-08-06,CFDAway3ATR_AtEntry <= 0.42908,35,21,14,0.6,3.0,0.8,28.0,3,0,3,0.0,0.0,-1.0,-3.0,13,5,8,0.38461538461538464,1.25,0.15384615384615385,2.0
