variant,session_date,side,rows,valid,coverage,median,mean
microprice_efficiency,2022-08-03,SELL,2828,2828,1.0,0.0,0.03561214791234165
microprice_efficiency,2022-08-04,BUY,1313,1313,1.0,0.0,0.03774809491123181
microprice_efficiency,2022-08-04,SELL,1313,1313,1.0,0.011927364782601188,0.040273838339290616
microprice_efficiency,2022-08-05,BUY,1414,1414,1.0,0.014069029230727169,0.03974345309681789
microprice_efficiency,2022-08-05,SELL,1414,1414,1.0,0.0,0.03207252386618645
excursion_efficiency,2022-08-01,BUY,2525,2525,1.0,0.0,0.2517660674438714
excursion_efficiency,2022-08-01,SELL,2525,2525,1.0,0.0,0.2166008748134818
excursion_efficiency,2022-08-02,BUY,3131,3131,1.0,0.0,0.19268440886570168
excursion_efficiency,2022-08-02,SELL,3131,3131,1.0,0.125,0.2820695880117484
excursion_efficiency,2022-08-03,BUY,2828,2828,1.0,0.0,0.22722045841425764
excursion_efficiency,2022-08-03,SELL,2828,2828,1.0,0.0,0.21045765340962264
excursion_efficiency,2022-08-04,BUY,1313,1313,1.0,0.0,0.2024748700248996
excursion_efficiency,2022-08-04,SELL,1313,1313,1.0,0.125,0.2589529929653449
excursion_efficiency,2022-08-05,BUY,1414,1414,1.0,0.125,0.2791902480573799
excursion_efficiency,2022-08-05,SELL,1414,1414,1.0,0.0,0.2119481853846998
impulse_retention,2022-08-01,BUY,2525,2525,1.0,0.0,0.3165039360129374
impulse_retention,2022-08-01,SELL,2525,2525,1.0,0.0,0.29001322364365156
impulse_retention,2022-08-02,BUY,3131,3131,1.0,0.0,0.24804685074310973
impulse_retention,2022-08-02,SELL,3131,3131,1.0,0.2,0.3585679453796414
impulse_retention,2022-08-03,BUY,2828,2828,1.0,0.0,0.30277408133639544
impulse_retention,2022-08-03,SELL,2828,2828,1.0,0.0,0.2811857080610157
impulse_retention,2022-08-04,BUY,1313,1313,1.0,0.0,0.26126922574218414
impulse_retention,2022-08-04,SELL,1313,1313,1.0,0.2,0.3376028281048535
impulse_retention,2022-08-05,BUY,1414,1414,1.0,0.2222222222222222,0.36356927310590625
impulse_retention,2022-08-05,SELL,1414,1414,1.0,0.0,0.2783305361206689
