component,explained_variance_ratio,cumulative_explained_variance
PC1,0.22559343583393107,0.22559343583393107
PC2,0.14127072422786385,0.3668641600617949
PC3,0.07025886400231494,0.43712302406410986
PC4,0.06438087424045422,0.5015038983045641
PC5,0.06042918764786493,0.5619330859524291
PC6,0.036901263776141224,0.5988343497285703
PC7,0.031637300691890094,0.6304716504204604
PC8,0.02939332372425161,0.659864974144712
PC9,0.02671166244003994,0.686576636584752
PC10,0.024885230217071577,0.7114618668018236
