model,split,status,n,balanced_accuracy,roc_auc,confusion_matrix
logistic,validation,OK,26,0.6538461538461539,0.6627218934911243,"[[8, 5], [4, 9]]"
logistic,holdout,OK,25,0.35416666666666663,0.4305555555555556,"[[3, 6], [10, 6]]"
decision_tree,validation,OK,26,0.6153846153846154,0.6686390532544378,"[[8, 5], [5, 8]]"
decision_tree,holdout,OK,25,0.5833333333333333,0.5347222222222222,"[[6, 3], [8, 8]]"
random_forest,validation,OK,26,0.6538461538461539,0.6568047337278107,"[[11, 2], [7, 6]]"
random_forest,holdout,OK,25,0.4583333333333333,0.4444444444444444,"[[6, 3], [12, 4]]"
catboost,validation,OK,26,0.6153846153846154,0.6627218934911243,"[[12, 1], [9, 4]]"
catboost,holdout,OK,25,0.5138888888888888,0.375,"[[7, 2], [12, 4]]"
