feature,method,importance,split
absorption_pressure_1s,decision_tree_permutation,0.0,validation
Previous_Delta_AtEntry,decision_tree_permutation,0.0,validation
burst_efficiency_score,decision_tree_permutation,0.0,validation
liquidity_absorption_score,decision_tree_permutation,0.0,validation
signed_acceleration_1s,decision_tree_permutation,0.0,validation
Score_AtEntry,decision_tree_permutation,0.0,validation
PreEntry_Directional_Efficiency3_AtEntry,random_forest,0.12725680472720638,discovery
Directional_VWAP_Distance_Ticks_AtEntry,random_forest,0.10965790071678105,discovery
PreEntry_Directional_Delta_Share3_AtEntry,random_forest,0.08086485994377252,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,random_forest,0.04259863338361734,discovery
price_impact_per_100_contracts,random_forest,0.12399355528517439,discovery
Profile_Normalized_Entropy,random_forest,0.1047932680668165,discovery
absorption_pressure_1s,random_forest,0.07768372284963804,discovery
Previous_Delta_AtEntry,random_forest,0.10220945636644832,discovery
burst_efficiency_score,random_forest,0.06487150586007649,discovery
liquidity_absorption_score,random_forest,0.07634828382079474,discovery
signed_acceleration_1s,random_forest,0.05252336318244286,discovery
Score_AtEntry,random_forest,0.037198645797231394,discovery
PreEntry_Directional_Efficiency3_AtEntry,random_forest_permutation,0.03615384615384612,validation
Directional_VWAP_Distance_Ticks_AtEntry,random_forest_permutation,0.08769230769230765,validation
PreEntry_Directional_Delta_Share3_AtEntry,random_forest_permutation,-0.0015384615384615374,validation
PreBurst_Acceptance_Dwell_Ratio_5s,random_forest_permutation,0.006923076923076901,validation
price_impact_per_100_contracts,random_forest_permutation,-0.049230769230769286,validation
Profile_Normalized_Entropy,random_forest_permutation,0.029999999999999957,validation
absorption_pressure_1s,random_forest_permutation,-0.0015384615384615398,validation
Previous_Delta_AtEntry,random_forest_permutation,0.04076923076923074,validation
burst_efficiency_score,random_forest_permutation,-0.0023076923076923083,validation
liquidity_absorption_score,random_forest_permutation,0.021538461538461517,validation
signed_acceleration_1s,random_forest_permutation,-0.009230769230769225,validation
Score_AtEntry,random_forest_permutation,-0.015384615384615375,validation
PreEntry_Directional_Efficiency3_AtEntry,catboost,10.355478234141925,discovery
Directional_VWAP_Distance_Ticks_AtEntry,catboost,11.29009436012972,discovery
PreEntry_Directional_Delta_Share3_AtEntry,catboost,5.474244769917877,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,catboost,5.305142716303261,discovery
price_impact_per_100_contracts,catboost,17.03462739901208,discovery
Profile_Normalized_Entropy,catboost,17.080382100649892,discovery
absorption_pressure_1s,catboost,3.247864478925662,discovery
Previous_Delta_AtEntry,catboost,9.67017601934372,discovery
burst_efficiency_score,catboost,6.598525977541748,discovery
liquidity_absorption_score,catboost,4.775237597064371,discovery
signed_acceleration_1s,catboost,5.967718826997157,discovery
Score_AtEntry,catboost,3.2005075199725757,discovery
PreEntry_Directional_Efficiency3_AtEntry,catboost_incremental_shap,0.4194064248872117,discovery
Directional_VWAP_Distance_Ticks_AtEntry,catboost_incremental_shap,0.25270696877251103,discovery
PreEntry_Directional_Delta_Share3_AtEntry,catboost_incremental_shap,0.09804072707043457,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,catboost_incremental_shap,0.18364001429470903,discovery
price_impact_per_100_contracts,catboost_incremental_shap,0.4401352700094587,discovery
Profile_Normalized_Entropy,catboost_incremental_shap,0.3320710747052829,discovery
absorption_pressure_1s,catboost_incremental_shap,0.08580050614033001,discovery
Previous_Delta_AtEntry,catboost_incremental_shap,0.25567061789997103,discovery
burst_efficiency_score,catboost_incremental_shap,0.12673751717159626,discovery
liquidity_absorption_score,catboost_incremental_shap,0.08659614562892265,discovery
signed_acceleration_1s,catboost_incremental_shap,0.20796405219652117,discovery
Score_AtEntry,catboost_incremental_shap,0.08870042849712428,discovery
PreEntry_Directional_Efficiency3_AtEntry,catboost_permutation,-0.06307692307692311,validation
Directional_VWAP_Distance_Ticks_AtEntry,catboost_permutation,0.035384615384615375,validation
PreEntry_Directional_Delta_Share3_AtEntry,catboost_permutation,-0.037692307692307775,validation
PreBurst_Acceptance_Dwell_Ratio_5s,catboost_permutation,-0.008461538461538496,validation
price_impact_per_100_contracts,catboost_permutation,-0.0615384615384616,validation
Profile_Normalized_Entropy,catboost_permutation,-0.03230769230769231,validation
absorption_pressure_1s,catboost_permutation,-0.037692307692307775,validation
Previous_Delta_AtEntry,catboost_permutation,0.031538461538461515,validation
burst_efficiency_score,catboost_permutation,-0.031538461538461605,validation
liquidity_absorption_score,catboost_permutation,0.013846153846153826,validation
signed_acceleration_1s,catboost_permutation,0.008461538461538444,validation
Score_AtEntry,catboost_permutation,-0.020000000000000046,validation
