fecha,BurstId,prediction_timestamp,causal_first_timestamp,causal_last_timestamp,source,status,observed_clv,recomputed_clv,absolute_formula_error,timestamp_ok,source_ok,observation_count_ok,formula_ok,causal_row_ok,decision
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:01.026000100+00:00,2022-04-05 13:32:01.026000100+00:00,2022-04-05 13:32:01.026000100+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2022-04-06,LB_20220406_093100_BUY_0001,2022-04-06 13:31:01.002000+00:00,2022-04-06 13:31:01.002000+00:00,2022-04-06 13:31:01.002000+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2022-04-19,LB_20220419_093100_BUY_0001,2022-04-19 13:31:01.009000+00:00,2022-04-19 13:31:01.009000+00:00,2022-04-19 13:31:01.009000+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2022-04-26,LB_20220426_093143_SELL_0001,2022-04-26 13:31:44.003000+00:00,2022-04-26 13:31:44.003000+00:00,2022-04-26 13:31:44.003000+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2022-04-27,LB_20220427_093500_BUY_0001,2022-04-27 13:35:01.007000+00:00,2022-04-27 13:35:01.007000+00:00,2022-04-27 13:35:01.007000+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2022-05-04,LB_20220504_093301_SELL_0001,2022-05-04 13:33:02.005000+00:00,2022-05-04 13:33:02.005000+00:00,2022-05-04 13:33:02.005000+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2022-05-09,LB_20220509_093112_BUY_0001,2022-05-09 13:31:13.009000+00:00,2022-05-09 13:31:13.009000+00:00,2022-05-09 13:31:13.009000+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2022-05-18,LB_20220518_093457_BUY_0001,2022-05-18 13:34:58.072000+00:00,2022-05-18 13:34:58.072000+00:00,2022-05-18 13:34:58.072000+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2022-05-20,LB_20220520_093501_SELL_0001,2022-05-20 13:35:02.005000+00:00,2022-05-20 13:35:02.005000+00:00,2022-05-20 13:35:02.005000+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2022-05-23,LB_20220523_093420_SELL_0001,2022-05-23 13:34:21.020000+00:00,2022-05-23 13:34:21.020000+00:00,2022-05-23 13:34:21.020000+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2022-05-27,LB_20220527_093100_BUY_0001,2022-05-27 13:31:01.006000+00:00,2022-05-27 13:31:01.006000+00:00,2022-05-27 13:31:01.006000+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2022-06-08,LB_20220608_093102_SELL_0001,2022-06-08 13:31:03.007000+00:00,2022-06-08 13:31:03.007000+00:00,2022-06-08 13:31:03.007000+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2022-06-13,LB_20220613_093107_SELL_0001,2022-06-13 13:31:08+00:00,2022-06-13 13:31:08+00:00,2022-06-13 13:31:08+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
