feature,physical_family,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
PreBurst_Rotation_Index_10s,TEMPORAL_SEQUENCE,0.010038749375846208,0.03191262441442615,-0.1503127885754028,-0.030299772106189036,0.03303219266604326,-0.08779351165860584,-0.03371163188926066,-0.03201753682809974,0.2613550151104588,0.13649753444015475
PreBurst_Local_Entropy_10s,TEMPORAL_SEQUENCE,0.004961850760685931,0.015468402072096618,-0.18733731058018144,-0.04015525161146161,0.008673622076701781,-0.09535269133763977,-0.06536257433974296,-0.006237543158348389,0.2115903064240262,0.08366570059177471
PreBurst_Path_Efficiency_10s,TEMPORAL_SEQUENCE,-0.023372702619455437,0.05034759035967317,0.25656254480184926,0.02341059288387697,0.014667246375331996,0.04806255489773947,0.02602635674279275,-0.10047891750246793,-0.13510518121902984,-0.0694460531367
PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,0.009200475488150492,0.2059213437892964,0.11515511840577365,-0.11988468811251414,-0.07237722691141486,0.019170500489080478,0.019432442840602797,0.029539652898722884,0.02927657221718916,0.08739981210812979
PreBurst_Price_Per_Volume_3s,EFFORT_VS_RESULT,0.003527017573656034,0.19607792042117894,0.10124080313483497,-0.09569307549457126,-0.10107946421755003,-0.010970720297140836,-0.006926168983335761,-0.0020586261233743472,0.08974748375870728,0.04436840378220657
PreBurst_Impulse_Survival_Seconds,AUCTION_THEORY,-0.0032627975977634303,0.0329512489495546,0.12851267162970084,0.022693751974373434,-0.025112853434615612,0.030976435109433174,0.07657368250814121,-0.15856106198985764,-0.12411001666264014,-0.14590407917294032
PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,0.007625454900987676,0.21272000242733585,0.005581003017085766,-0.0530973309918254,0.10828530368226144,-0.044683521717027094,0.00301444459346461,0.014528298418448469,0.07573615545440544,0.06348013790012583
Profile_Std_Ticks,AUCTION_THEORY,0.027224421324900258,0.18578820564851073,-0.20077014605460577,0.014797133620233176,-0.08622067597501326,0.006789844286376706,-0.019573295581069686,0.020998169207187993,-0.0848363709629174,-0.11009685990813192
Profile_Skewness,AUCTION_THEORY,-0.04700640167945996,-0.0108848102879019,-0.023766927983792634,-0.04896188851736448,0.012873468563956238,0.03505045317995103,0.09347687155586391,-0.03383328597470291,-0.11817234476593293,0.03408715338351688
Profile_Excess_Kurtosis,AUCTION_THEORY,-0.01846535766569355,0.021309301208031407,0.174652249413301,-0.011835703019786094,0.034725380270939236,0.11229234043840326,0.2287081983623687,0.007338281499313192,-0.05356366557439022,0.3041553758753242
Profile_Normalized_Entropy,AUCTION_THEORY,0.035850265067011645,0.0417626162409695,-0.224203124103621,0.018161000019774054,-0.0571822270850325,-0.07854560997071049,-0.1921691972931264,-0.03715988994729892,-0.0358314663643288,-0.24523187720369585
Profile_Concentration,AUCTION_THEORY,-0.04686972593808916,-0.15058669124077265,0.18578293459420755,-0.04377118595557874,0.11137260588856149,0.041540941960686216,0.03378636405847737,0.004359066323297247,0.09278360604820447,0.11498543714993581
Profile_Effective_Nodes,AUCTION_THEORY,0.03225899108797473,0.1929250702821611,-0.20011376034364883,0.02666473182243593,-0.09511096306952585,0.0022337137651451946,-0.0026019106994810692,0.005209060204648418,-0.07442857627100052,-0.07745683518733591
Profile_Local_Maxima_Count,AUCTION_THEORY,0.028516908979181774,0.21126182481785596,-0.13374444725851056,0.026484746531197634,-0.07742095866954794,0.059671694081345705,0.016638521922535628,0.01808792083287004,-0.0847805675896875,-0.01732358157818981
Profile_Position_Percentile,AUCTION_THEORY,-0.18927417953303322,0.002310900981755915,-0.028747026478392203,0.005202837000198919,-0.013241259213189773,-0.08053285762183031,0.01639668160048974,0.04477620132990215,-0.07351519353760587,-0.037382770441788726
range,OTHER_CAUSAL_CONTEXT,0.01044208498653812,0.1783865972043442,-0.18048826971348816,-0.08253630673945372,-0.1077921814593012,0.027665071066084287,0.09376615831263041,-0.14182921051395747,-0.029930626688400998,0.05451588802288718
Body_AtEntry,OTHER_CAUSAL_CONTEXT,0.01287346003507318,0.1670322051232501,0.046210013163205055,0.047759917045680916,0.004021813332736478,0.18378457194962172,0.12782498373301224,0.18742196771120903,0.0681605769302341,-0.07478695854883134
Volume_AtEntry,FLOW_BURST_QUALITY,-0.012820316141741445,-0.0351943594287758,-0.05945648865479061,-0.009389115239367765,-0.05558596316263952,0.09392177631525342,0.3483551412066135,0.15756085138907083,0.063382767870922,-0.14996659597116432
Delta_AtEntry,FLOW_BURST_QUALITY,-0.1849964168464703,0.017282639700744278,0.016118745301709567,0.06020077849162429,-0.008507966765857725,0.027086468288801558,0.0725515461248461,0.026305529673841622,0.02586928223486547,-0.07755492991353109
Cumulative_Delta_AtEntry,FLOW_BURST_QUALITY,-0.0611459554314461,0.016371615695381442,0.01810983000191831,-0.003901215671941089,0.04918560112505815,-0.021538104776689396,-0.009046892958534409,-0.16585568996022756,0.10401561393738298,-0.029062636855956555
