comparison,year,feature,physical_family,n_D,n_other,median_D,median_other,direction_D_minus_other,cliffs_delta_D_minus_other
D_vs_A,2025,DeltaChange1s,FLOW_BURST_QUALITY,22,17,-109.5,-91.0,-1.0,-0.2994652406417112
D_vs_A,2026,DeltaChange1s,FLOW_BURST_QUALITY,5,7,106.0,109.0,-1.0,-0.02857142857142857
D_vs_A,2022,DeltaChangeZScore,FLOW_BURST_QUALITY,10,19,-3.1799707537943,-2.772291249350366,-1.0,-0.22105263157894736
D_vs_A,2023,DeltaChangeZScore,FLOW_BURST_QUALITY,16,21,3.0022144720434527,-3.574529898099804,1.0,0.19642857142857142
D_vs_A,2024,DeltaChangeZScore,FLOW_BURST_QUALITY,18,27,3.166226673811845,2.625166847913332,1.0,0.23045267489711935
D_vs_A,2025,DeltaChangeZScore,FLOW_BURST_QUALITY,22,17,-4.242168191126481,-3.152332879743788,-1.0,-0.29411764705882354
D_vs_A,2026,DeltaChangeZScore,FLOW_BURST_QUALITY,5,7,2.539233766965368,2.899487045751394,-1.0,-0.2571428571428571
D_vs_A,2022,DeltaPercentile,FLOW_BURST_QUALITY,10,19,1.0,1.0,0.0,0.2631578947368421
D_vs_A,2023,DeltaPercentile,FLOW_BURST_QUALITY,16,21,1.0,1.0,0.0,0.08333333333333333
D_vs_A,2024,DeltaPercentile,FLOW_BURST_QUALITY,18,27,1.0,1.0,0.0,0.0205761316872428
D_vs_A,2025,DeltaPercentile,FLOW_BURST_QUALITY,22,17,1.0,1.0,0.0,0.16310160427807488
D_vs_A,2026,DeltaPercentile,FLOW_BURST_QUALITY,5,7,0.991869918699187,0.986666666666667,1.0,-0.17142857142857143
D_vs_A,2022,BuySellRatio,OTHER_CAUSAL_CONTEXT,10,19,0.3413408358582215,0.416666666666667,-1.0,0.042105263157894736
D_vs_A,2023,BuySellRatio,OTHER_CAUSAL_CONTEXT,16,21,2.479874213836478,0.4279176201373,1.0,0.16666666666666666
D_vs_A,2024,BuySellRatio,OTHER_CAUSAL_CONTEXT,18,27,2.9117647058823533,2.303448275862069,1.0,0.18518518518518517
D_vs_A,2025,BuySellRatio,OTHER_CAUSAL_CONTEXT,22,17,0.29881625811858403,0.464285714285714,-1.0,-0.2887700534759358
D_vs_A,2026,BuySellRatio,OTHER_CAUSAL_CONTEXT,5,7,2.153846153846154,2.75,-1.0,-0.42857142857142855
D_vs_A,2022,TradesPerSecond,TIME_REGIME,10,19,269.0,278.0,-1.0,0.05263157894736842
D_vs_A,2023,TradesPerSecond,TIME_REGIME,16,21,274.0,257.0,1.0,0.01488095238095238
D_vs_A,2024,TradesPerSecond,TIME_REGIME,18,27,209.5,240.0,-1.0,-0.15020576131687244
D_vs_A,2025,TradesPerSecond,TIME_REGIME,22,17,217.0,202.0,1.0,0.16042780748663102
D_vs_A,2026,TradesPerSecond,TIME_REGIME,5,7,312.0,248.0,1.0,0.3142857142857143
D_vs_A,2022,ContractsPerSecond,FLOW_BURST_QUALITY,10,19,319.0,303.0,1.0,0.1631578947368421
D_vs_A,2023,ContractsPerSecond,FLOW_BURST_QUALITY,16,21,332.0,362.0,-1.0,-0.05654761904761905
D_vs_A,2024,ContractsPerSecond,FLOW_BURST_QUALITY,18,27,257.0,272.0,-1.0,-0.037037037037037035
D_vs_A,2025,ContractsPerSecond,FLOW_BURST_QUALITY,22,17,266.5,265.0,1.0,-0.09358288770053476
D_vs_A,2026,ContractsPerSecond,FLOW_BURST_QUALITY,5,7,328.0,300.0,1.0,0.3142857142857143
D_vs_A,2022,Velocity1s,PERSISTENCE_EXHAUSTION,10,19,-4.0,0.0,-1.0,-0.23157894736842105
D_vs_A,2023,Velocity1s,PERSISTENCE_EXHAUSTION,16,21,1.0,-1.0,1.0,0.11607142857142858
D_vs_A,2024,Velocity1s,PERSISTENCE_EXHAUSTION,18,27,2.0,2.0,0.0,0.026748971193415638
D_vs_A,2025,Velocity1s,PERSISTENCE_EXHAUSTION,22,17,-1.5,0.0,-1.0,-0.14171122994652408
D_vs_A,2026,Velocity1s,PERSISTENCE_EXHAUSTION,5,7,4.0,5.0,-1.0,0.08571428571428572
D_vs_A,2022,Velocity3s,PERSISTENCE_EXHAUSTION,10,19,-1.5,-1.333333333333333,-1.0,-0.19473684210526315
D_vs_A,2023,Velocity3s,PERSISTENCE_EXHAUSTION,16,21,0.5,-0.666666666666667,1.0,0.125
D_vs_A,2024,Velocity3s,PERSISTENCE_EXHAUSTION,18,27,0.8333333333333335,1.0,-1.0,0.01646090534979424
D_vs_A,2025,Velocity3s,PERSISTENCE_EXHAUSTION,22,17,-1.333333333333333,-0.333333333333333,-1.0,-0.16310160427807488
D_vs_A,2026,Velocity3s,PERSISTENCE_EXHAUSTION,5,7,2.666666666666667,2.0,1.0,0.4
D_vs_A,2022,Velocity5s,PERSISTENCE_EXHAUSTION,10,19,-0.39999999999999997,-0.6,1.0,-0.1631578947368421
D_vs_A,2023,Velocity5s,PERSISTENCE_EXHAUSTION,16,21,0.30000000000000004,-0.4,1.0,0.020833333333333332
D_vs_A,2024,Velocity5s,PERSISTENCE_EXHAUSTION,18,27,0.6,0.8,-1.0,-0.047325102880658436
D_vs_A,2025,Velocity5s,PERSISTENCE_EXHAUSTION,22,17,-0.9,-0.2,-1.0,-0.11229946524064172
D_vs_A,2026,Velocity5s,PERSISTENCE_EXHAUSTION,5,7,2.2,1.4,1.0,0.34285714285714286
D_vs_A,2022,Acceleration1s,PERSISTENCE_EXHAUSTION,10,19,-2.5,2.0,-1.0,-0.26842105263157895
D_vs_A,2023,Acceleration1s,PERSISTENCE_EXHAUSTION,16,21,0.5,0.0,1.0,0.12797619047619047
D_vs_A,2024,Acceleration1s,PERSISTENCE_EXHAUSTION,18,27,0.5,0.0,1.0,0.08024691358024691
D_vs_A,2025,Acceleration1s,PERSISTENCE_EXHAUSTION,22,17,0.5,0.0,1.0,-0.06149732620320856
D_vs_A,2026,Acceleration1s,PERSISTENCE_EXHAUSTION,5,7,4.0,4.0,0.0,0.17142857142857143
D_vs_A,2022,Acceleration3s,PERSISTENCE_EXHAUSTION,10,19,-1.5,0.333333333333333,-1.0,-0.2894736842105263
D_vs_A,2023,Acceleration3s,PERSISTENCE_EXHAUSTION,16,21,0.0,-0.333333333333333,1.0,0.09226190476190477
D_vs_A,2024,Acceleration3s,PERSISTENCE_EXHAUSTION,18,27,0.333333333333333,0.0,1.0,0.07818930041152264
D_vs_A,2025,Acceleration3s,PERSISTENCE_EXHAUSTION,22,17,-0.333333333333333,-0.333333333333333,0.0,-0.12032085561497326
D_vs_A,2026,Acceleration3s,PERSISTENCE_EXHAUSTION,5,7,0.666666666666667,0.666666666666667,0.0,0.17142857142857143
D_vs_A,2022,TicksPerSecond,TIME_REGIME,10,19,-4.0,0.0,-1.0,-0.23157894736842105
D_vs_A,2023,TicksPerSecond,TIME_REGIME,16,21,1.0,-1.0,1.0,0.11607142857142858
D_vs_A,2024,TicksPerSecond,TIME_REGIME,18,27,2.0,2.0,0.0,0.026748971193415638
D_vs_A,2025,TicksPerSecond,TIME_REGIME,22,17,-1.5,0.0,-1.0,-0.14171122994652408
D_vs_A,2026,TicksPerSecond,TIME_REGIME,5,7,4.0,5.0,-1.0,0.08571428571428572
D_vs_A,2022,CumulativeDeltaWindow,FLOW_BURST_QUALITY,10,19,-175.5,-158.0,-1.0,-0.16842105263157894
D_vs_A,2023,CumulativeDeltaWindow,FLOW_BURST_QUALITY,16,21,167.0,-166.0,1.0,-0.002976190476190476
D_vs_A,2024,CumulativeDeltaWindow,FLOW_BURST_QUALITY,18,27,169.5,150.0,1.0,0.07818930041152264
D_vs_A,2025,CumulativeDeltaWindow,FLOW_BURST_QUALITY,22,17,-175.5,-150.0,-1.0,-0.2887700534759358
D_vs_A,2026,CumulativeDeltaWindow,FLOW_BURST_QUALITY,5,7,203.0,165.0,1.0,0.2
D_vs_A,2022,OR_WidthTicks,AUCTION_THEORY,10,19,27.5,27.0,1.0,0.10526315789473684
D_vs_A,2023,OR_WidthTicks,AUCTION_THEORY,16,21,15.5,16.0,-1.0,-0.16666666666666666
D_vs_A,2024,OR_WidthTicks,AUCTION_THEORY,18,27,18.5,18.0,1.0,-0.018518518518518517
D_vs_A,2025,OR_WidthTicks,AUCTION_THEORY,22,17,27.0,22.0,1.0,0.16042780748663102
D_vs_A,2026,OR_WidthTicks,AUCTION_THEORY,5,7,56.0,41.0,1.0,0.3142857142857143
D_vs_A,2022,Dist_OR_High_Ticks,AUCTION_THEORY,10,19,-31.0,3.0,-1.0,-0.2789473684210526
D_vs_A,2023,Dist_OR_High_Ticks,AUCTION_THEORY,16,21,3.5,-13.0,1.0,-0.011904761904761904
D_vs_A,2024,Dist_OR_High_Ticks,AUCTION_THEORY,18,27,2.5,2.0,1.0,0.11522633744855967
D_vs_A,2025,Dist_OR_High_Ticks,AUCTION_THEORY,22,17,-33.5,-23.0,-1.0,-0.21657754010695188
D_vs_A,2026,Dist_OR_High_Ticks,AUCTION_THEORY,5,7,16.0,7.0,1.0,0.3142857142857143
D_vs_A,2022,Dist_OR_Low_Ticks,AUCTION_THEORY,10,19,-5.0,22.0,-1.0,-0.25263157894736843
D_vs_A,2023,Dist_OR_Low_Ticks,AUCTION_THEORY,16,21,15.5,0.0,1.0,-0.0744047619047619
D_vs_A,2024,Dist_OR_Low_Ticks,AUCTION_THEORY,18,27,17.0,16.0,1.0,0.17078189300411523
D_vs_A,2025,Dist_OR_Low_Ticks,AUCTION_THEORY,22,17,-5.5,-3.0,-1.0,-0.15775401069518716
