comparison,feature,physical_family,years_with_nonzero_effect,annual_direction_stable_min_3_years,valid_walk_forward_folds,median_walk_forward_balanced_accuracy,walk_forward_direction_stable,latest_year_oos_balanced_accuracy,passes_confirmation_gate
D_vs_REST,Dist_VAH_Ticks,AUCTION_THEORY,5,0,4,0.5262455197132616,0,0.5888888888888889,0
D_vs_A,signed_velocity_1s,PERSISTENCE_EXHAUSTION,4,0,4,0.5261904761904762,1,0.5285714285714286,0
D_vs_REST,Velocity3s,PERSISTENCE_EXHAUSTION,5,0,4,0.524796146953405,0,0.5888888888888889,0
D_vs_REST,Volume_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.5245048701298702,1,0.5777777777777777,0
D_vs_REST,signed_acceleration_1s,PERSISTENCE_EXHAUSTION,4,0,3,0.5241935483870968,1,0.5444444444444444,0
D_vs_REST,Velocity1s,PERSISTENCE_EXHAUSTION,5,0,4,0.5241106630824373,0,0.5888888888888889,0
D_vs_REST,TicksPerSecond,TIME_REGIME,5,0,4,0.5241106630824373,0,0.5888888888888889,0
D_vs_REST,execution_cvd_alignment,OTHER_CAUSAL_CONTEXT,1,0,1,0.5237499999999999,0,,0
D_vs_REST,Cumulative_Delta_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.5223118279569892,1,0.5222222222222221,0
D_vs_A,Dist_VAH_Ticks,AUCTION_THEORY,5,0,4,0.5216600529100529,0,0.5571428571428572,0
D_vs_REST,ContractsPerSecond,FLOW_BURST_QUALITY,5,0,4,0.5210730286738352,1,0.5777777777777777,0
D_vs_A,Cumulative_Delta_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.521031746031746,1,0.5142857142857142,0
D_vs_REST,PreBurst_Impulse_Survival_Seconds,AUCTION_THEORY,2,0,3,0.5197132616487455,1,,0
D_vs_REST,delta_share_of_volume,FLOW_BURST_QUALITY,5,0,4,0.5196236559139784,1,0.5222222222222221,0
D_vs_A,Dist_LVN_Ticks,AUCTION_THEORY,3,0,3,0.5193452380952381,1,,0
D_vs_REST,signed_velocity_3s,PERSISTENCE_EXHAUSTION,4,0,2,0.5178270609318996,0,,0
D_vs_REST,PeakPositiveDelta,FLOW_BURST_QUALITY,5,0,4,0.5172916666666667,0,0.5333333333333333,0
D_vs_A,signed_velocity_decay_1_5,PERSISTENCE_EXHAUSTION,4,0,4,0.5170825906120023,0,0.6285714285714286,0
D_vs_A,Previous_Delta_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.5169835611012081,1,0.34285714285714286,0
D_vs_A,PeakPositiveDelta,FLOW_BURST_QUALITY,5,0,4,0.5164021164021164,1,0.5142857142857142,0
D_vs_REST,Delta5s,FLOW_BURST_QUALITY,5,0,4,0.5160416666666667,0,0.5333333333333333,0
D_vs_REST,Previous_Delta_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.5154734848484849,1,0.3111111111111111,0
D_vs_A,Profile_Std_Ticks,AUCTION_THEORY,5,1,4,0.5138888888888888,1,0.5,0
D_vs_A,PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,5,0,4,0.5128141534391535,1,0.42857142857142855,0
D_vs_A,ContractsPerSecond,FLOW_BURST_QUALITY,5,0,4,0.5117724867724868,1,0.5142857142857142,0
D_vs_REST,BuySellRatio,OTHER_CAUSAL_CONTEXT,5,0,4,0.511671146953405,0,0.5888888888888889,0
D_vs_REST,absorption_pressure_1s,EFFORT_VS_RESULT,5,0,4,0.511543458781362,1,0.4444444444444444,0
D_vs_REST,directional_poc_distance,AUCTION_THEORY,5,0,3,0.5111111111111111,1,0.5111111111111111,0
D_vs_REST,Profile_Effective_Nodes,AUCTION_THEORY,5,1,4,0.5095191546804451,1,0.5,0
D_vs_REST,liquidity_absorption_score,OTHER_CAUSAL_CONTEXT,5,0,4,0.5095048701298701,1,0.4444444444444444,0
D_vs_REST,Directional_OR_Extension_Ticks_AtEntry,AUCTION_THEORY,5,1,4,0.5094578853046594,1,0.4555555555555556,0
D_vs_A,Velocity3s,PERSISTENCE_EXHAUSTION,5,0,4,0.5085152116402116,0,0.5571428571428572,0
D_vs_REST,Delta_Change_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.507986111111111,0,0.5222222222222221,0
D_vs_A,Directional_OR_Extension_Ticks_AtEntry,AUCTION_THEORY,4,1,4,0.5074519706872648,1,0.4714285714285714,0
D_vs_A,Profile_Effective_Nodes,AUCTION_THEORY,5,1,4,0.5074404761904762,1,0.5,0
D_vs_REST,burst_efficiency_score,EFFORT_VS_RESULT,5,0,4,0.5073678315412187,1,0.4444444444444444,0
D_vs_REST,Delta2s,FLOW_BURST_QUALITY,5,0,4,0.507296146953405,0,0.5888888888888889,0
D_vs_A,price_impact_per_100_contracts,EFFORT_VS_RESULT,5,0,4,0.5069749490705373,1,0.42857142857142855,0
D_vs_A,acceleration_velocity_ratio,PERSISTENCE_EXHAUSTION,5,0,4,0.5067460317460317,1,0.4857142857142857,0
