feature,method,importance,split
Directional_VWAP_Distance_Ticks_AtEntry,mutual_information,0.0,discovery
Directional_VWAP_Distance_Ticks_AtEntry,conditional_mutual_information_proxy,0.05630091527765656,discovery
PreEntry_Directional_Efficiency3_AtEntry,mutual_information,0.11774049659574248,discovery
PreEntry_Directional_Efficiency3_AtEntry,conditional_mutual_information_proxy,0.08461443388776466,discovery
liquidity_absorption_score,mutual_information,0.005434800915433913,discovery
liquidity_absorption_score,conditional_mutual_information_proxy,0.09375371615158945,discovery
absorption_pressure_1s,mutual_information,0.0,discovery
absorption_pressure_1s,conditional_mutual_information_proxy,0.09860774644106325,discovery
burst_efficiency_score,mutual_information,0.0,discovery
burst_efficiency_score,conditional_mutual_information_proxy,0.09701318678647365,discovery
price_impact_per_100_contracts,mutual_information,0.018481712895782376,discovery
price_impact_per_100_contracts,conditional_mutual_information_proxy,0.12254373950224935,discovery
Profile_Normalized_Entropy,mutual_information,0.003359020773090471,discovery
Profile_Normalized_Entropy,conditional_mutual_information_proxy,0.1088165778908823,discovery
signed_acceleration_1s,mutual_information,0.12241228639291957,discovery
signed_acceleration_1s,conditional_mutual_information_proxy,0.09356623262886059,discovery
signed_velocity_1s,mutual_information,0.026375156855789728,discovery
signed_velocity_1s,conditional_mutual_information_proxy,0.07948422929425801,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,mutual_information,0.0,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,conditional_mutual_information_proxy,0.03804422241393531,discovery
PreBurst_Price_Per_Delta_3s,mutual_information,0.0,discovery
PreBurst_Price_Per_Delta_3s,conditional_mutual_information_proxy,0.06172249477726987,discovery
Previous_Delta_AtEntry,mutual_information,0.05722804745790655,discovery
Previous_Delta_AtEntry,conditional_mutual_information_proxy,0.03870510618176516,discovery
Directional_VWAP_Distance_Ticks_AtEntry,logistic,0.6034051769000006,discovery
PreEntry_Directional_Efficiency3_AtEntry,logistic,0.5460188546493745,discovery
liquidity_absorption_score,logistic,0.20261486486591218,discovery
absorption_pressure_1s,logistic,0.19347956245449063,discovery
burst_efficiency_score,logistic,0.08994008984879608,discovery
price_impact_per_100_contracts,logistic,0.013465249450488333,discovery
Profile_Normalized_Entropy,logistic,0.5023479804960402,discovery
signed_acceleration_1s,logistic,0.3353515862137269,discovery
signed_velocity_1s,logistic,0.4983328255326695,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,logistic,0.3248806765004309,discovery
PreBurst_Price_Per_Delta_3s,logistic,0.08662703183440809,discovery
Previous_Delta_AtEntry,logistic,0.384967604190573,discovery
Directional_VWAP_Distance_Ticks_AtEntry,logistic_permutation,0.12538461538461537,validation
PreEntry_Directional_Efficiency3_AtEntry,logistic_permutation,0.046153846153846156,validation
liquidity_absorption_score,logistic_permutation,0.005384615384615381,validation
absorption_pressure_1s,logistic_permutation,0.005384615384615381,validation
burst_efficiency_score,logistic_permutation,0.004615384615384612,validation
price_impact_per_100_contracts,logistic_permutation,0.0030769230769230748,validation
Profile_Normalized_Entropy,logistic_permutation,0.011538461538461527,validation
signed_acceleration_1s,logistic_permutation,0.025384615384615384,validation
signed_velocity_1s,logistic_permutation,0.04230769230769232,validation
PreBurst_Acceptance_Dwell_Ratio_5s,logistic_permutation,0.03153846153846154,validation
PreBurst_Price_Per_Delta_3s,logistic_permutation,0.039999999999999994,validation
Previous_Delta_AtEntry,logistic_permutation,0.03000000000000001,validation
Directional_VWAP_Distance_Ticks_AtEntry,logistic_validation_ablation,0.15384615384615385,validation
PreEntry_Directional_Efficiency3_AtEntry,logistic_validation_ablation,0.0,validation
liquidity_absorption_score,logistic_validation_ablation,0.0,validation
absorption_pressure_1s,logistic_validation_ablation,0.038461538461538436,validation
burst_efficiency_score,logistic_validation_ablation,0.0,validation
price_impact_per_100_contracts,logistic_validation_ablation,0.0,validation
Profile_Normalized_Entropy,logistic_validation_ablation,0.07692307692307698,validation
signed_acceleration_1s,logistic_validation_ablation,0.0,validation
signed_velocity_1s,logistic_validation_ablation,0.038461538461538436,validation
PreBurst_Acceptance_Dwell_Ratio_5s,logistic_validation_ablation,0.0,validation
PreBurst_Price_Per_Delta_3s,logistic_validation_ablation,0.038461538461538436,validation
Previous_Delta_AtEntry,logistic_validation_ablation,0.038461538461538436,validation
Directional_VWAP_Distance_Ticks_AtEntry,decision_tree,0.31264329118835726,discovery
PreEntry_Directional_Efficiency3_AtEntry,decision_tree,0.24856286603955727,discovery
liquidity_absorption_score,decision_tree,0.0,discovery
absorption_pressure_1s,decision_tree,0.0,discovery
burst_efficiency_score,decision_tree,0.0,discovery
price_impact_per_100_contracts,decision_tree,0.22633945912072564,discovery
Profile_Normalized_Entropy,decision_tree,0.0,discovery
signed_acceleration_1s,decision_tree,0.17871998850052193,discovery
signed_velocity_1s,decision_tree,0.03373439515083804,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,decision_tree,0.0,discovery
PreBurst_Price_Per_Delta_3s,decision_tree,0.0,discovery
Previous_Delta_AtEntry,decision_tree,0.0,discovery
Directional_VWAP_Distance_Ticks_AtEntry,decision_tree_permutation,0.15769230769230771,validation
PreEntry_Directional_Efficiency3_AtEntry,decision_tree_permutation,0.05,validation
liquidity_absorption_score,decision_tree_permutation,0.0,validation
absorption_pressure_1s,decision_tree_permutation,0.0,validation
burst_efficiency_score,decision_tree_permutation,0.0,validation
price_impact_per_100_contracts,decision_tree_permutation,-0.02615384615384613,validation
Profile_Normalized_Entropy,decision_tree_permutation,0.0,validation
signed_acceleration_1s,decision_tree_permutation,0.0330769230769231,validation
signed_velocity_1s,decision_tree_permutation,0.0,validation
PreBurst_Acceptance_Dwell_Ratio_5s,decision_tree_permutation,0.0,validation
PreBurst_Price_Per_Delta_3s,decision_tree_permutation,0.0,validation
Previous_Delta_AtEntry,decision_tree_permutation,0.0,validation
Directional_VWAP_Distance_Ticks_AtEntry,random_forest,0.1431099043217001,discovery
PreEntry_Directional_Efficiency3_AtEntry,random_forest,0.11957768033176328,discovery
liquidity_absorption_score,random_forest,0.07802104894750138,discovery
absorption_pressure_1s,random_forest,0.07457808122836306,discovery
burst_efficiency_score,random_forest,0.06833822745630419,discovery
price_impact_per_100_contracts,random_forest,0.10457134069444425,discovery
Profile_Normalized_Entropy,random_forest,0.09958887256793109,discovery
signed_acceleration_1s,random_forest,0.07157527196935709,discovery
signed_velocity_1s,random_forest,0.030512327799251067,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,random_forest,0.038829283870089805,discovery
PreBurst_Price_Per_Delta_3s,random_forest,0.06057782201331243,discovery
Previous_Delta_AtEntry,random_forest,0.11072013879998238,discovery
Directional_VWAP_Distance_Ticks_AtEntry,random_forest_permutation,0.15999999999999998,validation
PreEntry_Directional_Efficiency3_AtEntry,random_forest_permutation,0.005384615384615385,validation
liquidity_absorption_score,random_forest_permutation,0.029230769230769234,validation
absorption_pressure_1s,random_forest_permutation,-0.030769230769230774,validation
burst_efficiency_score,random_forest_permutation,-0.010769230769230769,validation
price_impact_per_100_contracts,random_forest_permutation,-0.04230769230769231,validation
Profile_Normalized_Entropy,random_forest_permutation,0.10384615384615384,validation
signed_acceleration_1s,random_forest_permutation,0.08461538461538459,validation
signed_velocity_1s,random_forest_permutation,0.0015384615384615374,validation
PreBurst_Acceptance_Dwell_Ratio_5s,random_forest_permutation,-0.002307692307692306,validation
PreBurst_Price_Per_Delta_3s,random_forest_permutation,-0.0076923076923076875,validation
Previous_Delta_AtEntry,random_forest_permutation,0.0669230769230769,validation
Directional_VWAP_Distance_Ticks_AtEntry,catboost,13.622503312520738,discovery
PreEntry_Directional_Efficiency3_AtEntry,catboost,16.236139968915325,discovery
liquidity_absorption_score,catboost,4.290469914986411,discovery
absorption_pressure_1s,catboost,4.030857768422207,discovery
burst_efficiency_score,catboost,3.751203291580258,discovery
price_impact_per_100_contracts,catboost,13.447009857704977,discovery
Profile_Normalized_Entropy,catboost,10.603986882397374,discovery
signed_acceleration_1s,catboost,6.020223679236415,discovery
signed_velocity_1s,catboost,5.844131080105815,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,catboost,4.130118840322949,discovery
PreBurst_Price_Per_Delta_3s,catboost,8.185825422981003,discovery
Previous_Delta_AtEntry,catboost,9.837529980826533,discovery
Directional_VWAP_Distance_Ticks_AtEntry,catboost_incremental_shap,0.3351628683972923,discovery
PreEntry_Directional_Efficiency3_AtEntry,catboost_incremental_shap,0.5973647179157399,discovery
liquidity_absorption_score,catboost_incremental_shap,0.0834304135652322,discovery
absorption_pressure_1s,catboost_incremental_shap,0.11936173024969575,discovery
burst_efficiency_score,catboost_incremental_shap,0.08950335498910449,discovery
price_impact_per_100_contracts,catboost_incremental_shap,0.3441772417540675,discovery
Profile_Normalized_Entropy,catboost_incremental_shap,0.2806595800495235,discovery
signed_acceleration_1s,catboost_incremental_shap,0.155181306888887,discovery
signed_velocity_1s,catboost_incremental_shap,0.13819534506430162,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,catboost_incremental_shap,0.1557859168941706,discovery
PreBurst_Price_Per_Delta_3s,catboost_incremental_shap,0.15731357310202448,discovery
Previous_Delta_AtEntry,catboost_incremental_shap,0.2993791873988729,discovery
Directional_VWAP_Distance_Ticks_AtEntry,catboost_permutation,0.07384615384615385,validation
PreEntry_Directional_Efficiency3_AtEntry,catboost_permutation,-0.03307692307692306,validation
liquidity_absorption_score,catboost_permutation,0.008461538461538456,validation
absorption_pressure_1s,catboost_permutation,0.0,validation
burst_efficiency_score,catboost_permutation,0.0,validation
price_impact_per_100_contracts,catboost_permutation,-0.0007692307692307665,validation
Profile_Normalized_Entropy,catboost_permutation,0.02153846153846159,validation
signed_acceleration_1s,catboost_permutation,0.014615384615384619,validation
signed_velocity_1s,catboost_permutation,0.005384615384615405,validation
PreBurst_Acceptance_Dwell_Ratio_5s,catboost_permutation,-0.0038461538461538438,validation
PreBurst_Price_Per_Delta_3s,catboost_permutation,0.0,validation
Previous_Delta_AtEntry,catboost_permutation,0.04230769230769234,validation
