feature_a,family_a,feature_b,family_b,spearman,pearson,abs_spearman,redundant_ge_0_90
Acceleration1s,PERSISTENCE_EXHAUSTION,TicksPerSecond,TIME_REGIME,0.937318241188708,0.9433346669678124,0.937318241188708,1
Velocity1s,PERSISTENCE_EXHAUSTION,Acceleration1s,PERSISTENCE_EXHAUSTION,0.937318241188708,0.9433346669678124,0.937318241188708,1
Velocity1s,PERSISTENCE_EXHAUSTION,Velocity3s,PERSISTENCE_EXHAUSTION,0.9371511625810444,0.9456323977170819,0.9371511625810444,1
Velocity3s,PERSISTENCE_EXHAUSTION,TicksPerSecond,TIME_REGIME,0.9371511625810444,0.9456323977170819,0.9371511625810444,1
Directional_OR_Extension_Ticks_AtEntry,AUCTION_THEORY,directional_vwap_distance,AUCTION_THEORY,-0.9333877669468948,-0.9259901147134006,0.9333877669468948,1
Profile_Concentration,AUCTION_THEORY,Profile_Effective_Nodes,AUCTION_THEORY,-0.9331007320518858,-0.8268475214482355,0.9331007320518858,1
Dist_VWAP_Ticks,AUCTION_THEORY,Dist_POC_Ticks,AUCTION_THEORY,0.9320863155048215,0.9455351053603351,0.9320863155048215,1
Dist_POC_Ticks,AUCTION_THEORY,Dist_VAL_Ticks,AUCTION_THEORY,0.9283896589957338,0.9372990359519305,0.9283896589957338,1
Velocity5s,PERSISTENCE_EXHAUSTION,TicksPerSecond,TIME_REGIME,0.9230866942288699,0.9165972652553697,0.9230866942288699,1
Velocity1s,PERSISTENCE_EXHAUSTION,Velocity5s,PERSISTENCE_EXHAUSTION,0.9230866942288699,0.9165972652553697,0.9230866942288699,1
Delta2s,FLOW_BURST_QUALITY,Delta5s,FLOW_BURST_QUALITY,0.9224196705806041,0.9796429535866991,0.9224196705806041,1
Dist_VWAP_Ticks,AUCTION_THEORY,Dist_VAH_Ticks,AUCTION_THEORY,0.9181230613431178,0.9411070168627258,0.9181230613431178,1
