response_horizon_seconds,born_bad_group,metric,n,mean,median,std,p25,p75,model_eligibility
1,C_LOSER_MFE_3_TO_30,Momentum_Survival_Ratio,19,0.2631578947368421,0.0,0.4524139283588641,0.0,0.5,POST_BURST_ONLY
1,C_LOSER_MFE_3_TO_30,Rotation_Index,19,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
1,C_LOSER_MFE_3_TO_30,Local_Entropy,19,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
1,C_LOSER_MFE_3_TO_30,Path_Efficiency,19,-0.10526315789473684,0.0,0.8093026382225119,-1.0,0.5,POST_BURST_ONLY
1,C_LOSER_MFE_3_TO_30,Response_POC_Migration_Ticks,19,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Directional_Displacement_Ticks,71,0.3380281690140845,0.0,1.889396441586806,-1.0,1.0,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Response_MFE_Ticks,71,1.5774647887323943,1.0,1.6358656234630546,0.5,2.0,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Response_MAE_Ticks,71,1.0140845070422535,1.0,1.114744784968148,0.0,1.0,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Acceptance_Dwell_Ratio,71,0.9577464788732394,1.0,0.20259880963617724,1.0,1.0,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Reclaim_Count,71,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Rejection_Speed_TPS,71,1.0140845070422535,1.0,1.114744784968148,0.0,1.0,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Directional_Delta,71,12.28169014084507,7.0,33.40024939966405,-10.0,22.5,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Response_Volume,71,110.78873239436619,99.0,64.16806404011216,70.0,131.0,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Effort_Result_Delta,71,0.023275260448205933,0.0,0.3315107827808697,-0.043478260869565,0.0367003367003365,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Effort_Result_Volume,71,0.00044391469122839435,0.0,0.018956072394281785,-0.007640711577719,0.0105665216906435,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Momentum_Survival_Ratio,71,0.38028169014084506,0.0,0.48891124473813075,0.0,1.0,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Rotation_Index,71,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Local_Entropy,71,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Path_Efficiency,71,0.09859154929577464,0.0,0.8133691760197174,-1.0,1.0,POST_BURST_ONLY
1,D_BORN_BAD_MFE_LE_2,Response_POC_Migration_Ticks,71,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
3,A_WINNER,Directional_Displacement_Ticks,91,-1.2197802197802199,-1.0,2.843324336844688,-3.0,1.0,POST_BURST_ONLY
3,A_WINNER,Response_MFE_Ticks,91,1.6923076923076923,1.0,1.5252854573802659,1.0,2.0,POST_BURST_ONLY
3,A_WINNER,Response_MAE_Ticks,91,2.89010989010989,2.0,2.2922601629083585,1.0,4.0,POST_BURST_ONLY
3,A_WINNER,Acceptance_Dwell_Ratio,91,0.9010989010989011,1.0,0.2743994812223144,1.0,1.0,POST_BURST_ONLY
3,A_WINNER,Reclaim_Count,91,0.06593406593406594,0.0,0.2495417044725436,0.0,0.0,POST_BURST_ONLY
3,A_WINNER,Rejection_Speed_TPS,91,0.9633699633699633,0.666666666666667,0.7640867209694528,0.333333333333333,1.333333333333333,POST_BURST_ONLY
3,A_WINNER,Directional_Delta,91,1.8571428571428572,-10.0,57.33266887765579,-32.0,31.0,POST_BURST_ONLY
3,A_WINNER,Response_Volume,91,283.13186813186815,273.0,120.29548885891208,197.0,356.5,POST_BURST_ONLY
3,A_WINNER,Effort_Result_Delta,91,-0.10278065347654801,-0.033333333333333,0.2702750216725911,-0.116451612903226,0.01564027370479,POST_BURST_ONLY
3,A_WINNER,Effort_Result_Volume,91,-0.0058421433870404285,-0.004761904761905,0.012574848349940377,-0.011629479377958,0.002350372187083,POST_BURST_ONLY
3,A_WINNER,Momentum_Survival_Ratio,91,0.3003663003663003,0.333333333333333,0.2678443672619203,0.0,0.333333333333333,POST_BURST_ONLY
3,A_WINNER,Rotation_Index,91,0.38461538461538464,0.5,0.42214349243489263,0.0,1.0,POST_BURST_ONLY
3,A_WINNER,Local_Entropy,91,0.4722741303298476,0.91829583405449,0.470271648528518,0.0,0.91829583405449,POST_BURST_ONLY
3,A_WINNER,Path_Efficiency,91,-0.2656080183552711,-0.333333333333333,0.7016807589061169,-1.0,0.17142857142857149,POST_BURST_ONLY
3,A_WINNER,Response_POC_Migration_Ticks,91,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Directional_Displacement_Ticks,2,2.0,2.0,4.242640687119285,0.5,3.5,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Response_MFE_Ticks,2,3.0,3.0,2.8284271247461903,2.0,4.0,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Response_MAE_Ticks,2,2.0,2.0,2.8284271247461903,1.0,3.0,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Acceptance_Dwell_Ratio,2,1.0,1.0,0.0,1.0,1.0,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Reclaim_Count,2,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Rejection_Speed_TPS,2,0.6666666666666665,0.6666666666666665,0.9428090415820631,0.33333333333333326,0.9999999999999998,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Directional_Delta,2,83.0,83.0,152.73506473629428,29.0,137.0,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Response_Volume,2,429.0,429.0,203.64675298172568,357.0,501.0,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Effort_Result_Delta,2,-0.006910994764398,-0.006910994764398,0.0467949199696227,-0.023455497382199,0.009633507853403,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Effort_Result_Volume,2,0.0026086157802880003,0.0026086157802880003,0.008651292665936295,-0.0004500780747685,0.005667309635344501,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Momentum_Survival_Ratio,2,0.6666666666666665,0.6666666666666665,0.47140452079103196,0.4999999999999997,0.8333333333333333,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Rotation_Index,2,0.5,0.5,0.7071067811865476,0.25,0.75,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Local_Entropy,2,0.5,0.5,0.7071067811865476,0.25,0.75,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Path_Efficiency,2,0.4,0.4,0.8485281374238571,0.09999999999999998,0.7,POST_BURST_ONLY
3,B_LOSER_MFE_GT_30,Response_POC_Migration_Ticks,2,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Directional_Displacement_Ticks,19,0.10526315789473684,1.0,2.2581884785549597,-1.0,2.0,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Response_MFE_Ticks,19,2.0526315789473686,2.0,1.5082618476808298,1.0,3.0,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Response_MAE_Ticks,19,2.3157894736842106,2.0,1.8273426844874245,1.0,3.0,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Acceptance_Dwell_Ratio,19,0.8245614035087719,1.0,0.37463432463267765,1.0,1.0,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Reclaim_Count,19,0.05263157894736842,0.0,0.22941573387056177,0.0,0.0,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Rejection_Speed_TPS,19,0.7719298245614034,0.666666666666667,0.6091142281624748,0.333333333333333,1.0,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Directional_Delta,19,-1.105263157894737,-20.0,44.44334062956777,-28.5,28.0,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Response_Volume,19,253.52631578947367,231.0,89.40940071196381,186.0,288.5,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Effort_Result_Delta,19,-0.06890760617535353,0.026315789473684,0.3536258646696962,-0.0465367965367965,0.0432558139534885,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Effort_Result_Volume,19,-0.00012959999254778936,0.002967359050445,0.010588060606509266,-0.005437284234753,0.0072577276524645,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Momentum_Survival_Ratio,19,0.3684210526315787,0.333333333333333,0.15294382258037467,0.333333333333333,0.333333333333333,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Rotation_Index,19,0.6052631578947368,0.5,0.42749098003548086,0.25,1.0,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Local_Entropy,19,0.6981401319205479,0.91829583405449,0.4300395277318975,0.459147917027245,0.959147917027245,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Path_Efficiency,19,0.19473684210526307,0.333333333333333,0.591686536318748,-0.2666666666666665,0.55,POST_BURST_ONLY
3,C_LOSER_MFE_3_TO_30,Response_POC_Migration_Ticks,19,-0.5789473684210527,0.0,2.5235730725761796,0.0,0.0,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Directional_Displacement_Ticks,71,0.39436619718309857,0.0,2.213458013667668,-1.0,1.0,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Response_MFE_Ticks,71,2.4507042253521125,2.0,1.9624236647164228,1.0,3.5,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Response_MAE_Ticks,71,1.5070422535211268,1.0,1.4820183094745172,0.0,2.0,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Acceptance_Dwell_Ratio,71,0.9483568075117372,1.0,0.2081504898510161,1.0,1.0,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Reclaim_Count,71,0.028169014084507043,0.0,0.16663312875171463,0.0,0.0,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Rejection_Speed_TPS,71,0.5023474178403756,0.333333333333333,0.4940061031581725,0.0,0.666666666666667,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Directional_Delta,71,16.859154929577464,7.0,50.056053087556,-14.5,34.0,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Response_Volume,71,283.8732394366197,258.0,129.48600912591343,176.5,369.5,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Effort_Result_Delta,71,-0.026692637258180173,0.0,0.3105530980314691,-0.027799227799228,0.034785238959468,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Effort_Result_Volume,71,0.0011171696939817188,0.0,0.010309531829762493,-0.003241499600723,0.0048553402857885,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Momentum_Survival_Ratio,71,0.38028169014084495,0.333333333333333,0.24100171011635463,0.333333333333333,0.666666666666667,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Rotation_Index,71,0.5211267605633803,0.5,0.4426916027335336,0.0,1.0,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Local_Entropy,71,0.6050337443853838,0.91829583405449,0.4643121934654824,0.0,1.0,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Path_Efficiency,71,0.1138721216186005,0.0,0.6237641253776753,-0.225,0.6,POST_BURST_ONLY
3,D_BORN_BAD_MFE_LE_2,Response_POC_Migration_Ticks,71,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
5,A_WINNER,Directional_Displacement_Ticks,90,-1.6222222222222222,-1.0,3.8147489580552705,-3.0,1.0,POST_BURST_ONLY
5,A_WINNER,Response_MFE_Ticks,90,1.988888888888889,2.0,1.6726111218820996,1.0,3.0,POST_BURST_ONLY
5,A_WINNER,Response_MAE_Ticks,90,3.7888888888888888,3.0,3.0335000159990386,2.0,5.0,POST_BURST_ONLY
5,A_WINNER,Acceptance_Dwell_Ratio,90,0.8844444444444444,1.0,0.2859681411936962,1.0,1.0,POST_BURST_ONLY
5,A_WINNER,Reclaim_Count,90,0.1111111111111111,0.0,0.34978145486473533,0.0,0.0,POST_BURST_ONLY
5,A_WINNER,Rejection_Speed_TPS,90,0.7577777777777778,0.6,0.6067000031998077,0.4,1.0,POST_BURST_ONLY
5,A_WINNER,Directional_Delta,90,-2.4555555555555557,-14.0,67.43055705664005,-49.5,47.0,POST_BURST_ONLY
5,A_WINNER,Response_Volume,90,426.4111111111111,426.0,165.51098231964693,303.0,535.0,POST_BURST_ONLY
5,A_WINNER,Effort_Result_Delta,90,-0.10306552815965299,-0.035759897828863504,0.34484864057016623,-0.10610302351623725,0.01725625539258,POST_BURST_ONLY
5,A_WINNER,Effort_Result_Volume,90,-0.005028797292011222,-0.0039004288190749997,0.011311538933648101,-0.00767592790205875,0.00192729946764075,POST_BURST_ONLY
5,A_WINNER,Momentum_Survival_Ratio,90,0.3088888888888889,0.2,0.1969682826485982,0.2,0.4,POST_BURST_ONLY
5,A_WINNER,Rotation_Index,90,0.5222222222222223,0.5,0.34772310938302803,0.333333333333333,0.75,POST_BURST_ONLY
5,A_WINNER,Local_Entropy,90,0.7183921417112726,0.91829583405449,0.37047598539014975,0.721928094887362,0.970950594454669,POST_BURST_ONLY
5,A_WINNER,Path_Efficiency,90,-0.19090403423736757,-0.333333333333333,0.5750890761264508,-0.6,0.18571428571428575,POST_BURST_ONLY
5,A_WINNER,Response_POC_Migration_Ticks,90,0.07777777777777778,0.0,0.42999288673964325,0.0,0.0,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Directional_Displacement_Ticks,2,2.5,2.5,3.5355339059327378,1.25,3.75,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Response_MFE_Ticks,2,4.0,4.0,2.8284271247461903,3.0,5.0,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Response_MAE_Ticks,2,2.0,2.0,2.8284271247461903,1.0,3.0,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Acceptance_Dwell_Ratio,2,1.0,1.0,0.0,1.0,1.0,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Reclaim_Count,2,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Rejection_Speed_TPS,2,0.4,0.4,0.5656854249492381,0.2,0.6000000000000001,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Directional_Delta,2,90.0,90.0,140.0071426749364,40.5,139.5,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Response_Volume,2,655.0,655.0,333.75440072005046,537.0,773.0,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Effort_Result_Delta,2,0.013227513227513,0.013227513227513,0.018706528602818396,0.0066137566137565,0.0198412698412695,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Effort_Result_Volume,2,0.0028058361391695,0.0028058361391695,0.00396805152181007,0.00140291806958475,0.00420875420875425,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Momentum_Survival_Ratio,2,0.5,0.5,0.14142135623730948,0.45,0.55,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Rotation_Index,2,0.3333333333333335,0.3333333333333335,0.4714045207910319,0.16666666666666674,0.5000000000000002,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Local_Entropy,2,0.5,0.5,0.7071067811865476,0.25,0.75,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Path_Efficiency,2,0.5,0.5,0.7071067811865476,0.25,0.75,POST_BURST_ONLY
5,B_LOSER_MFE_GT_30,Response_POC_Migration_Ticks,2,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Directional_Displacement_Ticks,19,0.3157894736842105,0.0,3.3673700845837704,-1.5,2.0,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Response_MFE_Ticks,19,2.8947368421052633,2.0,2.233451162118225,2.0,3.0,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Response_MAE_Ticks,19,2.6315789473684212,2.0,1.9779486094826593,1.5,3.0,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Acceptance_Dwell_Ratio,19,0.8210526315789474,1.0,0.3705535609334606,0.9,1.0,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Reclaim_Count,19,0.10526315789473684,0.0,0.3153017676423058,0.0,0.0,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Rejection_Speed_TPS,19,0.5263157894736842,0.4,0.39558972189653185,0.30000000000000004,0.6,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Directional_Delta,19,3.473684210526316,-19.0,62.73256147333574,-40.0,44.0,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Response_Volume,19,403.05263157894734,380.0,122.03299812583047,309.5,490.5,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Effort_Result_Delta,19,-0.008229325311852734,0.0,0.06538428895042012,-0.047149122807017496,0.036220358588779505,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Effort_Result_Volume,19,1.7045491808578583e-05,0.0,0.00850660862327133,-0.00434938655232,0.0049125078925885,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Momentum_Survival_Ratio,19,0.3894736842105263,0.4,0.16962290477574485,0.2,0.4,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Rotation_Index,19,0.6271929824561402,0.666666666666667,0.35721014867776174,0.333333333333333,1.0,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Local_Entropy,19,0.8159275139390242,0.91829583405449,0.2955133013218563,0.811278124459133,0.970950594454669,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Path_Efficiency,19,0.11332497911445275,0.0,0.5014172713246631,-0.225,0.55,POST_BURST_ONLY
5,C_LOSER_MFE_3_TO_30,Response_POC_Migration_Ticks,19,-0.5789473684210527,0.0,2.5235730725761796,0.0,0.0,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Directional_Displacement_Ticks,70,1.0571428571428572,1.0,2.8329618560522114,0.0,3.0,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Response_MFE_Ticks,70,3.1714285714285713,3.0,2.2196189029953235,1.0,5.0,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Response_MAE_Ticks,70,1.9714285714285715,1.0,1.86478757830894,1.0,3.0,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Acceptance_Dwell_Ratio,70,0.94,1.0,0.21895668289757053,1.0,1.0,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Reclaim_Count,70,0.04285714285714286,0.0,0.20399732064980203,0.0,0.0,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Rejection_Speed_TPS,70,0.39428571428571435,0.2,0.37295751566178803,0.2,0.6,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Directional_Delta,70,30.857142857142858,20.0,61.98674138604525,-12.0,74.5,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Response_Volume,70,439.74285714285713,397.5,182.3856946553288,294.5,542.0,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Effort_Result_Delta,70,0.007354065403554142,0.020215359609915003,0.1152862988135879,0.0,0.051973684210526006,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Effort_Result_Volume,70,0.0022753836533810426,0.0025278989856645003,0.007337687121592284,0.0,0.00623816419739325,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Momentum_Survival_Ratio,70,0.4142857142857143,0.4,0.19056416187982636,0.2,0.6,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Rotation_Index,70,0.575,0.666666666666667,0.33518507397619174,0.333333333333333,0.75,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Local_Entropy,70,0.7764342519637802,0.91829583405449,0.3477420902766458,0.811278124459133,1.0,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Path_Efficiency,70,0.2093805400948258,0.2,0.46845084245928503,0.0,0.428571428571429,POST_BURST_ONLY
5,D_BORN_BAD_MFE_LE_2,Response_POC_Migration_Ticks,70,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
