criterion,observed,threshold,passed
MBO_ONLY_AUC_AT_LEAST_0_65,0.38666666666666666,0.65,False
DELTA_AUC_AT_LEAST_0_08,-0.22666666666666668,0.08,False
DELTA_PERMUTATION_P_AT_MOST_0_10,0.998001998001998,0.1,False
AT_LEAST_TWO_YEARS_NONNEGATIVE_DELTA,1.0,2.0,False
NO_YEAR_DELTA_BELOW_MINUS_0_05,-0.4,-0.05,False
BUY_MBO_AUC_AT_LEAST_0_55,0.6071428571428571,0.55,True
SELL_MBO_AUC_AT_LEAST_0_55,0.19642857142857145,0.55,False
AT_LEAST_ONE_ROBUST_COMPACT_FEATURE,0.0,1.0,False
