iteration,auc_EXISTING_CAUSAL,auc_MBO_ONLY,auc_EXISTING_CAUSAL_PLUS_MBO,delta_plus_mbo
0,0.5733333333333334,0.5777777777777777,0.5555555555555556,-0.01777777777777778
1,0.2711111111111111,0.5111111111111111,0.3333333333333333,0.062222222222222234
2,0.6622222222222223,0.5422222222222222,0.6222222222222222,-0.040000000000000036
3,0.5822222222222222,0.7733333333333333,0.648888888888889,0.06666666666666676
4,0.528888888888889,0.4266666666666667,0.5155555555555555,-0.01333333333333342
5,0.6222222222222222,0.5155555555555555,0.5377777777777778,-0.08444444444444443
6,0.5822222222222222,0.4222222222222223,0.4933333333333333,-0.0888888888888889
7,0.6133333333333333,0.64,0.6577777777777778,0.04444444444444451
8,0.4311111111111111,0.6222222222222222,0.5244444444444445,0.09333333333333338
9,0.6177777777777778,0.4177777777777778,0.5911111111111111,-0.026666666666666616
10,0.3733333333333333,0.5111111111111111,0.41333333333333333,0.040000000000000036
11,0.5688888888888889,0.40444444444444444,0.5466666666666666,-0.022222222222222254
12,0.48,0.4311111111111111,0.49777777777777776,0.01777777777777778
13,0.6622222222222223,0.5777777777777777,0.5377777777777778,-0.12444444444444447
14,0.4222222222222223,0.6933333333333334,0.4666666666666667,0.0444444444444444
15,0.4888888888888889,0.5644444444444444,0.52,0.031111111111111145
16,0.5244444444444445,0.5422222222222222,0.528888888888889,0.004444444444444473
17,0.7333333333333334,0.5377777777777778,0.7244444444444444,-0.008888888888888946
18,0.5555555555555556,0.7511111111111112,0.7066666666666667,0.15111111111111108
19,0.7066666666666667,0.7422222222222223,0.7866666666666666,0.07999999999999996
20,0.40888888888888886,0.5422222222222222,0.4266666666666667,0.017777777777777837
21,0.41333333333333333,0.5111111111111111,0.39555555555555555,-0.01777777777777778
22,0.64,0.4844444444444444,0.5822222222222222,-0.05777777777777782
23,0.6222222222222222,0.7422222222222221,0.6666666666666666,0.0444444444444444
24,0.7111111111111111,0.4222222222222222,0.72,0.008888888888888835
25,0.5511111111111111,0.5866666666666667,0.49777777777777776,-0.053333333333333344
26,0.3111111111111111,0.5155555555555555,0.3288888888888889,0.01777777777777778
27,0.6088888888888888,0.33777777777777773,0.5377777777777778,-0.07111111111111101
28,0.36888888888888893,0.5377777777777778,0.4222222222222222,0.05333333333333329
29,0.4933333333333333,0.1911111111111111,0.3244444444444444,-0.16888888888888887
30,0.5022222222222221,0.5022222222222222,0.5111111111111111,0.008888888888888946
31,0.6666666666666667,0.5822222222222222,0.76,0.09333333333333327
32,0.5777777777777777,0.4266666666666667,0.5066666666666667,-0.07111111111111101
33,0.528888888888889,0.6444444444444444,0.5377777777777778,0.008888888888888835
