date,symbol,lvn_id,price,volume,depth,width_ticks,low_price,high_price,left_neighbor_mean,right_neighbor_mean,volume_percent_of_neighbors,volume_percent_of_poc,distance_to_poc_ticks,distance_to_vah_ticks,distance_to_val_ticks,member_level_count,retest_count,had_retest,context_profile_shape,context_shape_confidence,minute_profile_shape,minute_shape_confidence,context_prob_D,context_prob_P,context_prob_b,context_prob_double,context_prob_trend_up,context_prob_trend_down,context_prob_unknown,minute_prob_D,minute_prob_P,minute_prob_b,minute_prob_double,minute_prob_trend_up,minute_prob_trend_down,minute_prob_unknown
2022-04-06,NQ,FIRST_MINUTE_0930_0931_LVN_01,14613.75,24.0,0.7538461538461538,5,14613.75,14613.75,97.5,139.5,0.24615384615384617,0.06315789473684211,-55.0,-80.0,30.0,1,3,True,unknown,0.38248819505470216,double,0.8877056169613352,0.08554246234727955,0.06712641090561781,0.07052526025480335,0.07272899986798938,0.24551989558255666,0.07606877598705115,0.38248819505470216,0.015699462770152967,0.015401084010318904,0.01543321008809755,0.8877056169613352,0.02378683257190706,0.026572741648288253,0.015401051949899961
2022-04-06,NQ,FIRST_MINUTE_0930_0931_LVN_02,14621.25,31.0,0.6457142857142857,10,14621.25,14622.5,243.5,87.5,0.35428571428571426,0.08157894736842106,-25.0,-50.0,60.0,2,2,True,unknown,0.38248819505470216,double,0.8877056169613352,0.08554246234727955,0.06712641090561781,0.07052526025480335,0.07272899986798938,0.24551989558255666,0.07606877598705115,0.38248819505470216,0.015699462770152967,0.015401084010318904,0.01543321008809755,0.8877056169613352,0.02378683257190706,0.026572741648288253,0.015401051949899961
2022-04-07,NQ,FIRST_MINUTE_0930_0931_LVN_01,14482.5,28.0,0.7933579335793358,5,14482.5,14482.5,142.5,135.5,0.2066420664206642,0.07977207977207977,75.0,25.0,85.0,1,2,True,trend_down,0.4752939892569855,trend_down,0.7369894947229482,0.0638900498522933,0.06335466468838385,0.06326670457585136,0.09586088145051215,0.0662915170758636,0.4752939892569855,0.1720421931001102,0.042245206418900026,0.04200635885387538,0.041966259966422295,0.045660396631559116,0.04235352260253073,0.7369894947229482,0.04877876080376426
2022-04-12,NQ,FIRST_MINUTE_0930_0931_LVN_01,14170.0,58.0,0.6293929712460065,5,14170.0,14170.0,156.5,161.5,0.3706070287539936,0.1554959785522788,-35.0,-100.0,-5.0,1,3,True,trend_up,0.7599480696250092,double,0.3219240928201836,0.026960273923821727,0.02683756445223592,0.026858381738683018,0.10557691133906764,0.7599480696250092,0.026981251583256902,0.026837547337925708,0.07248109511481184,0.06593710374056518,0.06464851412062458,0.3219240928201836,0.09667511070973213,0.11648484349561301,0.26184923999846976
2022-04-20,NQ,FIRST_MINUTE_0930_0931_LVN_01,14258.75,99.0,0.5352112676056338,5,14258.75,14258.75,229.0,213.0,0.4647887323943662,0.2214765100671141,40.0,5.0,90.0,1,1,True,trend_down,0.31988973731348685,unknown,0.5646350628115788,0.05306391396703478,0.052272492773327996,0.05216194394426375,0.2959638426305126,0.05565845815874002,0.31988973731348685,0.17098961121263404,0.06809173141757008,0.05158564091817915,0.052818138814163015,0.09463190659619852,0.08964373086343634,0.07859378857887413,0.5646350628115788
2022-04-20,NQ,FIRST_MINUTE_0930_0931_LVN_02,14265.0,37.0,0.509933774834437,5,14265.0,14265.0,112.5,75.5,0.4900662251655629,0.08277404921700224,65.0,30.0,115.0,1,1,True,trend_down,0.31988973731348685,unknown,0.5646350628115788,0.05306391396703478,0.052272492773327996,0.05216194394426375,0.2959638426305126,0.05565845815874002,0.31988973731348685,0.17098961121263404,0.06809173141757008,0.05158564091817915,0.052818138814163015,0.09463190659619852,0.08964373086343634,0.07859378857887413,0.5646350628115788
2022-04-21,NQ,FIRST_MINUTE_0930_0931_LVN_01,14183.75,11.0,0.6451612903225806,5,14183.75,14183.75,31.0,33.0,0.3548387096774194,0.01788617886178862,30.0,20.0,55.0,1,0,False,trend_up,0.6784690850894559,trend_down,0.6936032239110255,0.09285251975035809,0.060687927519373484,0.04063696672652151,0.03903400298577741,0.6784690850894559,0.03947333289912464,0.04884616502938893,0.0535064623191168,0.04399611777912491,0.05701360552903722,0.04574565054363546,0.0442878907484599,0.6936032239110255,0.061847049169600314
2022-04-27,NQ,FIRST_MINUTE_0930_0931_LVN_01,13030.0,21.0,0.631578947368421,5,13030.0,13030.0,128.5,57.0,0.3684210526315789,0.06231454005934718,50.0,-60.0,75.0,1,0,False,unknown,0.29454038891486034,trend_down,0.7042344135573495,0.060910518665288876,0.06030304898537532,0.06019919146145817,0.24979362479238607,0.06954828673755159,0.2047049404430796,0.29454038891486034,0.04542722854350412,0.04498203319320587,0.04493941908291914,0.05621942177375995,0.04559834583252968,0.7042344135573495,0.05859913801673173
2022-04-27,NQ,FIRST_MINUTE_0930_0931_LVN_02,13058.75,18.0,0.5384615384615384,5,13058.75,13058.75,44.0,39.0,0.46153846153846156,0.05341246290801187,165.0,55.0,190.0,1,1,True,unknown,0.29454038891486034,trend_down,0.7042344135573495,0.060910518665288876,0.06030304898537532,0.06019919146145817,0.24979362479238607,0.06954828673755159,0.2047049404430796,0.29454038891486034,0.04542722854350412,0.04498203319320587,0.04493941908291914,0.05621942177375995,0.04559834583252968,0.7042344135573495,0.05859913801673173
2022-04-28,NQ,FIRST_MINUTE_0930_0931_LVN_01,13216.25,31.0,0.5571428571428572,5,13216.25,13216.25,70.0,117.5,0.44285714285714284,0.07673267326732673,-150.0,-195.0,-115.0,1,6,True,unknown,0.3682745032087157,trend_up,0.7262235999885853,0.07393041712140366,0.0680286899605841,0.0700425022271838,0.08677036973972085,0.07724165695773719,0.25571186078465463,0.3682745032087157,0.046249546581223974,0.04335144357942885,0.04324326004382934,0.04326031775046841,0.7262235999885853,0.04341007135950953,0.054261760696954646
