section,segment,metric,value,n
Interaction x shape,REJECTION|unknown,wr_80_80_resolved,0.5294117647058824,17
Interaction x shape,UNRESOLVED|double,events,1.0,1
Interaction x shape,UNRESOLVED|double,wr_20_20_resolved,,0
Interaction x shape,UNRESOLVED|double,wr_40_40_resolved,,0
Interaction x shape,UNRESOLVED|double,wr_60_60_resolved,,0
Interaction x shape,UNRESOLVED|double,wr_80_80_resolved,,0
Monthly,2022-04,events,30.0,30
Monthly,2022-04,unique_days,6.0,30
Monthly,2022-04,wr_20_20_resolved,0.5,20
Monthly,2022-04,wr_40_40_resolved,0.5416666666666666,24
Monthly,2022-04,wr_60_60_resolved,0.56,25
Monthly,2022-04,wr_80_80_resolved,0.5517241379310345,29
Monthly,2022-05,events,21.0,21
Monthly,2022-05,unique_days,9.0,21
Monthly,2022-05,wr_20_20_resolved,0.6,5
Monthly,2022-05,wr_40_40_resolved,0.4444444444444444,9
Monthly,2022-05,wr_60_60_resolved,0.5,14
Monthly,2022-05,wr_80_80_resolved,0.4666666666666667,15
Monthly,2022-06,events,16.0,16
Monthly,2022-06,unique_days,3.0,16
Monthly,2022-06,wr_20_20_resolved,0.0,5
Monthly,2022-06,wr_40_40_resolved,0.2,10
Monthly,2022-06,wr_60_60_resolved,0.2727272727272727,11
Monthly,2022-06,wr_80_80_resolved,0.3076923076923077,13
