train_end,test_start,test_end,depth,min_leaf,n,wins,losses,wr,pf_gross,pf_after_2t,wilson_low
2025-07-08,2025-07-09,2025-09-02,2,15,15,7,8,0.4666666666666667,0.875,0.765625,0.2480953536573739
2025-09-02,2025-09-03,2025-10-29,4,25,11,6,5,0.5454545454545454,1.2,1.05,0.280091537409322
2025-10-29,2025-10-30,2025-12-26,4,20,4,1,3,0.25,0.3333333333333333,0.2916666666666667,0.0455872608097006
2025-12-26,2025-12-29,2026-02-23,3,10,10,3,7,0.3,0.42857142857142855,0.375,0.10779126740630102
2026-02-23,2026-02-24,2026-04-22,2,25,19,12,7,0.631578947368421,1.7142857142857142,1.5,0.4103953316480307
2026-04-22,2026-04-23,2026-06-17,2,10,20,7,13,0.35,0.5384615384615384,0.47115384615384615,0.1811918241010821
2026-06-17,2026-06-19,2026-06-26,5,30,1,0,1,0.0,0.0,0.0,0.0
