feature,coverage_pct,mann_whitney_p_discovery,cliffs_delta_A_minus_B_discovery,median_A_discovery,median_B_discovery,direction_discovery,direction_validation,direction_holdout,direction_stable_all_splits,discovery_n_a,discovery_n_b,validation_n_a,validation_n_b,holdout_n_a,holdout_n_b,mann_whitney_q_bh,robust_candidate
burst_w1_counter_volume,100.0,0.24531738817418836,-0.16400336417157274,10.0,14.0,-1.0,1.0,-1.0,0,29,41,8,17,9,20,0.7917732835398136,0
burst_w3_update_count,100.0,0.1386046224030096,-0.2094196804037006,19.0,22.0,-1.0,1.0,-1.0,0,29,41,8,17,9,20,0.7917732835398136,0
burst_w3_known_change_count,100.0,0.1386427317766164,-0.2094196804037006,19.0,22.0,-1.0,1.0,-1.0,0,29,41,8,17,9,20,0.7917732835398136,0
burst_w3_add_events,100.0,0.05279017307098574,-0.27333894028595457,6.0,9.0,-1.0,1.0,-1.0,0,29,41,8,17,9,20,0.7917732835398136,0
burst_w5_update_count,100.0,0.15541393389026764,-0.20100925147182505,27.0,34.0,-1.0,1.0,1.0,0,29,41,8,17,9,20,0.7917732835398136,0
burst_w5_known_change_count,100.0,0.15891211946305783,-0.19932716568544995,27.0,33.0,-1.0,1.0,1.0,0,29,41,8,17,9,20,0.7917732835398136,0
burst_w5_add_events,100.0,0.10281081397832972,-0.2304457527333894,10.0,12.0,-1.0,1.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
burst_w5_remove_events,100.0,0.1464724892143546,-0.20521446593776282,14.0,15.0,-1.0,1.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
burst_w5_counter_volume,100.0,0.32017061738768415,-0.1404541631623213,10.0,14.0,-1.0,1.0,-1.0,0,29,41,8,17,9,20,0.7917732835398136,0
burst_w10_update_count,100.0,0.2619502819242656,-0.15895710681244743,48.0,53.0,-1.0,-1.0,-1.0,1,29,41,8,17,9,20,0.7917732835398136,0
burst_w10_known_change_count,100.0,0.2644964338784217,-0.1581160639192599,48.0,53.0,-1.0,-1.0,-1.0,1,29,41,8,17,9,20,0.7917732835398136,0
burst_w10_add_events,100.0,0.3130870763444581,-0.14297729184188393,21.0,21.0,0.0,-1.0,-1.0,0,29,41,8,17,9,20,0.7917732835398136,0
burst_w10_remove_events,100.0,0.2827293821238168,-0.15222876366694701,21.0,25.0,-1.0,-1.0,-1.0,1,29,41,8,17,9,20,0.7917732835398136,0
reference_w1_update_count,100.0,0.229020848659495,-0.13372582001682085,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w1_known_change_count,100.0,0.229020848659495,-0.13372582001682085,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w1_add_volume,100.0,0.023905324110526798,-0.20269133725820015,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w1_remove_volume,100.0,0.23804913153430307,-0.1312026913372582,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w1_add_events,100.0,0.023865482446198946,-0.20269133725820015,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w1_remove_events,100.0,0.20332695144985735,-0.14129520605550883,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w1_aggressive_volume,100.0,0.08014988879096548,-0.19764507989907484,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w1_counter_volume,100.0,0.015645642058798905,-0.25735912531539107,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w1_refill_events_after_aggression,100.0,0.0922645970975005,-0.13204373423044574,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w1_refill_volume_after_aggression,100.0,0.0922926032508611,-0.13204373423044574,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w3_add_volume,100.0,0.20580388666557414,-0.1631623212783852,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w3_remove_volume,100.0,0.21032442095512904,-0.16400336417157274,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w3_add_events,100.0,0.24843379525170595,-0.1488645920941968,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w3_aggressive_volume,100.0,0.16197570647827353,-0.18166526492851134,0.0,1.0,-1.0,1.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w3_counter_volume,100.0,0.14784761198007862,-0.18334735071488645,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w3_refill_events_after_aggression,100.0,0.2502779230851716,-0.127838519764508,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w3_refill_volume_after_aggression,100.0,0.24107729282519785,-0.13036164844407064,0.0,0.0,0.0,0.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w5_remove_volume,100.0,0.21108098702227296,-0.1648444070647603,0.0,0.0,0.0,1.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w10_refill_events_after_aggression,100.0,0.27939326914353635,-0.13961312026913372,0.0,0.0,0.0,-1.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
reference_w10_refill_volume_after_aggression,100.0,0.28236339921851183,-0.13877207737594618,0.0,0.0,0.0,-1.0,0.0,0,29,41,8,17,9,20,0.7917732835398136,0
burst_w1_end_depth,92.74193548387096,0.31164577030386276,-0.13097713097713098,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
burst_w1_recovery_from_min,92.74193548387096,0.30191797145172306,-0.12993762993762994,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
burst_w1_level_survived,92.74193548387096,0.19165910931911678,-0.1632016632016632,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
burst_w3_end_depth,92.74193548387096,0.31164577030386276,-0.13097713097713098,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
burst_w3_recovery_from_min,92.74193548387096,0.30191797145172306,-0.12993762993762994,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
burst_w3_level_survived,92.74193548387096,0.19165910931911678,-0.1632016632016632,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
burst_w5_end_depth,92.74193548387096,0.31164577030386276,-0.13097713097713098,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
burst_w5_recovery_from_min,92.74193548387096,0.30191797145172306,-0.12993762993762994,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
burst_w5_level_survived,92.74193548387096,0.19165910931911678,-0.1632016632016632,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
burst_w10_end_depth,92.74193548387096,0.31164577030386276,-0.13097713097713098,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
burst_w10_recovery_from_min,92.74193548387096,0.30191797145172306,-0.12993762993762994,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
burst_w10_level_survived,92.74193548387096,0.19165910931911678,-0.1632016632016632,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
reference_w1_start_depth,92.74193548387096,0.18324450683308524,-0.15592515592515593,0.0,0.0,0.0,1.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
reference_w1_max_depth,92.74193548387096,0.2157580301813985,-0.15072765072765074,0.0,0.0,0.0,1.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
reference_w1_depth_net_change,92.74193548387096,0.18324450683308524,0.15592515592515593,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
reference_w1_last_update_age_ms,92.74193548387096,0.29829981148334417,0.15592515592515593,3183.2480000011856,1724.9999999985448,1.0,-1.0,1.0,0,26,37,7,17,9,19,0.7917732835398136,0
reference_w3_start_depth,92.74193548387096,0.31806387536306235,-0.13513513513513514,0.0,0.0,0.0,1.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
reference_w3_depth_net_change,92.74193548387096,0.31806387536306235,0.13513513513513514,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7917732835398136,0
reference_w3_last_update_age_ms,92.74193548387096,0.29829981148334417,0.15592515592515593,3183.2480000011856,1724.9999999985448,1.0,-1.0,1.0,0,26,37,7,17,9,19,0.7917732835398136,0
reference_w5_last_update_age_ms,92.74193548387096,0.29829981148334417,0.15592515592515593,3183.2480000011856,1724.9999999985448,1.0,-1.0,1.0,0,26,37,7,17,9,19,0.7917732835398136,0
