test_year,filter,tp,sl,train_trades,train_wr,train_pf,train_exp,train_bad_months,oos_trades,oos_wr,oos_pf,oos_exp,oos_profit,oos_dd
2023,score>=6 AND OR<=160,80,30,116,50.86206896551724,1.4494464944649446,5.25,1,122,46.72131147540984,1.1086194814295725,1.2704918032786885,155.0,414.0
2024,score>=8 AND OR>=100,60,30,120,50.83333333333333,1.420824295010846,4.85,3,50,48.0,1.070469798657718,0.84,42.0,134.0
2025,score>=7 AND OR<=160,60,30,290,48.96551724137931,1.2874269005847954,3.389655172413793,7,70,52.85714285714286,1.4421182266009853,5.128571428571429,359.0,110.0
2026,OR>=140,100,60,133,62.40601503759399,1.7969168900804289,8.93984962406015,9,60,58.333333333333336,1.453924914675768,6.65,399.0,155.0
