Variable,Nacimiento,Actualizaciones,Congelada,Usable,Clasificacion,Motivo
Imbalance_Count,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Imbalance_Count_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Imbalance_Group_3,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Imbalance_Group_3_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Imbalance_Group_Price,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Imbalance_Group_Price_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Input_VERSION,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,SAFE_META,"identifier/timestamp, not an optimizer feature"
Largest_MAE_pullback_ticks,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,LEAKED,contains forbidden future/outcome token `(^|_)mae($|_)`
Largest_MFE_pullup_ticks,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,LEAKED,contains forbidden future/outcome token `(^|_)mfe($|_)`
Latency_Threshold_Milliseconds,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
MAE_Pullback_Ticks_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)mae($|_)`
MAE_Speed_TPS_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)mae($|_)`
MAE_ticks,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,LEAKED,contains forbidden future/outcome token `(^|_)mae($|_)`
MFE_TP_Pct_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)mfe($|_)`
MFE_Ticks_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)mfe($|_)`
MFE_ticks,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,LEAKED,contains forbidden future/outcome token `(^|_)mfe($|_)`
Max_Delta_during_trade,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)during($|_)`
Max_MAE_Speed_1s,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)mae($|_)`
Max_MAE_Speed_2s,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)mae($|_)`
Max_MAE_Speed_500ms,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)mae($|_)`
