Variable,Nacimiento,Actualizaciones,Congelada,Usable,Clasificacion,Motivo
Speed_Ignored_By_Structure,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Speed_Ignored_By_Structure_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Speed_OK,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Speed_OK_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Speed_Profile,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,SUSPECT,not explicitly classified as causal
Speed_Profile_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Speed_Replay_Fallback,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Speed_Replay_Fallback_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Speed_Timing_Source,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Speed_Timing_Source_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Subsecond_Trade,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
TP_And_SL_Hit_Same_Update,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)update(d)?($|_)`
TP_price,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)tp($|_)`
TP_price_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)tp($|_)`
TP_price_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
TP_ticks,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)tp($|_)`
TP_ticks_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)tp($|_)`
TP_ticks_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
