date,symbol,lvn_count,lvn_ids,lvn_prices,context_profile_shape,context_prob_P,context_prob_b,context_prob_D,reason
2023-04-13,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,13031.25,trend_up,0.02308333143252394,0.023139881290939752,0.02418792539886705,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2023-04-20,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,13058.75,trend_down,0.07202914027349189,0.06112482271216133,0.19262501087518136,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2023-05-11,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,13428.75,trend_down,0.035259058174857374,0.03748746400125198,0.039608546809070416,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2023-05-16,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,13446.25,trend_down,0.022609078868206862,0.023491391710165628,0.02563045322604026,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2023-05-25,NQ,3,FIRST_MINUTE_0930_0931_LVN_01|FIRST_MINUTE_0930_0931_LVN_02|FIRST_MINUTE_0930_0931_LVN_03,13935.00|13951.25|13955.00,trend_up,0.0381864361332162,0.03829369356559523,0.038740085390930525,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2023-06-06,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,14557.50,unknown,0.06715927663245368,0.06360947050026025,0.07786596062271858,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2023-06-07,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,14600.00,unknown,0.05777939737325887,0.053899066283693696,0.06781782602853026,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2023-07-10,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,15172.50,unknown,0.055967387402671855,0.05739539776114738,0.06643426342753209,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2023-07-18,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,15811.25,trend_down,0.052987773336402685,0.06385059992831438,0.09013378531144388,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2023-08-31,NQ,2,FIRST_MINUTE_0930_0931_LVN_01|FIRST_MINUTE_0930_0931_LVN_02,15493.75|15511.25,trend_down,0.036042095914479516,0.03590240649590746,0.03699992146974106,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2023-09-13,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,15506.25,trend_up,0.05952662336359204,0.05969131529843904,0.06007292713267299,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2023-10-11,NQ,2,FIRST_MINUTE_0930_0931_LVN_01|FIRST_MINUTE_0930_0931_LVN_02,15328.75|15337.50,trend_up,0.06066903155934544,0.060941550765565074,0.06177284457523661,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
