date,symbol,lvn_id,price,volume,depth,width_ticks,low_price,high_price,left_neighbor_mean,right_neighbor_mean,volume_percent_of_neighbors,volume_percent_of_poc,distance_to_poc_ticks,distance_to_vah_ticks,distance_to_val_ticks,member_level_count,retest_count,had_retest,context_profile_shape,context_shape_confidence,minute_profile_shape,minute_shape_confidence,context_prob_D,context_prob_P,context_prob_b,context_prob_double,context_prob_trend_up,context_prob_trend_down,context_prob_unknown,minute_prob_D,minute_prob_P,minute_prob_b,minute_prob_double,minute_prob_trend_up,minute_prob_trend_down,minute_prob_unknown
2023-03-15,NQ,FIRST_MINUTE_0930_0931_LVN_01,12232.5,117.0,0.5338645418326693,5,12232.5,12232.5,251.0,283.5,0.46613545816733065,0.25161290322580643,40.0,-30.0,85.0,1,7,True,double,0.8791743923036529,unknown,0.401356352018953,0.016753597866918383,0.01644822694934944,0.01649681556000282,0.8791743923036529,0.030828109534097713,0.023850656605691772,0.016448201180286993,0.08502337224363916,0.07094088834109304,0.06663842599539097,0.07593288148629944,0.22280515268013915,0.07730292723448524,0.401356352018953
2023-03-15,NQ,FIRST_MINUTE_0930_0931_LVN_02,12241.25,58.0,0.6588235294117647,5,12241.25,12241.25,170.0,187.0,0.3411764705882353,0.12473118279569892,75.0,5.0,120.0,1,6,True,double,0.8791743923036529,unknown,0.401356352018953,0.016753597866918383,0.01644822694934944,0.01649681556000282,0.8791743923036529,0.030828109534097713,0.023850656605691772,0.016448201180286993,0.08502337224363916,0.07094088834109304,0.06663842599539097,0.07593288148629944,0.22280515268013915,0.07730292723448524,0.401356352018953
2023-03-23,NQ,FIRST_MINUTE_0930_0931_LVN_01,12871.25,39.0,0.7408637873754154,5,12871.25,12871.25,150.5,201.5,0.2591362126245847,0.057777777777777775,35.0,5.0,60.0,1,8,True,trend_down,0.41410415963976166,double,0.6554268050046645,0.0752394000638203,0.0662298166506334,0.06516078832496719,0.10020387886903231,0.0689341202370986,0.41410415963976166,0.21012783621468664,0.044269196369682594,0.04298490235215846,0.04246144337042924,0.6554268050046645,0.0536494233127585,0.10377798531483517,0.05743024427547162
2023-04-12,NQ,FIRST_MINUTE_0930_0931_LVN_01,13156.25,59.0,0.5645756457564576,5,13156.25,13156.25,135.5,268.5,0.4354243542435424,0.06217070600632244,25.0,20.0,70.0,1,4,True,trend_up,0.8463360139442099,trend_down,0.34506300560756964,0.02587841958935039,0.030176189463401486,0.02423100097633969,0.024861569687199873,0.8463360139442099,0.024286412568703706,0.024230393770794865,0.08991377737604467,0.05887701185233452,0.08866102484682283,0.1397174282488245,0.06292847264190515,0.34506300560756964,0.21483927942649883
2023-04-13,NQ,FIRST_MINUTE_0930_0931_LVN_01,13031.25,161.0,0.5053763440860215,5,13031.25,13031.25,376.5,325.5,0.4946236559139785,0.2839506172839506,30.0,0.0,40.0,1,0,False,trend_up,0.8527263877997503,unknown,0.424893726808239,0.02418792539886705,0.02308333143252394,0.023139881290939752,0.030751890638696364,0.8527263877997503,0.02307006498569813,0.023040518453524436,0.06742117163495999,0.06647004490683274,0.06627828167524745,0.08487910010668999,0.07743701126763208,0.21262066360039872,0.424893726808239
2023-04-20,NQ,FIRST_MINUTE_0930_0931_LVN_01,13058.75,109.0,0.7854330708661417,5,13058.75,13058.75,578.5,508.0,0.21456692913385828,0.1404639175257732,-15.0,-25.0,20.0,1,0,False,trend_down,0.3099879293615627,trend_up,0.44316924182809714,0.19262501087518136,0.07202914027349189,0.06112482271216133,0.059884662719225504,0.06481706750530683,0.3099879293615627,0.23953136655307025,0.04271148291066143,0.042364881735470115,0.04240979427594307,0.30021873830790125,0.44316924182809714,0.043427339494409904,0.08569852144751731
2023-05-04,NQ,FIRST_MINUTE_0930_0931_LVN_01,13075.0,45.0,0.6875,5,13075.0,13075.0,144.0,220.0,0.3125,0.052204176334106726,-30.0,-40.0,-10.0,1,6,True,unknown,0.357655058025025,trend_up,0.3964150510899931,0.08423284694599284,0.06695421634416801,0.07186073751255535,0.06710474012238916,0.2782510624066934,0.07394133864317626,0.357655058025025,0.06938498617724077,0.06851405005415967,0.0687107921871718,0.06995733975269523,0.3964150510899931,0.07324397276992341,0.253773807968816
2023-05-11,NQ,FIRST_MINUTE_0930_0931_LVN_01,13428.75,231.0,0.5936675461741425,5,13428.75,13428.75,568.5,700.0,0.40633245382585753,0.21916508538899432,-10.0,-15.0,20.0,1,0,False,trend_down,0.5900646590457448,double,0.41999420209629634,0.039608546809070416,0.035259058174857374,0.03748746400125198,0.2191041528934097,0.035663883454093145,0.5900646590457448,0.042812235621572596,0.042883205121859155,0.04212811514225942,0.04219494770773474,0.41999420209629634,0.31918990552053667,0.04406596649601369,0.08954365791530011
2023-05-16,NQ,FIRST_MINUTE_0930_0931_LVN_01,13446.25,79.0,0.6852589641434264,5,13446.25,13446.25,251.0,345.5,0.3147410358565737,0.13036303630363036,25.0,-10.0,40.0,1,0,False,trend_down,0.8615339197051437,double,0.5500911012682679,0.02563045322604026,0.022609078868206862,0.023491391710165628,0.022234136275331294,0.022266883939780907,0.8615339197051437,0.022234136275331294,0.04318845753040248,0.03939920644197757,0.038794729571265826,0.5500911012682679,0.04130820052775855,0.23028233241908425,0.05693597224124343
2023-05-25,NQ,FIRST_MINUTE_0930_0931_LVN_01,13935.0,98.0,0.5311004784688995,5,13935.0,13935.0,209.0,322.5,0.4688995215311005,0.0766223612197029,-100.0,-120.0,-35.0,1,0,False,trend_up,0.7388090398457577,trend_up,0.4784958240842742,0.038740085390930525,0.0381864361332162,0.03829369356559523,0.06513827706539894,0.7388090398457577,0.038516685325665,0.042315782673436234,0.072828552957454,0.06465873531108308,0.06555714448743821,0.06464021840006684,0.4784958240842742,0.06791204229853541,0.18590748246114822
2023-05-25,NQ,FIRST_MINUTE_0930_0931_LVN_02,13951.25,94.0,0.5167095115681234,5,13951.25,13951.25,194.5,242.5,0.4832904884318766,0.07349491790461297,-35.0,-55.0,30.0,1,0,False,trend_up,0.7388090398457577,trend_up,0.4784958240842742,0.038740085390930525,0.0381864361332162,0.03829369356559523,0.06513827706539894,0.7388090398457577,0.038516685325665,0.042315782673436234,0.072828552957454,0.06465873531108308,0.06555714448743821,0.06464021840006684,0.4784958240842742,0.06791204229853541,0.18590748246114822
