fecha,BurstId,family,split,kmeans_2,gmm_2,kmeans_3,gmm_3,dbscan,hdbscan
2023-04-26,LB_20230426_093201_SELL_0001,A_TRUE_ABSORPTION,discovery,0,1,0,2,-1,UNAVAILABLE
2023-05-03,LB_20230503_093500_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,0,1,1,-1,UNAVAILABLE
2023-05-11,LB_20230511_093202_SELL_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,-1,UNAVAILABLE
2023-05-18,LB_20230518_093436_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,0,1,1,-1,UNAVAILABLE
2023-05-22,LB_20230522_093356_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,1,0,2,-1,UNAVAILABLE
2023-05-26,LB_20230526_093357_BUY_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,-1,UNAVAILABLE
2023-05-31,LB_20230531_093156_BUY_0001,C_MIXED_PATH,discovery,0,1,1,0,-1,UNAVAILABLE
2023-06-05,LB_20230605_093500_BUY_0001,C_MIXED_PATH,discovery,0,0,1,2,-1,UNAVAILABLE
2023-06-13,LB_20230613_093139_SELL_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,2,UNAVAILABLE
2023-06-22,LB_20230622_093240_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,1,UNAVAILABLE
2023-06-23,LB_20230623_093159_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,1,UNAVAILABLE
2023-06-30,LB_20230630_093123_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,1,UNAVAILABLE
2023-07-18,LB_20230718_093258_SELL_0002,B_CLEAN_BREAKOUT,discovery,0,1,0,2,-1,UNAVAILABLE
2023-07-20,LB_20230720_093345_SELL_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,-1,UNAVAILABLE
2023-07-27,LB_20230727_093300_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,-1,UNAVAILABLE
2023-08-08,LB_20230808_093726_SELL_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,0,UNAVAILABLE
2023-08-24,LB_20230824_093139_SELL_0001,B_CLEAN_BREAKOUT,discovery,0,1,0,2,-1,UNAVAILABLE
2023-08-25,LB_20230825_093257_BUY_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,-1,UNAVAILABLE
2023-08-29,LB_20230829_093105_SELL_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,-1,UNAVAILABLE
2023-08-31,LB_20230831_093357_BUY_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,-1,UNAVAILABLE
2023-09-05,LB_20230905_093500_SELL_0002,C_MIXED_PATH,discovery,0,0,1,1,0,UNAVAILABLE
2023-09-07,LB_20230907_093117_SELL_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,2,-1,UNAVAILABLE
2023-09-14,LB_20230914_093127_SELL_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,0,UNAVAILABLE
2023-09-15,LB_20230915_093253_SELL_0001,B_CLEAN_BREAKOUT,discovery,0,1,0,2,-1,UNAVAILABLE
2023-09-19,LB_20230919_093101_SELL_0001,A_TRUE_ABSORPTION,discovery,0,1,0,0,-1,UNAVAILABLE
2023-09-22,LB_20230922_093553_SELL_0001,C_MIXED_PATH,discovery,0,0,1,2,-1,UNAVAILABLE
2023-09-26,LB_20230926_093118_SELL_0002,B_CLEAN_BREAKOUT,discovery,0,1,1,0,-1,UNAVAILABLE
2023-09-27,LB_20230927_093102_BUY_0001,C_MIXED_PATH,discovery,0,1,1,0,1,UNAVAILABLE
2023-10-02,LB_20231002_093150_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,2,-1,UNAVAILABLE
2023-10-05,LB_20231005_093554_BUY_0001,C_MIXED_PATH,discovery,0,0,1,1,-1,UNAVAILABLE
2023-10-16,LB_20231016_093102_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,-1,UNAVAILABLE
2023-10-27,LB_20231027_093329_BUY_0001,C_MIXED_PATH,discovery,0,1,1,0,-1,UNAVAILABLE
2023-11-02,LB_20231102_093203_SELL_0001,A_TRUE_ABSORPTION,discovery,0,1,0,2,-1,UNAVAILABLE
2024-03-18,LB_20240318_093121_BUY_0001,C_MIXED_PATH,discovery,0,1,1,0,-1,UNAVAILABLE
2024-04-02,LB_20240402_093358_SELL_0002,C_MIXED_PATH,discovery,0,1,1,0,0,UNAVAILABLE
2024-04-03,LB_20240403_093241_BUY_0001,C_MIXED_PATH,discovery,0,1,1,0,1,UNAVAILABLE
2024-04-04,LB_20240404_093500_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,0,1,1,-1,UNAVAILABLE
2024-04-05,LB_20240405_093248_SELL_0001,C_MIXED_PATH,discovery,0,1,1,0,-1,UNAVAILABLE
2024-04-09,LB_20240409_093342_SELL_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,0,UNAVAILABLE
2024-04-11,LB_20240411_093157_SELL_0001,C_MIXED_PATH,discovery,0,1,1,0,0,UNAVAILABLE
2024-04-17,LB_20240417_093502_SELL_0001,C_MIXED_PATH,discovery,0,0,1,2,-1,UNAVAILABLE
2024-04-18,LB_20240418_093109_SELL_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,1,-1,UNAVAILABLE
2024-04-23,LB_20240423_093145_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,1,UNAVAILABLE
2024-04-26,LB_20240426_093151_SELL_0001,C_MIXED_PATH,discovery,0,1,1,0,-1,UNAVAILABLE
2024-05-02,LB_20240502_093112_SELL_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,2,UNAVAILABLE
2024-05-03,LB_20240503_093157_SELL_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,0,UNAVAILABLE
2024-05-06,LB_20240506_093100_SELL_0001,C_MIXED_PATH,discovery,0,1,1,0,0,UNAVAILABLE
2024-05-10,LB_20240510_093420_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,0,1,1,-1,UNAVAILABLE
2024-05-20,LB_20240520_093220_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,-1,UNAVAILABLE
2024-05-28,LB_20240528_093142_BUY_0001,C_MIXED_PATH,discovery,0,1,1,2,-1,UNAVAILABLE
2024-06-05,LB_20240605_093547_SELL_0002,C_MIXED_PATH,discovery,0,0,1,1,-1,UNAVAILABLE
2024-06-06,LB_20240606_093413_BUY_0001,C_MIXED_PATH,discovery,0,1,1,0,1,UNAVAILABLE
2024-06-11,LB_20240611_093350_BUY_0001,A_TRUE_ABSORPTION,discovery,0,1,1,1,-1,UNAVAILABLE
2024-06-13,LB_20240613_093209_BUY_0001,C_MIXED_PATH,discovery,0,1,1,0,-1,UNAVAILABLE
2024-06-14,LB_20240614_093644_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,0,1,1,-1,UNAVAILABLE
