BurstId,fecha,burst_side,hard_fail,S,Q,evaluable,Q_K,Q_B,Q_F,S_K,S_B,S_F,r_K1,u_K1,q_K1,r_K2,u_K2,q_K2,r_K3,u_K3,q_K3,r_K4,u_K4,q_K4,r_K5,u_K5,q_K5,r_K6,u_K6,q_K6,r_B1,u_B1,q_B1,r_B2,u_B2,q_B2,r_B3,u_B3,q_B3,r_B4,u_B4,q_B4,r_B5,u_B5,q_B5,r_F1,u_F1,q_F1,r_F2,u_F2,q_F2
LB_20220405_093200_BUY_0001,2022-04-05,BUY,,-0.4097602181482462,0.9993333333333334,True,1.0,0.998,1.0,-0.8813277282299022,-0.1628527408666959,-0.18510018534814032,-1.0,-1.0,1.0,-8.0,-0.4386744754517405,1.0,-13.919999999999998,-0.8492918939276726,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.3333333333333333,0.2022987192477524,1.0,-1.0518766666666668,-0.251588096973758,1.0,-2.0454545454545454,-0.6511385348177952,1.0,-0.0,-0.0,1.0,-0.01728951376175964,-0.11383579178967869,0.99,-0.09582309582309582,-0.09582309582309582,1.0,-7.019666666666668,-0.2743772748731848,1.0
LB_20220406_093100_BUY_0001,2022-04-06,BUY,,-0.3848093900227079,1.0,True,1.0,1.0,1.0,-0.990348073604817,-0.03331369326687541,-0.13076640319643118,-1.0,-1.0,1.0,-33.0,-0.9596271882125111,1.0,-26.248,-0.9824612534163908,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.3333333333333333,0.2022987192477524,1.0,-1.2276833333333332,-0.29138533807691924,1.0,-1.5294117647058822,-0.5235199871750367,1.0,-0.058823529411764705,-0.058823529411764705,1.0,0.08405109525672648,0.5048616690815911,1.0,-0.09345794392523364,-0.09345794392523364,1.0,-4.230000000000002,-0.1680748624676287,1.0
LB_20220426_093143_SELL_0001,2022-04-26,SELL,,-0.021281205769085876,0.9778666666666668,True,1.0,0.9336,1.0,-0.24343866394712535,-0.3193571228290712,0.49895216946893894,-0.46000000000000013,-0.46000000000000013,1.0,-13.0,-0.6438404641352936,1.0,-6.567,-0.530909314033674,1.0,0.7147368421052632,0.7147368421052632,1.0,-0.49300000000000005,-0.49300000000000005,1.0,-0.047619047619047616,-0.047619047619047616,1.0,7.0,0.79205527771202,1.0,-3.2455799999999995,-0.6602793536185079,1.0,-13.0,-0.9998976286844731,1.0,-0.0,-0.0,1.0,-0.14001312975129593,-0.7286639095543952,0.668,0.12234042553191489,0.12234042553191489,1.0,33.81400000000001,0.875563913405963,1.0
LB_20220427_093500_BUY_0001,2022-04-27,BUY,,-0.45416313108615647,1.0,True,1.0,1.0,1.0,-0.9998379927345754,-0.1177274738046282,-0.24492392671926583,-1.0,-1.0,1.0,-66.0,-0.9991514512886677,1.0,-53.812,-0.9998765051187845,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,-0.0,-0.0,1.0,-0.42857142857142855,-0.16143246523879856,1.0,-0.2857142857142857,-0.2857142857142857,1.0,-0.021541136480238036,-0.14149061807005678,1.0,-0.17117117117117117,-0.17117117117117117,1.0,-8.230750000000004,-0.3186766822673605,1.0
LB_20220504_093301_SELL_0001,2022-05-04,SELL,,-0.1948937786665773,0.9821333333333334,True,1.0,0.9464,1.0,-0.32176106807194893,-0.09202090477070367,-0.17089936315707932,-0.4640000000000001,-0.4640000000000001,1.0,-17.0,-0.7615941559557649,1.0,-8.407,-0.6393757612478586,1.0,0.9947368421052631,0.9947368421052631,1.0,-0.7270000000000001,-0.7270000000000001,1.0,-0.3333333333333333,-0.3333333333333333,1.0,1.6666666666666667,0.2509348708138301,1.0,-0.928813333333335,-0.22320577637502717,1.0,-1.1875,-0.4229259646604025,1.0,-0.0,-0.0,1.0,-0.009829338732681136,-0.06490765363191879,0.732,-0.1452991452991453,-0.1452991452991453,1.0,-4.963000000000003,-0.19649958101501333,1.0
LB_20220509_093112_BUY_0001,2022-05-09,BUY,,0.1406498172097698,0.9539333333333334,True,1.0,0.8618,1.0,0.26107764502304426,0.0592000443758644,0.10167176223040075,0.29399999999999993,0.29399999999999993,1.0,6.0,0.3389813455441767,1.0,1.3280000000000005,0.11902997913954332,1.0,0.5800000000000001,0.5800000000000001,1.0,0.18900000000000006,0.18900000000000006,1.0,0.045454545454545456,0.045454545454545456,1.0,3.0,0.4313372698755846,1.0,-0.49558,-0.1205443236645477,1.0,-1.7692307692307692,-0.5864958303539668,1.0,-0.0,-0.0,1.0,0.09830228850688394,0.5717031060222519,0.30900000000000005,0.012345679012345678,0.012345679012345678,1.0,4.820499999999999,0.19099784544845583,1.0
LB_20220518_093457_BUY_0001,2022-05-18,BUY,,-0.5571581512011001,0.9925333333333333,True,1.0,0.9776,1.0,-0.7682777399752575,-0.3314463852730592,-0.5717503283549836,-0.9120000000000001,-0.9120000000000001,1.0,-28.0,-0.9284529184141345,1.0,-19.425,-0.9413044305283195,1.0,-1.0,-1.0,1.0,-0.7370000000000001,-0.7370000000000001,1.0,-0.09090909090909091,-0.09090909090909091,1.0,1.0,0.15264375981490486,1.0,-0.88155,-0.21220098731926018,1.0,-3.272727272727273,-0.8464895209794885,1.0,-0.0,-0.0,1.0,-0.1475435207900322,-0.751185177881452,0.8880000000000001,-0.1527777777777778,-0.1527777777777778,1.0,-66.917,-0.9907228789321895,1.0
LB_20220520_093501_SELL_0001,2022-05-20,SELL,,0.389810362217829,0.9418000000000001,True,1.0,0.8253999999999999,1.0,0.6401546081170282,-0.1114608409098364,0.6407373194462951,0.6579999999999999,0.6579999999999999,1.0,27.0,0.9198783184115151,1.0,10.967000000000002,0.7563651197643384,1.0,0.8136842105263158,0.8136842105263158,1.0,0.643,0.643,1.0,0.05,0.05,1.0,1.0,0.15264375981490486,1.0,-0.36031999999999975,-0.08784507676458352,1.0,0.0625,0.023745535512505616,1.0,-0.0,-0.0,1.0,-0.11616078499939386,-0.645848423112009,0.12700000000000003,0.28296703296703296,0.28296703296703296,1.0,89.74000000000002,0.9985076059255572,1.0
LB_20220523_093420_SELL_0001,2022-05-23,SELL,,-0.4670513013565287,0.9933333333333333,True,1.0,0.9800000000000001,1.0,-0.7420771340887281,-0.09653781322305507,-0.5625389567578031,-0.8480000000000001,-0.8480000000000001,1.0,-19.0,-0.8067489307034262,1.0,-13.108,-0.8276027627178308,1.0,-1.0,-1.0,1.0,-0.859,-0.859,1.0,-0.1111111111111111,-0.1111111111111111,1.0,3.0,0.4313372698755846,1.0,-0.0,-0.0,1.0,-3.6363636363636362,-0.88135775263583,1.0,-0.0,-0.0,1.0,-0.00494199444114034,-0.03266858335502993,0.9,-0.145,-0.145,1.0,-57.324,-0.9800779135156061,1.0
LB_20220527_093100_BUY_0001,2022-05-27,BUY,,-0.3456268156357458,0.9940000000000001,True,1.0,0.982,1.0,-0.6680650257684473,-0.28993655062470125,-0.07887887051408891,-0.8759999999999998,-0.8759999999999998,1.0,-21.0,-0.8441081041207334,1.0,-9.682000000000002,-0.7023589735668736,1.0,-1.0,-1.0,1.0,-0.5090000000000001,-0.5090000000000001,1.0,-0.07692307692307693,-0.07692307692307693,1.0,3.0,0.4313372698755846,1.0,-1.9425949999999996,-0.4420883519906374,1.0,-1.5897435897435896,-0.5399624261956708,1.0,-0.0,-0.0,1.0,-0.22181679772868268,-0.8989692448127828,0.9099999999999999,-0.06818181818181818,-0.06818181818181818,1.0,-2.2390000000000008,-0.08957592284635965,1.0
