BurstId,fecha,burst_side,hard_fail,S,Q,evaluable,Q_K,Q_B,Q_F,S_K,S_B,S_F,r_K1,u_K1,q_K1,r_K2,u_K2,q_K2,r_K3,u_K3,q_K3,r_K4,u_K4,q_K4,r_K5,u_K5,q_K5,r_K6,u_K6,q_K6,r_B1,u_B1,q_B1,r_B2,u_B2,q_B2,r_B3,u_B3,q_B3,r_B4,u_B4,q_B4,r_B5,u_B5,q_B5,r_F1,u_F1,q_F1,r_F2,u_F2,q_F2
LB_20220405_093200_BUY_0001,2022-04-05,BUY,,-0.36256663127001687,0.9992252266666667,True,1.0,0.9976756800000001,1.0,-0.7425328134894041,-0.1597522251491692,-0.18541485517147735,-0.9997716000000001,-0.9997716000000001,1.0,-8.0,-0.4386744754517405,1.0,-13.929030799999998,-0.8495184054846844,1.0,-1.0,-1.0,1.0,-0.9672324,-0.9672324,1.0,-0.2,-0.2,1.0,1.3333333333333333,0.2022987192477524,1.0,-1.0518766666666668,-0.251588096973758,1.0,-2.0454545454545454,-0.6511385348177952,1.0,-0.0,-0.0,1.0,-0.014918436280459777,-0.09833321320204522,0.9883784,-0.09582309582309582,-0.09582309582309582,1.0,-7.036635599999999,-0.27500661451985886,1.0
LB_20220406_093100_BUY_0001,2022-04-06,BUY,,-0.3847212845236509,1.0,True,1.0,1.0,1.0,-0.9895336277261485,-0.033601718421976456,-0.13102850742282762,-1.0,-1.0,1.0,-32.0,-0.9547009256211574,1.0,-26.260656599999997,-0.9825008407357335,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.3333333333333333,0.2022987192477524,1.0,-1.2276833333333332,-0.29138533807691924,1.0,-1.5294117647058822,-0.5235199871750367,1.0,-0.058823529411764705,-0.058823529411764705,1.0,0.08375910278916184,0.5034215433060859,1.0,-0.09345794392523364,-0.09345794392523364,1.0,-4.243448866666666,-0.1685990709204216,1.0
LB_20220426_093143_SELL_0001,2022-04-26,SELL,,-0.020042183048954183,0.9779239866666667,True,1.0,0.93377196,1.0,-0.23918275262314484,-0.3203905698662942,0.4994467733425765,-0.4555135999999999,-0.4555135999999999,1.0,-13.0,-0.6438404641352936,1.0,-6.5566238,-0.5302379129642946,1.0,0.7131141052631579,0.7131141052631579,1.0,-0.4942284,-0.4942284,1.0,-0.024390243902439025,-0.024390243902439025,1.0,7.0,0.79205527771202,1.0,-3.2455799999999995,-0.6602793536185079,1.0,-13.0,-0.9998976286844731,1.0,-0.0,-0.0,1.0,-0.14169261270120856,-0.7338311447405104,0.6688598000000001,0.12234042553191489,0.12234042553191489,1.0,33.9200532,0.876553121153238,1.0
LB_20220427_093500_BUY_0001,2022-04-27,BUY,,-0.45451151178132226,1.0,True,1.0,1.0,1.0,-0.9998383631479023,-0.11828191723391863,-0.2454142549621458,-1.0,-1.0,1.0,-66.0,-0.9991514512886677,1.0,-53.9128326,-0.9998787275987461,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,-0.0,-0.0,1.0,-0.42857142857142855,-0.16143246523879856,1.0,-0.2857142857142857,-0.2857142857142857,1.0,-0.0219690955719848,-0.14426283521650893,1.0,-0.17117117117117117,-0.17117117117117117,1.0,-8.2579691,-0.31965733875312047,1.0
LB_20220504_093301_SELL_0001,2022-05-04,SELL,,-0.1952896786557853,0.9820714,True,1.0,0.9462142,1.0,-0.3212866882940238,-0.09333894957860214,-0.17124339809472994,-0.4620491999999999,-0.4620491999999999,1.0,-17.0,-0.7615941559557649,1.0,-8.410162600000001,-0.6395441141592553,1.0,0.9965054736842105,0.9965054736842105,1.0,-0.7277047999999999,-0.7277047999999999,1.0,-0.3333333333333333,-0.3333333333333333,1.0,1.6666666666666667,0.2509348708138301,1.0,-0.928813333333335,-0.22320577637502717,1.0,-1.1875,-0.4229259646604025,1.0,-0.0,-0.0,1.0,-0.010830592246594977,-0.07149787767141111,0.731071,-0.1452991452991453,-0.1452991452991453,1.0,-4.980844,-0.1971876508903146,1.0
LB_20220509_093112_BUY_0001,2022-05-09,BUY,,0.14099135543640381,0.9536324,True,1.0,0.8608971999999999,1.0,0.26104207838990334,0.0601700188442598,0.10176196907504825,0.29312160000000026,0.29312160000000026,1.0,6.0,0.3389813455441767,1.0,1.3399368000000014,0.12008961602331313,1.0,0.5819648421052632,0.5819648421052632,1.0,0.19042840000000005,0.19042840000000005,1.0,0.041666666666666664,0.041666666666666664,1.0,3.0,0.4313372698755846,1.0,-0.49558,-0.1205443236645477,1.0,-1.7692307692307692,-0.5864958303539668,1.0,-0.0,-0.0,1.0,0.09939632637717838,0.5765529783642289,0.30448599999999976,0.012345679012345678,0.012345679012345678,1.0,4.8251679,0.19117825913775083,1.0
LB_20220518_093457_BUY_0001,2022-05-18,BUY,,-0.5555150005685937,0.9922895733333333,True,1.0,0.97686872,1.0,-0.7631331452865492,-0.3316204875749945,-0.5717913688442373,-0.9113948000000001,-0.9113948000000001,1.0,-28.0,-0.9284529184141345,1.0,-19.4547182,-0.9416086238933954,1.0,-1.0,-1.0,1.0,-0.7385189999999999,-0.7385189999999999,1.0,-0.058823529411764705,-0.058823529411764705,1.0,1.0,0.15264375981490486,1.0,-0.88155,-0.21220098731926018,1.0,-3.272727272727273,-0.8464895209794885,1.0,-0.0,-0.0,1.0,-0.14784609814451746,-0.7520556893911288,0.8843435999999999,-0.1527777777777778,-0.1527777777777778,1.0,-67.02828459999999,-0.9908049599106968,1.0
LB_20220520_093501_SELL_0001,2022-05-20,SELL,,0.3844706486813892,0.94166032,True,1.0,0.8249809600000001,1.0,0.6395903635584843,-0.1269342544345174,0.6407558369202007,0.6634195999999999,0.6634195999999999,1.0,27.0,0.9198783184115151,1.0,11.016881999999997,0.7582808930145789,1.0,0.8157456842105263,0.8157456842105263,1.0,0.6445034,0.6445034,1.0,0.03571428571428571,0.03571428571428571,1.0,1.0,0.15264375981490486,1.0,-0.36031999999999975,-0.08784507676458352,1.0,0.0625,0.023745535512505616,1.0,-0.0,-0.0,1.0,-0.13827120852353492,-0.7232154907354138,0.12490480000000012,0.28296703296703296,0.28296703296703296,1.0,90.05344459999999,0.9985446408733685,1.0
LB_20220523_093420_SELL_0001,2022-05-23,SELL,,-0.4672284851219041,0.9935039466666667,True,1.0,0.9805118399999999,1.0,-0.7394912400142655,-0.09960250488885243,-0.5625917104625944,-0.8507048000000001,-0.8507048000000001,1.0,-19.0,-0.8067489307034262,1.0,-13.1354414,-0.8283798184730757,1.0,-1.0,-1.0,1.0,-0.8602048,-0.8602048,1.0,-0.09090909090909091,-0.09090909090909091,1.0,3.0,0.4313372698755846,1.0,-0.0,-0.0,1.0,-3.6363636363636362,-0.88135775263583,1.0,-0.0,-0.0,1.0,-0.007263072305308432,-0.04799204168401667,0.9025592,-0.145,-0.145,1.0,-57.3908504,-0.9801834209251887,1.0
LB_20220527_093100_BUY_0001,2022-05-27,BUY,,-0.3430394449912047,0.9939969999999999,True,1.0,0.9819910000000001,1.0,-0.6600010120378587,-0.2901531844836914,-0.07896413845206404,-0.8771016000000003,-0.8771016000000003,1.0,-21.0,-0.8441081041207334,1.0,-9.686401,-0.702559742465393,1.0,-1.0,-1.0,1.0,-0.5105956,-0.5105956,1.0,-0.02564102564102564,-0.02564102564102564,1.0,3.0,0.4313372698755846,1.0,-1.9425949999999996,-0.4420883519906374,1.0,-1.5897435897435896,-0.5399624261956708,1.0,-0.0,-0.0,1.0,-0.22267493483204,-0.9000524141077332,0.9099550000000001,-0.06818181818181818,-0.06818181818181818,1.0,-2.2432856666666665,-0.0897464587223099,1.0
