sample_session,BurstId,burst_timestamp_exchange,burst_price,sample_window_start,sample_window_end,timestamp_exchange,timestamp_receive,sequence,raw_ordinal,order_id,event_type,event_subtype,side,price,price_before,qty_before,qty_change,qty_after,trade_qty,event_size,queue_ahead_estimate,queue_estimate_kind,state_known_before,cycle_origin_add_observed,price_changed_inferred,size_changed_inferred,fill_cancel_pair_explicitly_reconciled,fill_cancel_relation,fill_book_effect_reconciled,fill_book_effect_event,reconciliation_status
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.319098713+00:00,2022-04-05 13:32:00.322053481+00:00,69884885,9030,OID_2fbdf68f1a9a,C,PURE_CANCEL_INFERRED,A,15135.0,,,0.0,,0.0,2.0,,UNAVAILABLE_INITIAL_QUEUE_MISSING,0,0,,,0,C_WITHOUT_FILL_SAME_KEY,0,,LEFT_CENSORED_CANCEL_NO_PRIOR_STATE
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.319680679+00:00,2022-04-05 13:32:00.322650256+00:00,69884891,9051,OID_501e545c0eb2,M,MODIFY_SIZE_INCREASE,A,15134.0,15134.0,1.0,1.0,2.0,0.0,2.0,0.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,0.0,1.0,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.352761293+00:00,2022-04-05 13:32:00.352859673+00:00,69885435,9246,OID_13f1a3b02de0,A,ADD_NEW_ORDER,A,15135.0,,0.0,1.0,1.0,0.0,1.0,3.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.371054321+00:00,2022-04-05 13:32:00.371176707+00:00,69885661,9350,OID_5aeb25945de4,C,PURE_CANCEL_INFERRED,A,15134.0,,,0.0,,0.0,1.0,,UNAVAILABLE_INITIAL_QUEUE_MISSING,0,0,,,0,C_WITHOUT_FILL_SAME_KEY,0,,LEFT_CENSORED_CANCEL_NO_PRIOR_STATE
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.406447571+00:00,2022-04-05 13:32:00.406987128+00:00,69886080,9465,OID_501e545c0eb2,M,MODIFY_SIZE,A,15134.0,15134.0,2.0,-1.0,1.0,0.0,1.0,0.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,0.0,1.0,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.406507489+00:00,2022-04-05 13:32:00.406987128+00:00,69886080,9471,OID_8b2d04b104db,A,ADD_NEW_ORDER,A,15134.75,,0.0,1.0,1.0,0.0,1.0,2.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.418354215+00:00,2022-04-05 13:32:00.419153071+00:00,69886297,9562,OID_67b00b14e8ca,C,PURE_CANCEL_INFERRED,A,15134.0,,,0.0,,0.0,1.0,,UNAVAILABLE_INITIAL_QUEUE_MISSING,0,0,,,0,C_WITHOUT_FILL_SAME_KEY,0,,LEFT_CENSORED_CANCEL_NO_PRIOR_STATE
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.418355353+00:00,2022-04-05 13:32:00.419161363+00:00,69886298,9563,OID_3ca30f3fbfc9,C,PURE_CANCEL_INFERRED,A,15134.5,,,0.0,,0.0,1.0,,UNAVAILABLE_INITIAL_QUEUE_MISSING,0,0,,,0,C_WITHOUT_FILL_SAME_KEY,0,,LEFT_CENSORED_CANCEL_NO_PRIOR_STATE
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.418451897+00:00,2022-04-05 13:32:00.419366263+00:00,69886317,9566,OID_b255f45a3f80,A,ADD_NEW_ORDER,A,15134.25,,0.0,1.0,1.0,0.0,1.0,3.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.418454303+00:00,2022-04-05 13:32:00.419386543+00:00,69886319,9567,OID_3d6c6342b677,C,PURE_CANCEL_INFERRED,A,15134.5,,,0.0,,0.0,1.0,,UNAVAILABLE_INITIAL_QUEUE_MISSING,0,0,,,0,C_WITHOUT_FILL_SAME_KEY,0,,LEFT_CENSORED_CANCEL_NO_PRIOR_STATE
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.418454879+00:00,2022-04-05 13:32:00.419394859+00:00,69886320,9568,OID_ec279c3a013b,C,PURE_CANCEL_INFERRED,A,15134.5,,,0.0,,0.0,1.0,,UNAVAILABLE_INITIAL_QUEUE_MISSING,0,0,,,0,C_WITHOUT_FILL_SAME_KEY,0,,LEFT_CENSORED_CANCEL_NO_PRIOR_STATE
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.418536887+00:00,2022-04-05 13:32:00.419485447+00:00,69886329,9573,OID_cdd69b7733e5,A,ADD_NEW_ORDER,A,15134.5,,0.0,1.0,1.0,0.0,1.0,2.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.418971905+00:00,2022-04-05 13:32:00.419854818+00:00,69886337,9579,OID_55b24a2985e4,C,PURE_CANCEL_INFERRED,A,15134.25,15134.25,1.0,-1.0,0.0,0.0,1.0,0.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,C_WITHOUT_FILL_SAME_KEY,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.419216559+00:00,2022-04-05 13:32:00.419977278+00:00,69886342,9594,OID_41c014e39b94,A,ADD_NEW_ORDER,A,15134.5,,0.0,1.0,1.0,0.0,1.0,3.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.419899187+00:00,2022-04-05 13:32:00.420229929+00:00,69886367,9600,OID_1d63399f055d,C,PURE_CANCEL_INFERRED,A,15135.0,,,0.0,,0.0,1.0,,UNAVAILABLE_INITIAL_QUEUE_MISSING,0,0,,,0,C_WITHOUT_FILL_SAME_KEY,0,,LEFT_CENSORED_CANCEL_NO_PRIOR_STATE
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.423704127+00:00,2022-04-05 13:32:00.423982948+00:00,69886460,9639,OID_19c9320ef40e,A,ADD_NEW_ORDER,A,15134.25,,0.0,1.0,1.0,0.0,1.0,3.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.471666269+00:00,2022-04-05 13:32:00.471762472+00:00,69887050,9810,OID_19c9320ef40e,C,PURE_CANCEL_INFERRED,A,15134.25,15134.25,1.0,-1.0,0.0,0.0,1.0,3.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,C_WITHOUT_FILL_SAME_KEY,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.471802015+00:00,2022-04-05 13:32:00.471891424+00:00,69887059,9813,OID_9659f3773dba,A,ADD_NEW_ORDER,A,15134.25,,0.0,1.0,1.0,0.0,1.0,3.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.472488363+00:00,2022-04-05 13:32:00.472639503+00:00,69887076,9827,OID_b0180359b956,A,ADD_NEW_ORDER,A,15134.25,,0.0,1.0,1.0,0.0,1.0,4.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.487431665+00:00,2022-04-05 13:32:00.487529562+00:00,69887219,9849,OID_96aac88a4df9,A,ADD_NEW_ORDER,A,15134.0,,0.0,1.0,1.0,0.0,1.0,1.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
