request_id,fecha,BurstId,split,family_label_only,dataset,schema,symbols,stype_in,stype_out,start_utc,end_utc_exclusive,causal_cutoff_utc_inclusive,requested_seconds,post_download_filter,predictor_policy
NQ_MBO_2023-08-08_LB_20230808_093726_SELL_0001,2023-08-08,LB_20230808_093726_SELL_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-08-08T13:37:17.058667Z,2023-08-08T13:37:27.059667Z,2023-08-08T13:37:27.058667Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-08-24_LB_20230824_093139_SELL_0001,2023-08-24,LB_20230824_093139_SELL_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-08-24T13:31:30.065524Z,2023-08-24T13:31:40.066524Z,2023-08-24T13:31:40.065524Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-08-25_LB_20230825_093257_BUY_0001,2023-08-25,LB_20230825_093257_BUY_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-08-25T13:32:48.084006Z,2023-08-25T13:32:58.085006Z,2023-08-25T13:32:58.084006Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-08-29_LB_20230829_093105_SELL_0001,2023-08-29,LB_20230829_093105_SELL_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-08-29T13:30:56.065128Z,2023-08-29T13:31:06.066128Z,2023-08-29T13:31:06.065128Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-08-31_LB_20230831_093357_BUY_0001,2023-08-31,LB_20230831_093357_BUY_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-08-31T13:33:48.049564Z,2023-08-31T13:33:58.050564Z,2023-08-31T13:33:58.049564Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-09-05_LB_20230905_093500_SELL_0002,2023-09-05,LB_20230905_093500_SELL_0002,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-09-05T13:34:51.010477Z,2023-09-05T13:35:01.011477Z,2023-09-05T13:35:01.010477Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-09-07_LB_20230907_093117_SELL_0001,2023-09-07,LB_20230907_093117_SELL_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-09-07T13:31:08.033798Z,2023-09-07T13:31:18.034798Z,2023-09-07T13:31:18.033798Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-09-14_LB_20230914_093127_SELL_0001,2023-09-14,LB_20230914_093127_SELL_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-09-14T13:31:18.062159Z,2023-09-14T13:31:28.063159Z,2023-09-14T13:31:28.062159Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-09-15_LB_20230915_093253_SELL_0001,2023-09-15,LB_20230915_093253_SELL_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-09-15T13:32:44.037055Z,2023-09-15T13:32:54.038055Z,2023-09-15T13:32:54.037055Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-09-19_LB_20230919_093101_SELL_0001,2023-09-19,LB_20230919_093101_SELL_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-09-19T13:30:52.011884Z,2023-09-19T13:31:02.012884Z,2023-09-19T13:31:02.011884Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-09-22_LB_20230922_093553_SELL_0001,2023-09-22,LB_20230922_093553_SELL_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-09-22T13:35:44.074897Z,2023-09-22T13:35:54.075897Z,2023-09-22T13:35:54.074897Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-09-26_LB_20230926_093118_SELL_0002,2023-09-26,LB_20230926_093118_SELL_0002,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-09-26T13:31:09.035798Z,2023-09-26T13:31:19.036798Z,2023-09-26T13:31:19.035798Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-09-27_LB_20230927_093102_BUY_0001,2023-09-27,LB_20230927_093102_BUY_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-09-27T13:30:53.091962Z,2023-09-27T13:31:03.092962Z,2023-09-27T13:31:03.091962Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-10-02_LB_20231002_093150_BUY_0001,2023-10-02,LB_20231002_093150_BUY_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-10-02T13:31:41.110444Z,2023-10-02T13:31:51.111444Z,2023-10-02T13:31:51.110444Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
