request_id,fecha,BurstId,year,burst_side,family_label_only,resolved_raw_symbol,resolved_instrument_id,metadata_stype_out,observed_instrument_ids,file_records,usable_records_through_last_f_last,tail_records_excluded_after_last_f_last,snapshot_rows,snapshot_clear_rows,snapshot_add_rows,snapshot_last_rows,bad_book_rows,sequence_regressions,unique_identity_order_ids,first_action_add_count,left_censored_order_pct,modify_rows,modify_reconciled_rows,cancel_rows,cancel_reconciled_rows,cancel_exceeds_state_rows,fill_groups,fill_reconciled_groups,identity_reconciliation_pct,attacked_l0_price_mbo,attacked_l0_depth_mbo,attacked_l0_l2_depth_mbo,attacked_l0_l2_order_count,atas_burst_price_informational,atas_vs_mbo_l0_abs_ticks_informational,footprint_atas_comparison_used_as_gate,snapshot_pass,contract_pass,bad_book_pass,sequence_pass,reconciliation_pass,left_censor_pass,attacked_levels_pass,cutoff_pass,technical_gate_pass,file_path,file_bytes
NQ_MBO_SNAPSHOT_2022-06-08_LB_20220608_093102_SELL_0001,2022-06-08,LB_20220608_093102_SELL_0001,2022,SELL,B_CLEAN_BREAKOUT,NQM2,2895,instrument_id,2895,2211538,2211538,0,2657,1,2656,1,0,0,850897,850897,0.0,335278,335278,846896,846896,0,99906,99906,100.0,12654.75,4.0,13.0,13,12648.75,24.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-06-08_LB_20220608_093102_SELL_0001.mbo.dbn.zst,44529833
NQ_MBO_SNAPSHOT_2022-06-13_LB_20220613_093107_SELL_0001,2022-06-13,LB_20220613_093107_SELL_0001,2022,SELL,A_TRUE_ABSORPTION,NQM2,2895,instrument_id,2895,3728073,3728073,0,2086,1,2085,1,0,0,1131688,1131688,0.0,1296959,1296959,1129186,1129186,0,94750,94750,100.0,11507.5,1.0,5.0,5,11537.5,120.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-06-13_LB_20220613_093107_SELL_0001.mbo.dbn.zst,77011466
NQ_MBO_SNAPSHOT_2022-06-27_LB_20220627_093202_SELL_0001,2022-06-27,LB_20220627_093202_SELL_0001,2022,SELL,B_CLEAN_BREAKOUT,NQU2,10391,instrument_id,10391,2557921,2557921,0,2703,1,2702,1,0,0,922285,922284,0.00010842635410962989,505285,505285,918194,918194,0,117774,117773,99.99993511772564,12172.0,2.0,17.0,13,12166.25,23.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-06-27_LB_20220627_093202_SELL_0001.mbo.dbn.zst,51836636
NQ_MBO_SNAPSHOT_2022-07-18_LB_20220718_093105_SELL_0001,2022-07-18,LB_20220718_093105_SELL_0001,2022,SELL,C_MIXED_PATH,NQU2,10391,instrument_id,10391,1679251,1679251,0,2750,1,2749,1,0,0,632150,632150,0.0,261930,261930,628119,628119,0,87716,87716,100.0,12103.75,2.0,8.0,8,12096.25,30.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-07-18_LB_20220718_093105_SELL_0001.mbo.dbn.zst,33583726
NQ_MBO_SNAPSHOT_2022-07-19_LB_20220719_093600_SELL_0001,2022-07-19,LB_20220719_093600_SELL_0001,2022,SELL,C_MIXED_PATH,NQU2,10391,instrument_id,10391,2216293,2216293,0,2762,1,2761,1,0,0,809219,809219,0.0,409432,409432,805088,805088,0,108832,108832,100.0,12038.75,3.0,10.0,10,12028.75,40.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-07-19_LB_20220719_093600_SELL_0001.mbo.dbn.zst,44289172
NQ_MBO_SNAPSHOT_2022-07-20_LB_20220720_093414_BUY_0001,2022-07-20,LB_20220720_093414_BUY_0001,2022,BUY,B_CLEAN_BREAKOUT,NQU2,10391,instrument_id,10391,2347367,2347367,0,2718,1,2717,1,0,0,885508,885508,0.0,374766,374766,881104,881104,0,114842,114842,100.0,12298.5,3.0,15.0,15,12301.25,11.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-07-20_LB_20220720_093414_BUY_0001.mbo.dbn.zst,46824434
NQ_MBO_SNAPSHOT_2022-07-26_LB_20220726_093111_SELL_0001,2022-07-26,LB_20220726_093111_SELL_0001,2022,SELL,C_MIXED_PATH,NQU2,10391,instrument_id,10391,1565183,1565183,0,2757,1,2756,1,0,0,590270,590269,0.00016941399698443084,249308,249308,586302,586302,0,78108,78107,99.99989055704276,12267.0,1.0,7.0,5,12257.5,38.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-07-26_LB_20220726_093111_SELL_0001.mbo.dbn.zst,31237744
NQ_MBO_SNAPSHOT_2022-07-29_LB_20220729_093500_SELL_0001,2022-07-29,LB_20220729_093500_SELL_0001,2022,SELL,B_CLEAN_BREAKOUT,NQU2,10391,instrument_id,10391,2190820,2190820,0,2930,1,2929,1,0,0,821972,821972,0.0,342405,342405,817508,817508,0,117341,117341,100.0,12774.0,1.0,6.0,6,12767.5,26.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-07-29_LB_20220729_093500_SELL_0001.mbo.dbn.zst,43752522
NQ_MBO_SNAPSHOT_2022-08-01_LB_20220801_093127_SELL_0001,2022-08-01,LB_20220801_093127_SELL_0001,2022,SELL,C_MIXED_PATH,NQU2,10391,instrument_id,10391,1581183,1581183,0,2740,1,2739,1,0,0,592965,592963,0.00033728803555015894,256590,256590,588649,588649,0,80636,80634,99.99978398811935,12880.0,10.0,19.0,18,12876.25,15.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-08-01_LB_20220801_093127_SELL_0001.mbo.dbn.zst,31598569
NQ_MBO_SNAPSHOT_2022-08-04_LB_20220804_093511_BUY_0001,2022-08-04,LB_20220804_093511_BUY_0001,2022,BUY,A_TRUE_ABSORPTION,NQU2,10391,instrument_id,10391,1954227,1954227,0,2808,1,2807,1,0,0,736525,736524,0.00013577271647262481,298310,298310,732155,732155,0,105172,105171,99.99991194369328,13299.5,3.0,32.0,21,13305.0,22.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-08-04_LB_20220804_093511_BUY_0001.mbo.dbn.zst,39443223
