request_id,pilot_stage,fecha,BurstId,family_label_only,burst_side,start_utc,end_utc_exclusive,requested_hours,estimated_cost_usd
NQ_MBO_SNAPSHOT_2022-08-15_LB_20220815_093300_BUY_0001,DISCOVERY_100,2022-08-15,LB_20220815_093300_BUY_0001,B_CLEAN_BREAKOUT,BUY,2022-08-15T00:00:00.000000Z,2022-08-15T13:33:01.053000Z,13.5502925,0.152545192838
NQ_MBO_SNAPSHOT_2022-08-17_LB_20220817_093558_BUY_0001,DISCOVERY_100,2022-08-17,LB_20220817_093558_BUY_0001,A_TRUE_ABSORPTION,BUY,2022-08-17T00:00:00.000000Z,2022-08-17T13:35:59.026000Z,13.599729444444444,0.211742256582
NQ_MBO_SNAPSHOT_2022-08-31_LB_20220831_093400_SELL_0001,DISCOVERY_100,2022-08-31,LB_20220831_093400_SELL_0001,B_CLEAN_BREAKOUT,SELL,2022-08-31T00:00:00.000000Z,2022-08-31T13:34:01.039000Z,13.566955277777778,0.293461239338
NQ_MBO_SNAPSHOT_2022-09-01_LB_20220901_093124_SELL_0002,DISCOVERY_100,2022-09-01,LB_20220901_093124_SELL_0002,B_CLEAN_BREAKOUT,SELL,2022-09-01T00:00:00.000000Z,2022-09-01T13:31:25.053000Z,13.523625833333334,0.34443436861
NQ_MBO_SNAPSHOT_2022-09-06_LB_20220906_093405_BUY_0001,DISCOVERY_100,2022-09-06,LB_20220906_093405_BUY_0001,C_MIXED_PATH,BUY,2022-09-06T00:00:00.000000Z,2022-09-06T13:34:06.074000Z,13.56835388888889,0.270154693723
NQ_MBO_SNAPSHOT_2022-09-28_LB_20220928_093328_SELL_0001,DISCOVERY_100,2022-09-28,LB_20220928_093328_SELL_0001,B_CLEAN_BREAKOUT,SELL,2022-09-28T00:00:00.000000Z,2022-09-28T13:33:29.039000Z,13.558066388888887,0.593753555417
NQ_MBO_SNAPSHOT_2022-10-11_LB_20221011_093101_SELL_0001,DISCOVERY_100,2022-10-11,LB_20221011_093101_SELL_0001,C_MIXED_PATH,SELL,2022-10-11T00:00:00.000000Z,2022-10-11T13:31:02.078000Z,13.517243888888888,0.391674372554
NQ_MBO_SNAPSHOT_2022-10-18_LB_20221018_093155_SELL_0001,DISCOVERY_100,2022-10-18,LB_20221018_093155_SELL_0001,C_MIXED_PATH,SELL,2022-10-18T00:00:00.000000Z,2022-10-18T13:31:56.038000Z,13.53223277777778,0.325864027441
NQ_MBO_SNAPSHOT_2022-10-25_LB_20221025_093119_BUY_0001,DISCOVERY_100,2022-10-25,LB_20221025_093119_BUY_0001,B_CLEAN_BREAKOUT,BUY,2022-10-25T00:00:00.000000Z,2022-10-25T13:31:20.076000Z,13.522243333333334,0.293589100242
NQ_MBO_SNAPSHOT_2022-10-26_LB_20221026_093108_SELL_0002,DISCOVERY_100,2022-10-26,LB_20221026_093108_SELL_0002,A_TRUE_ABSORPTION,SELL,2022-10-26T00:00:00.000000Z,2022-10-26T13:31:09.077000Z,13.519188055555556,0.325447775424
