iteration,roc_auc
0,0.5660218671152228
1,0.6904962153069806
2,0.6610597140454163
3,0.8107653490328006
4,0.6947014297729184
5,0.6677880571909167
6,0.6417157275021026
7,0.6837678721614803
8,0.8259041211101766
9,0.6206896551724137
10,0.6433978132884777
11,0.6425567703952902
12,0.6669470142977292
13,0.672834314550042
14,0.7157275021026072
15,0.8040370058873003
16,0.802354920100925
17,0.6980656013456686
18,0.6349873843566022
19,0.8158116063919258
20,0.6375105130361649
21,0.6812447434819175
22,0.7232968881412952
23,0.6526492851135408
24,0.785534062237174
25,0.6854499579478553
26,0.817493692178301
27,0.6476030277544155
28,0.7224558452481076
29,0.7325483599663583
30,0.6257359125315392
31,0.7190916736753574
32,0.6829268292682926
33,0.776282590412111
34,0.6921783010933558
35,0.6568544995794785
36,0.592094196804037
37,0.6097560975609756
38,0.5634987384356602
39,0.6812447434819175
40,0.6854499579478553
41,0.7005887300252314
42,0.7207737594617326
43,0.6829268292682927
44,0.5887300252312868
45,0.6366694701429773
46,0.7132043734230445
47,0.6972245584524811
48,0.6627417998317915
49,0.7224558452481077
50,0.6896551724137931
51,0.687973086627418
52,0.7317073170731708
53,0.753574432296047
54,0.7476871320437343
55,0.6593776282590412
56,0.7661900756938603
57,0.599663582842725
58,0.7409587888982339
59,0.7132043734230445
60,0.6526492851135407
61,0.6745164003364171
62,0.6248948696383516
63,0.6728343145500421
64,0.7266610597140454
65,0.6661059714045416
66,0.6114381833473507
67,0.7661900756938604
68,0.6728343145500421
69,0.7064760302775441
70,0.6619007569386038
71,0.6518082422203533
72,0.6627417998317914
73,0.7409587888982339
74,0.616484440706476
75,0.6358284272497897
76,0.6602186711522288
77,0.6341463414634146
78,0.7157275021026072
79,0.6812447434819175
80,0.6585365853658537
81,0.6635828427249789
82,0.6030277544154752
83,0.6896551724137931
84,0.7342304457527334
85,0.7535744322960471
86,0.6299411269974768
87,0.7081581160639192
88,0.6551724137931034
89,0.7417998317914214
90,0.656013456686291
91,0.7207737594617325
92,0.6745164003364171
93,0.5727502102607234
94,0.727502102607233
95,0.761143818334735
96,0.7375946173254836
97,0.6871320437342304
98,0.7039529015979815
99,0.6232127838519764
