iteration,auc_CORE_BASELINE,auc_EXISTING_CAUSAL,delta_EXISTING_minus_CORE
0,0.4709840201850294,0.39529015979814974,-0.07569386038687964
1,0.5887300252312868,0.49032800672834315,-0.09840201850294367
2,0.5407905803195964,0.5130361648444071,-0.02775441547518931
3,0.45079899074852825,0.5231286795626577,0.07232968881412949
4,0.5365853658536586,0.48275862068965525,-0.05382674516400332
5,0.4550042052144659,0.41379310344827586,-0.04121110176619003
6,0.4709840201850294,0.4735071488645921,0.002523128679562725
7,0.5037846930193439,0.3885618166526493,-0.11522287636669465
8,0.5836837678721615,0.6105971404541631,0.02691337258200166
9,0.6375105130361649,0.5012615643397813,-0.1362489486963836
10,0.5870479394449117,0.47266610597140457,-0.11438183347350717
11,0.5121951219512195,0.4289318755256518,-0.0832632464255677
12,0.3868797308662742,0.4827586206896552,0.095878889823381
13,0.48107653490328006,0.46425567703952897,-0.016820857863751093
14,0.49957947855340623,0.6131202691337259,0.11354079058031963
15,0.5231286795626577,0.5306980656013457,0.007569386038687953
16,0.607232968881413,0.665264928511354,0.05803195962994101
17,0.5862068965517241,0.5088309503784694,-0.07737594617325472
18,0.5155592935239697,0.5761143818334735,0.060555088309503846
19,0.29772918418839367,0.36080740117746,0.06307821698906635
20,0.5138772077375946,0.46846089150546677,-0.04541631623212783
21,0.6324642556770395,0.5534062237174096,-0.0790580319596299
22,0.38940285954583687,0.3809924306139614,-0.008410428931875491
23,0.5988225399495374,0.5550883095037847,-0.04373423044575264
24,0.48780487804878053,0.4726661059714045,-0.015138772077376017
25,0.38856181665264933,0.3490328006728343,-0.03952901597981501
26,0.49957947855340623,0.4869638351555929,-0.012615643397813348
27,0.4011774600504626,0.4272497897392767,0.026072329688814067
28,0.49621530698065597,0.46846089150546677,-0.027754415475189198
29,0.7207737594617325,0.6206896551724137,-0.1000841042893188
30,0.5996635828427249,0.6568544995794785,0.05719091673675358
31,0.4482758620689655,0.4407064760302775,-0.0075693860386880085
32,0.4356602186711522,0.42136248948696386,-0.014297729184188313
33,0.42556770395290155,0.5306980656013457,0.10513036164844414
34,0.4625735912531539,0.5063078216989068,0.043734230445752864
35,0.35155592935239693,0.3229604709840202,-0.028595458368376736
36,0.6080740117746004,0.657695542472666,0.04962153069806563
37,0.4087468460891505,0.3465096719932716,-0.06223717409587892
38,0.44491169049621526,0.5046257359125316,0.05971404541631631
39,0.4894869638351556,0.695542472666106,0.20605550883095042
40,0.5239697224558452,0.5037846930193439,-0.020185029436501245
41,0.511354079058032,0.5609756097560975,0.04962153069806552
42,0.40622371740958785,0.42977291841883936,0.023549201009251508
43,0.5559293523969722,0.5012615643397813,-0.05466778805719086
44,0.4777123633305298,0.46257359125315395,-0.01513877207737585
45,0.505466778805719,0.368376787216148,-0.13708999158957097
46,0.6745164003364171,0.6602186711522288,-0.014297729184188368
47,0.5702270815811608,0.5214465937762826,-0.0487804878048782
48,0.5550883095037846,0.4482758620689655,-0.1068124474348191
49,0.46089150546677876,0.5517241379310345,0.09083263246425571
50,0.29268292682926833,0.4238856181665264,0.1312026913372581
51,0.5458368376787216,0.5399495374264087,-0.005887300252312877
52,0.3414634146341463,0.35744322960470987,0.015979814970563555
53,0.5500420521446594,0.5483599663582843,-0.001682085786375076
54,0.41463414634146345,0.4163162321278385,0.001682085786375076
55,0.4676198486122792,0.43397813288477705,-0.03364171572750213
56,0.6215306980656014,0.6215306980656014,0.0
57,0.6829268292682926,0.5609756097560976,-0.12195121951219501
58,0.4659377628259041,0.5416316232127838,0.0756938603868797
59,0.40454163162321277,0.6223717409587889,0.21783010933557612
60,0.4541631623212784,0.33978132884777124,-0.11438183347350717
61,0.46509671993271656,0.4482758620689656,-0.016820857863750982
62,0.537426408746846,0.5290159798149705,-0.008410428931875491
63,0.5197645079899075,0.4541631623212784,-0.06560134566862907
64,0.5079899074852817,0.368376787216148,-0.1396131202691337
65,0.3490328006728343,0.3725820016820858,0.023549201009251453
66,0.5121951219512195,0.41379310344827586,-0.09840201850294367
67,0.35912531539108494,0.42640874684608915,0.0672834314550042
68,0.5063078216989066,0.4735071488645921,-0.03280067283431454
69,0.4861227922624054,0.49621530698065597,0.010092514718250567
70,0.49453322119428095,0.47014297729184185,-0.0243902439024391
71,0.41883936080740114,0.5054667788057191,0.08662741799831797
72,0.6114381833473507,0.5121951219512195,-0.09924306139613115
73,0.6198486122792263,0.6408746846089151,0.021026072329688783
74,0.39360807401177456,0.5105130361648443,0.11690496215306978
75,0.5870479394449117,0.5651808242220353,-0.021867115222876432
76,0.5929352396972246,0.5643397813288478,-0.028595458368376847
77,0.5954583683767872,0.45332211942809086,-0.14213624894869636
78,0.447434819175778,0.4516400336417157,0.00420521446593769
79,0.513036164844407,0.4171572750210261,-0.09587888982338083
80,0.4533221194280908,0.4280908326324642,-0.025231286795626584
81,0.5121951219512195,0.5054667788057191,-0.006728343145500415
82,0.6366694701429771,0.6139613120269135,-0.022708158116063637
83,0.40285954583683764,0.43229604709840197,0.02943650126156433
84,0.4709840201850295,0.5878889823380993,0.11690496215306978
85,0.5677039529015979,0.6156433978132884,0.04793944491169044
86,0.7157275021026073,0.7207737594617325,0.005046257359125228
87,0.33389402859545836,0.3801513877207738,0.04625735912531542
88,0.49116904962153063,0.4272497897392767,-0.06391925988225394
89,0.5458368376787216,0.567703952901598,0.021867115222876432
90,0.5172413793103448,0.48359966358284273,-0.03364171572750202
91,0.5508830950378469,0.3633305298570227,-0.18755256518082425
92,0.35912531539108494,0.5155592935239697,0.15643397813288473
93,0.38435660218671147,0.3700588730025231,-0.014297729184188368
94,0.407905803195963,0.4936921783010933,0.08578637510513032
95,0.5685449957947856,0.5912531539108494,0.02270815811606386
96,0.5592935239697225,0.496215306980656,-0.06307821698906652
97,0.4222035323801514,0.4381833473507149,0.0159798149705635
98,0.4852817493692178,0.5231286795626577,0.03784693019343993
99,0.5971404541631622,0.6568544995794785,0.05971404541631631
100,0.44070647603027757,0.4179983179142136,-0.02270815811606397
101,0.4844407064760302,0.4558452481076535,-0.028595458368376736
102,0.36080740117746,0.40370058873002523,0.042893187552565215
103,0.5130361648444071,0.48696383515559294,-0.026072329688814122
104,0.4440706476030277,0.3994953742640875,-0.044575273338940236
105,0.44322960470984024,0.5155592935239698,0.07232968881412954
106,0.38940285954583687,0.4331370899915896,0.04373423044575275
107,0.3322119428090833,0.4432296047098402,0.1110176619007569
108,0.56013456686291,0.4718250630782169,-0.08830950378469304
109,0.45668629100084107,0.5407905803195963,0.08410428931875519
110,0.3818334735071489,0.4709840201850295,0.08915054667788058
111,0.4667788057190917,0.43986543313709003,-0.02691337258200166
112,0.5071488645920941,0.4625735912531539,-0.04457527333894018
113,0.4600504625735913,0.4121110176619007,-0.047939444911690554
114,0.44238856181665265,0.41379310344827586,-0.02859545836837679
115,0.4348191757779647,0.4541631623212784,0.019343986543313707
116,0.6694701429772918,0.63919259882254,-0.030277544154751812
117,0.5239697224558453,0.5954583683767871,0.07148864592094184
118,0.5239697224558453,0.42556770395290155,-0.09840201850294372
119,0.575273338940286,0.42136248948696386,-0.15391084945332212
120,0.584524810765349,0.4928511354079058,-0.0916736753574432
121,0.5475189234650968,0.4600504625735913,-0.0874684608915055
122,0.47939444911690493,0.43902439024390244,-0.04037005887300249
123,0.49705634987384356,0.503784693019344,0.0067283431455004705
124,0.5264928511354079,0.5332211942809084,0.006728343145500526
125,0.48948696383515555,0.625735912531539,0.1362489486963835
126,0.3927670311185871,0.43650126156433977,0.0437342304457527
127,0.26997476871320436,0.3137089991589571,0.04373423044575275
128,0.5475189234650967,0.5820016820857864,0.034482758620689724
129,0.45836837678721615,0.5391084945332212,0.08074011774600504
130,0.4482758620689655,0.5332211942809083,0.08494533221194278
131,0.4693019343986544,0.46846089150546677,-0.000841042893187649
132,0.5021026072329688,0.4634146341463415,-0.03868797308662736
133,0.400336417157275,0.368376787216148,-0.031959629941127
134,0.6467619848612279,0.5761143818334735,-0.07064760302775441
135,0.35071488645920945,0.5121951219512195,0.16148023549201007
136,0.3170731707317073,0.4373423044575273,0.12026913372581999
137,0.5180824222035323,0.47098402018502944,-0.04709840201850285
138,0.5634987384356602,0.5391084945332212,-0.024390243902439046
139,0.5121951219512195,0.3851976450798991,-0.1269974768713204
140,0.5735912531539109,0.5601345668629101,-0.01345668629100083
141,0.4339781328847771,0.5096719932716569,0.07569386038687981
142,0.5130361648444071,0.46173254835996635,-0.051303616484440706
143,0.529857022708158,0.6089150546677882,0.07905803195963013
144,0.5172413793103449,0.471825063078217,-0.045416316232127885
145,0.6383515559293524,0.5567703952901597,-0.08158116063919274
146,0.3801513877207737,0.4440706476030278,0.06391925988225405
147,0.5685449957947856,0.5256518082422204,-0.042893187552565215
148,0.47014297729184185,0.43313708999158956,-0.03700588730025228
149,0.5668629100084105,0.5441547518923465,-0.02270815811606397
150,0.4280908326324643,0.5517241379310345,0.1236333052985702
151,0.5189234650967198,0.4432296047098402,-0.07569386038687964
152,0.4903280067283431,0.3801513877207738,-0.11017661900756931
153,0.3288477712363331,0.5071488645920942,0.1783010933557611
154,0.5046257359125316,0.5189234650967199,0.014297729184188368
155,0.5803195962994112,0.5138772077375946,-0.06644238856181661
156,0.49957947855340623,0.5147182506307821,0.015138772077375906
157,0.5391084945332212,0.5130361648444071,-0.026072329688814122
158,0.5214465937762827,0.5231286795626577,0.001682085786375076
159,0.4507989907485282,0.5357443229604709,0.08494533221194273
160,0.4432296047098402,0.4735071488645921,0.030277544154751923
161,0.3986543313708999,0.37762825904121106,-0.02102607232968884
162,0.5416316232127838,0.6610597140454163,0.1194280908326325
163,0.4499579478553406,0.4608915054667788,0.010933557611438216
164,0.43902439024390244,0.4709840201850294,0.031959629941126944
165,0.4028595458368377,0.44575273338940286,0.04289318755256516
166,0.5853658536585366,0.5693860386879731,-0.015979814970563444
167,0.5088309503784694,0.48612279226240535,-0.022708158116064026
168,0.5012615643397813,0.5786375105130361,0.07737594617325483
169,0.575273338940286,0.511354079058032,-0.063919259882254
170,0.4987384356602187,0.46341463414634143,-0.03532380151387726
171,0.48107653490328006,0.5088309503784694,0.02775441547518931
172,0.4617325483599664,0.5777964676198486,0.11606391925988219
