request_id,BurstId,fecha,year,burst_side,attacked_side,resolved_raw_symbol,burst_timestamp_utc,strict_feature_cutoff_utc_exclusive,initial_l0_price_mbo,initial_l0_l2_depth,initial_l0_l2_order_count,coverage_250ms,coverage_500ms,packets_before_250ms,packets_before_500ms,consumption_fill_qty_250ms,pure_withdrawal_qty_250ms,aggressive_trade_qty_250ms,matched_refill_qty,durable_refill_qty_500ms,initial_queue_remaining_qty_250ms,directional_best_passive_progress_ticks_250ms,eligible_aggression_packets_500ms,absorption_motif_packets_500ms,eligible_removal_packets_500ms,breakout_motif_packets_500ms,ambiguous_cancel_fill_rows,unknown_state_rows,max_used_event_utc,max_used_before_decision_cutoff,events_after_cutoff_used,consumption_initial_depth_ratio_250ms,withdrawal_initial_depth_ratio_250ms,durable_refill_removed_ratio_250ms,initial_queue_survival_ratio_250ms,impact_efficiency_250ms,depletion_persistence_share_500ms,absorption_motif_share_500ms,breakout_motif_share_500ms,family_label_only,selection_seed,selection_hash,predictor_policy
NQ_MBO_SNAPSHOT_2022-06-08_LB_20220608_093102_SELL_0001,LB_20220608_093102_SELL_0001,2022-06-08,2022,SELL,B,NQM2,2022-06-08T13:31:02+00:00,2022-06-08T13:31:03.007000+00:00,12654.75,13.0,13,250.0,500.0,1235,1703,21.0,3.0,296.0,11.0,4.0,0.0,17.0,1,0,4,0,0,0,2022-06-08T13:31:02.498877737+00:00,True,0,1.6153846153846154,0.23076923076923078,0.16666666666666666,0.0,0.7466216216216216,0.794493634,0.0,0.0,B_CLEAN_BREAKOUT,MBO_SNAPSHOT_PILOT_V1_20260723,5bcff685a0c12ad6376c1ff261ecb2b2b9f354885e77e831cb336d8cd119e876,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-06-13_LB_20220613_093107_SELL_0001,LB_20220613_093107_SELL_0001,2022-06-13,2022,SELL,B,NQM2,2022-06-13T13:31:07+00:00,2022-06-13T13:31:08+00:00,11507.5,5.0,5,250.0,500.0,204,337,3.0,8.0,4.0,9.0,0.0,0.0,4.0,2,0,10,0,0,0,2022-06-13T13:31:07.499400967+00:00,True,0,0.6,1.6,0.0,0.0,5.0,0.4431127,0.0,0.0,A_TRUE_ABSORPTION,MBO_SNAPSHOT_PILOT_V1_20260723,337532b37415dd3f71b7683993f75f92598533dfc75b724f8fc5ee433445276f,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-06-27_LB_20220627_093202_SELL_0001,LB_20220627_093202_SELL_0001,2022-06-27,2022,SELL,B,NQU2,2022-06-27T13:32:02+00:00,2022-06-27T13:32:03.009000+00:00,12172.0,17.0,13,250.0,500.0,556,944,8.0,9.0,42.0,17.0,6.0,0.0,9.0,3,0,12,0,0,0,2022-06-27T13:32:02.495837541+00:00,True,0,0.47058823529411764,0.5294117647058824,0.35294117647058826,0.0,3.642857142857143,0.953951746,0.0,0.0,B_CLEAN_BREAKOUT,MBO_SNAPSHOT_PILOT_V1_20260723,486d103a48a797e4a0569563d7e08afbc3e36405208cb3b0a23ce0228f9308d4,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-07-18_LB_20220718_093105_SELL_0001,LB_20220718_093105_SELL_0001,2022-07-18,2022,SELL,B,NQU2,2022-07-18T13:31:05+00:00,2022-07-18T13:31:06.004000+00:00,12103.75,8.0,8,250.0,500.0,252,514,7.0,11.0,7.0,18.0,3.0,1.0,0.0,7,1,18,1,0,0,2022-07-18T13:31:05.499186169+00:00,True,0,0.875,1.375,0.16666666666666666,0.125,0.0,0.326325356,0.14285714285714285,0.05555555555555555,C_MIXED_PATH,MBO_SNAPSHOT_PILOT_V1_20260723,98443fc88071759d06e238815b4302da30c7688559dca2f7617da84a75608ad4,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-07-19_LB_20220719_093600_SELL_0001,LB_20220719_093600_SELL_0001,2022-07-19,2022,SELL,B,NQU2,2022-07-19T13:36:00+00:00,2022-07-19T13:36:01.015000+00:00,12038.75,10.0,10,250.0,500.0,1011,1525,12.0,22.0,418.0,27.0,1.0,0.0,41.0,3,0,20,0,1,0,2022-07-19T13:36:00.499924829+00:00,True,0,1.2,2.2,0.029411764705882353,0.0,0.9808612440191389,0.827812122,0.0,0.0,C_MIXED_PATH,MBO_SNAPSHOT_PILOT_V1_20260723,6fabeefc52680ac881d8818a146133d35de9173f89e140573e90203e895cccaf,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-07-20_LB_20220720_093414_BUY_0001,LB_20220720_093414_BUY_0001,2022-07-20,2022,BUY,A,NQU2,2022-07-20T13:34:14+00:00,2022-07-20T13:34:15.086000+00:00,12298.5,15.0,15,250.0,500.0,268,530,2.0,27.0,11.0,23.0,2.0,0.0,3.0,2,0,25,0,1,0,2022-07-20T13:34:14.499175281+00:00,True,0,0.13333333333333333,1.8,0.06896551724137931,0.0,4.090909090909091,0.77558731,0.0,0.0,B_CLEAN_BREAKOUT,MBO_SNAPSHOT_PILOT_V1_20260723,f87a7dedd9b86aa31222edf989fe013c8fe929f908a2d570683f92eb6b6199e0,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-07-26_LB_20220726_093111_SELL_0001,LB_20220726_093111_SELL_0001,2022-07-26,2022,SELL,B,NQU2,2022-07-26T13:31:11+00:00,2022-07-26T13:31:12.026000+00:00,12267.0,7.0,5,250.0,500.0,857,1423,12.0,12.0,79.0,24.0,2.0,0.0,20.0,1,0,13,0,0,0,2022-07-26T13:31:11.498056163+00:00,True,0,1.7142857142857142,1.7142857142857142,0.08333333333333333,0.0,1.7721518987341771,0.743000394,0.0,0.0,C_MIXED_PATH,MBO_SNAPSHOT_PILOT_V1_20260723,b7f636e027e264c152052b28e6f685c1dc35e65cc0c104bb64981ee87e41353c,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-07-29_LB_20220729_093500_SELL_0001,LB_20220729_093500_SELL_0001,2022-07-29,2022,SELL,B,NQU2,2022-07-29T13:35:00+00:00,2022-07-29T13:35:01.099000+00:00,12774.0,6.0,6,250.0,500.0,1064,2508,17.0,20.0,93.0,37.0,6.0,0.0,11.0,12,0,32,0,2,0,2022-07-29T13:35:00.499308771+00:00,True,0,2.8333333333333335,3.3333333333333335,0.16216216216216217,0.0,0.7096774193548387,0.980964658,0.0,0.0,B_CLEAN_BREAKOUT,MBO_SNAPSHOT_PILOT_V1_20260723,9d24fac4760fe7c33af6875bc5549b9c678f46e872970ace985f6bad22643b14,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-08-01_LB_20220801_093127_SELL_0001,LB_20220801_093127_SELL_0001,2022-08-01,2022,SELL,B,NQU2,2022-08-01T13:31:27+00:00,2022-08-01T13:31:28.101000+00:00,12880.0,19.0,18,250.0,500.0,460,985,18.0,10.0,78.0,18.0,7.0,0.0,13.0,5,0,15,0,2,0,2022-08-01T13:31:27.486480289+00:00,True,0,0.9473684210526315,0.5263157894736842,0.25,0.0,3.1666666666666665,0.885417934,0.0,0.0,C_MIXED_PATH,MBO_SNAPSHOT_PILOT_V1_20260723,edec99f8cfb877d52925e7fc41a115ed3fdc9f2adf971c39eddf58a5ebcab665,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-08-04_LB_20220804_093511_BUY_0001,LB_20220804_093511_BUY_0001,2022-08-04,2022,BUY,A,NQU2,2022-08-04T13:35:11+00:00,2022-08-04T13:35:12.032000+00:00,13299.5,32.0,21,250.0,500.0,956,1452,23.0,14.0,125.0,27.0,7.0,0.0,14.0,8,0,21,0,0,0,2022-08-04T13:35:11.497925299+00:00,True,0,0.71875,0.4375,0.1891891891891892,0.0,3.584,0.926383134,0.0,0.0,A_TRUE_ABSORPTION,MBO_SNAPSHOT_PILOT_V1_20260723,b23a8a689623e186ec9f56b459e86169790665e044824812a1addd7d196fb91d,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
