year,burst_side,feature,expected_A_minus_B_sign,n_A,n_B,mean_A,mean_B,A_minus_B,direction_coherent
2022,BUY,withdrawal_initial_depth_ratio_250ms,-1,5,5,0.8098809523809523,1.1335714285714285,-0.3236904761904762,True
2022,BUY,durable_refill_removed_ratio_250ms,1,5,5,0.15828118759153242,0.25698095008439836,-0.09869976249286594,False
2022,BUY,initial_queue_survival_ratio_250ms,1,5,5,0.17142857142857143,0.11428571428571428,0.05714285714285715,True
2022,BUY,impact_efficiency_250ms,-1,5,5,1.8306300296195033,4.225382747333967,-2.3947527177144634,True
2022,BUY,depletion_persistence_share_500ms,-1,5,5,0.6972503244,0.7523315059999999,-0.05508118159999986,True
2022,BUY,absorption_motif_share_500ms,1,5,5,0.014285714285714285,0.0,0.014285714285714285,True
2022,BUY,breakout_motif_share_500ms,-1,5,5,0.04444444444444444,0.02727272727272727,0.017171717171717168,False
2022,SELL,withdrawal_initial_depth_ratio_250ms,-1,4,8,1.31875,1.5416766648384295,-0.22292666483842938,True
2022,SELL,durable_refill_removed_ratio_250ms,1,4,8,0.15384615384615385,0.13752302045060996,0.016323133395543893,True
2022,SELL,initial_queue_survival_ratio_250ms,1,4,8,0.0,0.0,0.0,False
2022,SELL,impact_efficiency_250ms,-1,4,8,1.9632701421800949,2.2026925541791305,-0.23942241199903558,True
2022,SELL,depletion_persistence_share_500ms,-1,4,8,0.5890854120000001,0.898851085,-0.3097656729999999,True
2022,SELL,absorption_motif_share_500ms,1,4,8,0.05,0.0,0.05,True
2022,SELL,breakout_motif_share_500ms,-1,4,8,0.16666666666666666,0.125,0.04166666666666666,False
2023,BUY,withdrawal_initial_depth_ratio_250ms,-1,3,10,1.1990740740740742,1.0173074333074332,0.18176664076664095,False
2023,BUY,durable_refill_removed_ratio_250ms,1,3,10,0.05965451617625531,0.07750941653908774,-0.017854900362832438,False
2023,BUY,initial_queue_survival_ratio_250ms,1,3,10,0.03508771929824561,0.32898709176128527,-0.29389937246303965,False
2023,BUY,impact_efficiency_250ms,-1,3,10,3.809383654237377,1.5293554535216147,2.2800282007157624,False
2023,BUY,depletion_persistence_share_500ms,-1,3,10,0.88130505,0.678827137,0.20247791300000006,False
2023,BUY,absorption_motif_share_500ms,1,3,10,0.0,0.05555555555555556,-0.05555555555555556,False
2023,BUY,breakout_motif_share_500ms,-1,3,10,0.043083900226757364,0.10243469174503658,-0.05935079151827922,True
2023,SELL,withdrawal_initial_depth_ratio_250ms,-1,10,7,0.9478534892217756,0.7976776165011458,0.15017587272062982,False
2023,SELL,durable_refill_removed_ratio_250ms,1,10,7,0.20330285406747173,0.20439324417145052,-0.0010903901039787944,False
2023,SELL,initial_queue_survival_ratio_250ms,1,10,7,0.3169817318231641,0.09714285714285713,0.21983887468030694,True
2023,SELL,impact_efficiency_250ms,-1,10,7,1.3330946990755312,1.8191985419740129,-0.48610384289848163,True
2023,SELL,depletion_persistence_share_500ms,-1,10,7,0.6325360348,0.7331981114285716,-0.10066207662857163,True
2023,SELL,absorption_motif_share_500ms,1,10,7,0.02685185185185185,0.0,0.02685185185185185,True
2023,SELL,breakout_motif_share_500ms,-1,10,7,0.054195804195804186,0.10439560439560439,-0.0501998001998002,True
2024,BUY,withdrawal_initial_depth_ratio_250ms,-1,4,6,2.3112179487179487,1.7649669774669776,0.5462509712509711,False
2024,BUY,durable_refill_removed_ratio_250ms,1,4,6,0.1270825427802172,0.177689594356261,-0.05060705157604381,False
2024,BUY,initial_queue_survival_ratio_250ms,1,4,6,0.1,0.14583333333333334,-0.04583333333333334,False
2024,BUY,impact_efficiency_250ms,-1,4,6,1.5214197924134356,1.5829117490260822,-0.061491956612646614,True
2024,BUY,depletion_persistence_share_500ms,-1,4,6,0.9021383989999999,0.7754358936666667,0.12670250533333327,False
2024,BUY,absorption_motif_share_500ms,1,4,6,0.0625,0.017543859649122806,0.044956140350877194,True
2024,BUY,breakout_motif_share_500ms,-1,4,6,0.01895187870797627,0.12261653075606564,-0.10366465204808938,True
2024,SELL,withdrawal_initial_depth_ratio_250ms,-1,3,5,0.7008281573498966,2.2607142857142857,-1.559886128364389,True
2024,SELL,durable_refill_removed_ratio_250ms,1,3,5,0.1818181818181818,0.1414673218319782,0.04035085998620361,True
2024,SELL,initial_queue_survival_ratio_250ms,1,3,5,0.2898550724637681,0.14285714285714285,0.14699792960662528,True
2024,SELL,impact_efficiency_250ms,-1,3,5,0.96613267907827,3.9083288328832886,-2.9421961538050185,True
2024,SELL,depletion_persistence_share_500ms,-1,3,5,0.6155376833333334,0.84720047,-0.23166278666666662,True
2024,SELL,absorption_motif_share_500ms,1,3,5,0.0,0.013333333333333332,-0.013333333333333332,False
2024,SELL,breakout_motif_share_500ms,-1,3,5,0.14285714285714285,0.006666666666666666,0.1361904761904762,False
