CaseID,png_sha256,png_bytes,saturation_fraction,packets,excluded_boundary_records,unknown_state_rows,max_event_seconds
HB039,aac31edeb1d950b84edb8a204f5f78c8698260533343304256e5b00ebb11e04f,210585,0.011315417256011316,6504,1,0,4.996765
HB040,ad9dd74c96e827cd5e329b7ef7c38c104624ae19c8cec71385fa307a481b5f41,182265,0.010372465818010372,3744,1,0,4.9959489999999995
HB041,e90c03a20558216f9d2e343798601a8ce9944bffd5fb773e66eeafcfdd518cc1,253648,0.011786892975011787,6687,1,0,4.9967369999999995
HB042,2b6b2d227713ff24e097d0b0d8741e3fba5921040dc7af4291f1d273f4d20aca,164215,0.027345591702027345,3504,1,0,4.99582
HB043,f37803fdff66afae0ea4fdc6e7554e94fff241b03481ba274b3832e8f765535c,170382,0.009900990099009901,7667,1,0,4.999872
HB044,6fc80df144e73666c035e40b982f9c5120b0ca5c43703f4dbbede49a63cd4816,202402,0.013672795851013672,7821,1,0,4.993135
HB045,389b1f0fe55835a6ddb2f314ce5ea9f6d5a54d8a239f3ee6e834c5229efd8afa,133670,0.011786892975011787,6031,8,0,4.996801
HB046,f66fad7b331e17236dc3160efc14509994488589147eaccc1428c5c7f9f07823,193043,0.011786892975011787,9763,1,0,4.999186
HB047,cc43533d643810ffc645d58d7504dfc5af906658bea07b2f299f5b76e3cb3c0f,138435,0.014144271570014143,5050,1,0,4.990609
HB048,0ba640041f5eb86c73106ca2cbe3bca477469eb450216c880e176d6a947b7bed,187997,0.027345591702027345,8795,1,0,4.998116
HB049,1101968c051fb3b624ab9ee78c6484b8d15fde060ae6ce48692df8d7683ce290,238485,0.020744931636020744,5931,1,0,4.996914
HB050,f2a61d5f574a645cb233c5ba18af12c50bcc2e3740f26e24db9f9ca6c59a95d4,148358,0.009900990099009901,4669,1,0,4.996839
HB051,ba0ca317462db21aa99132a7b9eba05ed1a32de65b0942d7fbc0a786ae1c1ee3,154687,0.012258368694012258,6977,1,0,4.994843
HB052,c41cdd980456a8251e1fdce14a07a3e1249facf079587272936d23b51798082d,220524,0.010372465818010372,9824,1,0,4.996463
HB053,51e2b694709ca7c0098b6b68c8b3b64ddc4d574f456b733581aba0386369d556,216003,0.010843941537010843,7936,1,0,4.999175
HB054,00141aa41745a482a666d57905c43aad0bd7e7284868ef451c61d87c7a13240e,201804,0.017916077322017915,6827,1,0,4.999138
HB055,5e45ee22bd841c3d4fdf836e13ea8d118cef26fca002960da6df4785a68a8515,133500,0.010843941537010843,8229,1,0,4.995258
HB056,0c03c90f9043e543c5ee28c1f6c912db68bc6570a06935b75fd28a014bc89cb9,169717,0.011786892975011787,6719,1,0,4.978122
HB057,8594a98fde575af52504bac139c4dc0a35238d9cb3e62da0f40ed3f42f513db4,195096,0.021216407355021217,5374,1,0,4.997612
HB058,2d300276a570250a0da82f859d5482dc0fafc9c26546961236993f96d86a2f70,187476,0.010843941537010843,4307,1,0,4.996595
HB059,4a3117251532722c1c9b6e33e8fdc87473fd980f174257c0271f92bcf7c6e09f,193248,0.011786892975011787,5559,1,0,4.998313
HB060,8d4761173a3a2009a0f638112b652b2da651a14865127acf2d8e6fc6aaa5962a,248097,0.021687883074021686,7077,1,0,4.994923
HB061,003d4ce536b22fca598e7958665c31e17ef095866d2e6c206845c27637714a4b,232200,0.010372465818010372,6709,1,0,4.997019
HB062,9cfb19c84815915a3cf8d0db6b1cd2ebdc2fa718fd53b37912c5680a8c132088,125953,0.029231494578029232,5281,1,0,4.996872
HB063,ca2a23f7939c76c0394133957ddba8fa01cd12e508b144f3556ec3ff9bc6661d,148652,0.02545968882602546,2967,1,0,4.997949
