date,year,ny_utc_offset,season,nq_entry_utc,nq_or_high,nq_or_low,es_or_high,es_or_low,es_last_utc,es_lag_seconds,es_last_close,es_confirm,gross_ticks,net_ticks,mae_ticks,mae_net_ticks,exit_reason
2022-06-13,2022,-4,EDT_SEEN,2022-06-13T13:31:00+00:00,11503.75,11463.75,3806.75,3797.5,2022-06-13T13:30:59+00:00,1.0,3804.0,False,60.0,56.0,-17.0,-21.0,TP
2022-06-16,2022,-4,EDT_SEEN,2022-06-16T13:31:00+00:00,11297.5,11276.25,3704.25,3699.5,2022-06-16T13:30:59+00:00,1.0,3704.0,False,60.0,56.0,-18.0,-22.0,TP
2022-06-21,2022,-4,EDT_SEEN,2022-06-21T13:31:00+00:00,11503.0,11478.75,3739.0,3735.5,2022-06-21T13:30:59+00:00,1.0,3738.5,False,-60.0,-64.0,-74.0,-78.0,SL
2022-06-22,2022,-4,EDT_SEEN,2022-06-22T13:31:10+00:00,11484.0,11446.75,3726.0,3719.25,2022-06-22T13:31:09+00:00,1.0,3728.0,True,60.0,56.0,-24.0,-28.0,TP
2022-06-23,2022,-4,EDT_SEEN,2022-06-23T13:31:13+00:00,11674.5,11643.75,3787.5,3780.5,2022-06-23T13:31:12+00:00,1.0,3788.0,True,-60.0,-64.0,-64.0,-68.0,SL
2022-06-27,2022,-4,EDT_SEEN,2022-06-27T13:31:13+00:00,12211.25,12173.5,3931.75,3925.75,2022-06-27T13:31:12+00:00,1.0,3929.5,False,-60.0,-64.0,-64.0,-68.0,SL
2022-06-28,2022,-4,EDT_SEEN,2022-06-28T13:31:09+00:00,12087.75,12047.25,3927.25,3919.0,2022-06-28T13:31:08+00:00,1.0,3927.25,False,-60.0,-64.0,-67.0,-71.0,SL
2022-07-01,2022,-4,EDT_SEEN,2022-07-01T13:31:06+00:00,11523.5,11477.5,3789.75,3781.0,2022-07-01T13:31:05+00:00,1.0,3787.25,False,-60.0,-64.0,-68.0,-72.0,SL
2022-07-07,2022,-4,EDT_SEEN,2022-07-07T13:31:03+00:00,11956.5,11918.25,3874.75,3866.5,2022-07-07T13:31:02+00:00,1.0,3874.75,False,-60.0,-64.0,-60.0,-64.0,SL
2022-07-11,2022,-4,EDT_SEEN,2022-07-11T13:31:28+00:00,12051.0,12018.75,3875.75,3872.5,2022-07-11T13:31:27+00:00,1.0,3879.75,True,-60.0,-64.0,-60.0,-64.0,SL
2022-07-12,2022,-4,EDT_SEEN,2022-07-12T13:31:05+00:00,11964.5,11939.5,3857.0,3850.25,2022-07-12T13:31:04+00:00,1.0,3858.5,True,60.0,56.0,-32.0,-36.0,TP
2022-07-13,2022,-4,EDT_SEEN,2022-07-13T13:31:00+00:00,11602.25,11543.25,3775.25,3763.75,2022-07-13T13:30:59+00:00,1.0,3774.75,False,60.0,56.0,-4.0,-8.0,TP
2022-07-15,2022,-4,EDT_SEEN,2022-07-15T13:32:30+00:00,11962.0,11922.0,3848.0,3839.75,2022-07-15T13:32:29+00:00,1.0,3844.75,False,60.0,56.0,-13.0,-17.0,TP
2022-07-22,2022,-4,EDT_SEEN,2022-07-22T13:31:24+00:00,12613.25,12595.25,4006.75,4001.5,2022-07-22T13:31:23+00:00,1.0,4008.25,True,-60.0,-64.0,-79.0,-83.0,SL
2022-07-25,2022,-4,EDT_SEEN,2022-07-25T13:31:00+00:00,12431.5,12416.75,3973.25,3970.5,2022-07-25T13:30:59+00:00,1.0,3971.0,False,-60.0,-64.0,-62.0,-66.0,SL
2022-07-28,2022,-4,EDT_SEEN,2022-07-28T13:31:00+00:00,12635.0,12592.5,4038.5,4030.75,2022-07-28T13:30:59+00:00,1.0,4038.5,False,60.0,56.0,-19.0,-23.0,TP
2022-07-29,2022,-4,EDT_SEEN,2022-07-29T13:31:15+00:00,12815.0,12788.75,4092.75,4087.5,2022-07-29T13:31:14+00:00,1.0,4092.25,False,-60.0,-64.0,-63.0,-67.0,SL
2022-08-02,2022,-4,EDT_SEEN,2022-08-02T13:31:24+00:00,12880.5,12853.0,4106.0,4100.75,2022-08-02T13:31:23+00:00,1.0,4102.75,False,60.0,56.0,-6.0,-10.0,TP
2022-08-03,2022,-4,EDT_SEEN,2022-08-03T13:31:02+00:00,13027.0,12989.5,4118.0,4114.0,2022-08-03T13:31:01+00:00,1.0,4117.0,False,-60.0,-64.0,-60.0,-64.0,SL
2022-08-05,2022,-4,EDT_SEEN,2022-08-05T13:31:00+00:00,13153.75,13114.5,4114.0,4107.25,2022-08-05T13:30:59+00:00,1.0,4112.75,False,-60.0,-64.0,-69.0,-73.0,SL
2022-08-08,2022,-4,EDT_SEEN,2022-08-08T13:31:04+00:00,13266.25,13232.0,4166.0,4160.5,2022-08-08T13:31:03+00:00,1.0,4165.75,False,-60.0,-64.0,-62.0,-66.0,SL
2022-08-11,2022,-4,EDT_SEEN,2022-08-11T13:31:08+00:00,13499.5,13483.75,4241.75,4238.0,2022-08-11T13:31:07+00:00,1.0,4242.0,True,-60.0,-64.0,-62.0,-66.0,SL
2022-08-12,2022,-4,EDT_SEEN,2022-08-12T13:31:04+00:00,13414.25,13397.75,4233.0,4229.75,2022-08-12T13:31:03+00:00,1.0,4231.5,False,-60.0,-64.0,-65.0,-69.0,SL
2022-08-15,2022,-4,EDT_SEEN,2022-08-15T13:31:00+00:00,13566.0,13534.25,4262.25,4257.75,2022-08-15T13:30:59+00:00,1.0,4261.75,False,60.0,56.0,-22.0,-26.0,TP
2022-08-19,2022,-4,EDT_SEEN,2022-08-19T13:31:11+00:00,13403.25,13388.5,4261.75,4257.75,2022-08-19T13:31:10+00:00,1.0,4258.5,False,60.0,56.0,-13.0,-17.0,TP
2022-08-22,2022,-4,EDT_SEEN,2022-08-22T13:31:06+00:00,13082.0,13058.0,4178.75,4174.75,2022-08-22T13:31:05+00:00,1.0,4176.75,False,-60.0,-64.0,-62.0,-66.0,SL
2022-08-23,2022,-4,EDT_SEEN,2022-08-23T13:32:08+00:00,12924.0,12893.25,4140.75,4135.25,2022-08-23T13:32:07+00:00,1.0,4140.0,False,60.0,56.0,-15.0,-19.0,TP
2022-08-24,2022,-4,EDT_SEEN,2022-08-24T13:31:43+00:00,12900.5,12871.75,4129.75,4127.0,2022-08-24T13:31:42+00:00,1.0,4128.5,False,-60.0,-64.0,-75.0,-79.0,SL
2022-08-25,2022,-4,EDT_SEEN,2022-08-25T13:31:02+00:00,13011.5,12993.75,4159.5,4154.0,2022-08-25T13:31:01+00:00,1.0,4156.5,False,-60.0,-64.0,-62.0,-66.0,SL
2022-08-29,2022,-4,EDT_SEEN,2022-08-29T13:31:01+00:00,12515.0,12478.75,4028.25,4020.75,2022-08-29T13:31:00+00:00,1.0,4026.75,False,60.0,56.0,-25.0,-29.0,TP
2022-09-06,2022,-4,EDT_SEEN,2022-09-06T13:31:03+00:00,12165.5,12116.75,3943.25,3933.75,2022-09-06T13:31:02+00:00,1.0,3942.75,False,-60.0,-64.0,-68.0,-72.0,SL
2022-09-07,2022,-4,EDT_SEEN,2022-09-07T13:31:03+00:00,12048.0,12036.0,3908.0,3904.5,2022-09-07T13:31:02+00:00,1.0,3905.25,False,60.0,56.0,-15.0,-19.0,TP
2022-09-09,2022,-4,EDT_SEEN,2022-09-09T13:31:14+00:00,12442.0,12415.5,4033.25,4029.0,2022-09-09T13:31:13+00:00,1.0,4033.0,False,60.0,56.0,-35.0,-39.0,TP
2022-09-12,2022,-4,EDT_SEEN,2022-09-12T13:31:00+00:00,12662.0,12641.5,4091.5,4088.75,2022-09-12T13:30:59+00:00,1.0,4091.0,False,60.0,56.0,-48.0,-52.0,TP
2022-09-13,2022,-4,EDT_SEEN,2022-09-13T13:31:07+00:00,12391.0,12361.75,4024.25,4017.25,2022-09-13T13:31:06+00:00,1.0,4023.5,False,60.0,56.0,-15.0,-19.0,TP
