experiment,feature_set,feature,mechanism_family,mean_abs_shap_oos,spearman_value_vs_shap_oos,median_shap_A_minus_B_oos,coverage_oos_pct,importance_rank
DISCOVERY_TO_NEW,BURST_MECHANISM,Short_Long_Volatility_Ratio,BURST_INTENSITY,0.06664535189234,0.8110671936758892,-0.024140115450060097,100.0,11
DISCOVERY_TO_NEW,BURST_MECHANISM,Prior_Volume_At_Level_Band_60s,LEVEL_MEMORY,0.06319750053696392,-0.8247770623880712,-0.020174333712103334,100.0,12
DISCOVERY_TO_NEW,BURST_MECHANISM,Profile_Normalized_Entropy,AUCTION_CONTEXT,0.06055570788481218,-0.4697004339654132,0.0009722099978229579,100.0,13
DISCOVERY_TO_NEW,BURST_MECHANISM,Pre_Approach_Pause_Seconds,CROSSING_ANATOMY,0.058781907938107655,-0.9324633175838659,-0.04116834879993643,100.0,14
DISCOVERY_TO_NEW,BURST_MECHANISM,Profile_Excess_Kurtosis,AUCTION_CONTEXT,0.055311321586422935,0.7202820492682749,-0.014704357104146984,100.0,15
DISCOVERY_TO_NEW,BURST_MECHANISM,acceleration_velocity_ratio,BURST_INTENSITY,0.04116485592673552,-0.790539743661825,-0.001362662466739245,100.0,16
DISCOVERY_TO_NEW,BURST_MECHANISM,Dist_OR_Low_Ticks,AUCTION_CONTEXT,0.04051155804071921,0.896718989819385,0.006744535879017938,100.0,17
DISCOVERY_TO_NEW,BURST_MECHANISM,delta_persistence_3_5,BURST_INTENSITY,0.039908824995888194,0.8430751642724873,0.032105836703067346,100.0,18
DISCOVERY_TO_NEW,BURST_MECHANISM,PeakPositiveDelta,BURST_INTENSITY,0.038576575985909786,-0.8823608217533204,-0.059105071819660446,100.0,19
DISCOVERY_TO_NEW,BURST_MECHANISM,Dist_VWAP_Ticks,AUCTION_CONTEXT,0.034287567303105566,0.6151213762053445,0.0008149457752674016,100.0,20
DISCOVERY_TO_NEW,BURST_MECHANISM,Profile_Skewness,AUCTION_CONTEXT,0.03186406062307281,0.32607041901301653,-0.0028924578336171,100.0,21
DISCOVERY_TO_NEW,BURST_MECHANISM,signed_delta_change_1s,BURST_INTENSITY,0.03030035086984084,0.7301163554597624,0.0002312496511125972,100.0,22
DISCOVERY_TO_NEW,BURST_MECHANISM,directional_poc_distance,AUCTION_CONTEXT,0.02843687433712742,0.25159065738568487,-0.0013001257653361756,100.0,23
DISCOVERY_TO_NEW,BURST_MECHANISM,Profile_Concentration,AUCTION_CONTEXT,0.027825300161017447,-0.8292335513807139,-0.005741063137419265,100.0,24
DISCOVERY_TO_NEW,BURST_MECHANISM,TradesPerSecond,BURST_INTENSITY,0.024743671536903145,0.2838605693532368,-0.021191270670884808,100.0,25
DISCOVERY_TO_NEW,BURST_MECHANISM,Pre_Approach_Velocity_TPS,CROSSING_ANATOMY,0.023334368747244788,0.9227777596495009,0.0028535850890534734,100.0,26
DISCOVERY_TO_NEW,BURST_MECHANISM,Realized_Volatility_30s_Ticks,BURST_INTENSITY,0.02207950995490345,0.4128195825387994,0.0,100.0,27
DISCOVERY_TO_NEW,BURST_MECHANISM,DeltaChange1s,BURST_INTENSITY,0.02156777013764716,-0.601855388689022,-0.016660084907135702,100.0,28
